repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
bikespace/bikespace,0.7418,3,2,1,73,code_commits=395;pull_requests=306;issues=0,Shapetrace=1;Unknown=14;Stripe=1;webCOMAND=1;Clemson University=1,good first issue;help wanted;newcomer friendly,29,0.34,12,1.78,3.62,6.45,14.8,True,1,1,0,0,0,88.8,336.7,93,100,2025-02-08T16:04:17+00:00,,0.3846,10,26,36.6,1.0,5511.2,2559.8,8892.4,14,government=0;academic=1;nonprofit=0;company=7;unknown=10,0.16,97.0,0.022,3,6,0.3333,0.3056,0.3056
bikespace/parking-map-data,0.9286,,,0,0,code_commits=0;pull_requests=28;issues=0,,good first issue;help wanted,9,0.65,0,,,,,False,,,0,0,0,,,5,28,2026-04-10T15:41:40+00:00,,0.0,0,2,,0.0,,,,0,government=0;academic=0;nonprofit=0;company=0;unknown=0,0.1,70.3,0.0769,0,0,,,
choruslabs/chorus,0.9688,1,1,0,0,code_commits=373;pull_requests=64;issues=0,Unknown=10;Co-Founder & CTO @zkorum=1,good first issue;help wanted,11,,7,1.38,9.1,12.52,0.9,True,1,1,0,0,0,142.5,0.7,28,64,2026-01-11T20:49:31+00:00,,0.8571,12,14,16.7,0.23,9840.4,6023.5,10000.0,10,government=0;academic=0;nonprofit=0;company=7;unknown=4,,,0.0,4,4,0.5,0.3214,0.3214
civic-dashboard/civic-dashboard-web,0.7709,3,3,0,0,code_commits=197;pull_requests=227;issues=0,Unknown=19;DotBlocks Technologies=1;HJ Data Consulting=1;techmatters @civic-dashboard=3,good first issue;help wanted,18,,11,0.8,2.96,2.38,13.5,True,1,1,0,0,0,43.6,72.1,100,100,2026-03-16T21:45:30+00:00,2024-12-13T00:32:48+00:00,0.5128,40,78,41.0,0.62,5367.6,2032.0,9432.9,19,government=0;academic=0;nonprofit=3;company=7;unknown=15,,,0.0057,6,16,0.2727,0.1472,0.1472
CivicTechWR/accessible-housing-portal,0.6944,4,4,1,1,code_commits=500;pull_requests=108;issues=0,Unknown=14;Exygy=1;whitefusionhq=1,good first issue;help wanted,26,,1,0.57,8.75,4.95,4.3,False,1,1,0,0,0,692.2,1.4,100,100,2026-05-14T03:58:10+00:00,2026-04-01T21:06:33+00:00,0.0,0,13,1.4,0.68,5984.0,1354.8,6147.2,14,government=0;academic=0;nonprofit=0;company=4;unknown=16,,,0.0,3,4,0.4286,0.4762,0.4762
CivicTechWR/connectedkw,0.8485,1,1,1,2,code_commits=414;pull_requests=33;issues=0,Dreamside Digital=1;Unknown=15;Independent=1,good first issue;help wanted,12,,2,0.94,6.17,5.78,,False,1,1,0,0,0,517.4,2.5,34,33,2025-10-22T22:36:07+00:00,,0.9412,16,17,2.5,0.0,5557.1,1276.4,8628.3,15,government=0;academic=1;nonprofit=0;company=5;unknown=16,,,0.0357,2,3,0.4,0.4,0.4
CivicTechWR/go-train-group-pass,0.6842,2,2,0,0,code_commits=108;pull_requests=57;issues=0,Unknown=7;Freelancer=1,good first issue;help wanted,17,,1,1.92,12.0,23.09,21.3,False,1,1,0,0,0,353.5,15.4,100,57,2026-01-28T22:07:58+00:00,2026-01-28T22:07:58+00:00,0.9872,77,78,16.0,0.1,9211.9,2741.0,10000.0,7,government=0;academic=0;nonprofit=0;company=4;unknown=7,,,0.0,3,4,0.4286,0.4286,0.4286
CivicTechWR/project-pech,0.64,1,1,1,1,code_commits=186;pull_requests=25;issues=0,Unknown=5,good first issue;help wanted,9,,5,1.88,12.4,23.26,,False,1,1,0,0,0,,,0,25,2025-12-04T00:09:01+00:00,,,0,0,0.6,0.0,10000.0,4678.4,,5,government=0;academic=1;nonprofit=0;company=3;unknown=3,,,0.0,0,2,0.0,1.0,1.0
CivicTechWR/WRVotesPlaceholder,,1,1,0,0,code_commits=500;pull_requests=0;issues=0,Unknown=5;Dreamside Digital=1;SugarCRM=1,good first issue;help wanted,9,,0,0.88,22.87,20.05,,True,1,1,0,0,0,,,0,0,2026-02-05T00:50:26+00:00,,,0,0,,,9454.0,1953.1,5555.6,5,government=0;academic=0;nonprofit=0;company=4;unknown=5,,,,0,0,,,
civiform/civiform,0.8908,1,2,3,284,code_commits=500;pull_requests=8865;issues=0,Unknown=10;Exygy=1,good first issue;up-for-grabs,71,3.47,93,0.51,33.92,17.19,13.8,True,1,1,0,0,0,19.4,21.3,100,100,2026-02-10T22:09:07+00:00,2024-01-09T22:48:40+00:00,0.8037,692,861,10.1,0.07,8549.8,1740.4,10000.0,10,government=0;academic=0;nonprofit=0;company=2;unknown=9,2.47,7.0,0.0085,4,4,0.5,0.5,0.5
