repo_full_name,login,degree_centrality,betweenness_centrality,classification,num_collaborators
CivicTechWR/accessible-housing-portal,adinschmidt,1.0,0.6,core,6
CivicTechWR/accessible-housing-portal,chatgpt-codex-connector[bot],0.1667,0.0,periphery,1
CivicTechWR/accessible-housing-portal,jliu1016,0.6667,0.1,core,4
CivicTechWR/accessible-housing-portal,copilot-pull-request-reviewer[bot],0.5,0.0333,core,3
CivicTechWR/accessible-housing-portal,mosleyEID,0.3333,0.0,periphery,2
CivicTechWR/accessible-housing-portal,ehharvey,0.3333,0.0,periphery,2
CivicTechWR/accessible-housing-portal,MarvelousChester,0.3333,0.0,periphery,2
CivicTechWR/connectedkw,samnabi,0.25,0.0,periphery,1
CivicTechWR/connectedkw,s-kennedy,0.75,0.8333,core,3
CivicTechWR/connectedkw,jliu1016,0.5,0.5,core,2
CivicTechWR/connectedkw,craig-sloss,0.25,0.0,periphery,1
CivicTechWR/connectedkw,ian-cawood,0.25,0.0,periphery,1
CivicTechWR/go-train-group-pass,jliu1016,0.8333,0.5,core,5
CivicTechWR/go-train-group-pass,adinschmidt,0.6667,0.1667,core,4
CivicTechWR/go-train-group-pass,Mosaab-Emam,0.3333,0.0,periphery,2
CivicTechWR/go-train-group-pass,github-actions[bot],0.1667,0.0,periphery,1
CivicTechWR/go-train-group-pass,BreakableHoodie,0.5,0.3333,core,3
CivicTechWR/go-train-group-pass,Copilot,0.1667,0.0,periphery,1
CivicTechWR/go-train-group-pass,ApilaashY,0.3333,0.0,periphery,2
CivicTechWR/project-pech,NipunGrover,1.0,0.0,periphery,1
CivicTechWR/project-pech,j2fyi,1.0,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,kilemensi,1.0,0.7143,core,7
CodeForAfrica/Dominion.AFRICA,thepsalmist,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,VinneyJ,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,esirK,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,KhadijaMahanga,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,karimkawambwa,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,nerdlet,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,DavidLemayian,0.5714,0.0,periphery,4
CodeForAfrica/GenderGap.AFRICA,elric-wamugu,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,github-advanced-security[bot],0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,Kinjuriu,0.375,0.1786,core,3
CodeForAfrica/GenderGap.AFRICA,AbdullahWins,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,kilemensi,0.375,0.1786,core,3
CodeForAfrica/GenderGap.AFRICA,nerdlet,0.375,0.2857,core,3
CodeForAfrica/GenderGap.AFRICA,robinkiplangat,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,DavidLemayian,0.25,0.1786,core,2
CodeForAfrica/GenderGap.AFRICA,mtuchi,0.125,0.0,periphery,1
CodeForAfrica/PromiseTracker,kelvinkipruto,0.8,0.8,core,4
CodeForAfrica/PromiseTracker,chatgpt-codex-connector[bot],0.4,0.0,periphery,2
CodeForAfrica/PromiseTracker,kilemensi,0.4,0.4,periphery,2
CodeForAfrica/PromiseTracker,github-advanced-security[bot],0.2,0.0,periphery,1
CodeForAfrica/PromiseTracker,koechkevin,0.4,0.0,periphery,2
CodeForAfrica/PromiseTracker,esirK,0.2,0.0,periphery,1
CodeForAfrica/openAFRICA,thepsalmist,0.4444,0.1389,core,4
CodeForAfrica/openAFRICA,kilemensi,0.2222,0.0,core,2
CodeForAfrica/openAFRICA,koechkevin,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,VinneyJ,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,esirK,0.2222,0.0,core,2
CodeForAfrica/openAFRICA,DavidLemayian,0.3333,0.1389,core,3
CodeForAfrica/openAFRICA,phillipahereza,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,WNjihia,0.2222,0.0833,core,2
CodeForAfrica/openAFRICA,dmkitui,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,muchai-mercy,0.1111,0.0,periphery,1
CodeForAfrica/outbreak.AFRICA,kilemensi,1.0,0.9,core,5
CodeForAfrica/outbreak.AFRICA,esirK,0.2,0.0,periphery,1
