login,repos_contributed_to
dependabot[bot],16
kilemensi,13
anisharamnani,8
DavidLemayian,7
esirK,7
thepsalmist,7
BreakableHoodie,6
jenny-heath,6
koechkevin,5
mrotondo,5
nerdlet,5
DrewProebstel,4
arinchoi03,4
jamesiarmes,4
kelvinkipruto,4
powersurge360,4
robdiciuccio,4
tahsinaislam,4
KhadijaMahanga,3
KobbyMmo,3
dependabot-preview[bot],3
garobrik,3
jliu1016,3
Kinjuriu,2
MarvelousChester,2
NipunGrover,2
adinschmidt,2
embarnard,2
gertie-sheshe,2
gideonmaina,2
karimkawambwa,2
kevinluo201,2
m453h,2
mcgarrye,2
mtuchi,2
nickedwards109,2
pnijjar,2
robinkiplangat,2
s-kennedy,2
spokenbird,2
spompea-cfa,2
tallcoleman,2
thomassth,2
vercel[bot],2
victorSauceda,2
whoisasey,2
writingindy,2
xinweny,2
17cliu,1
AlexGopal,1
AlvieH,1
Andre053,1
ApilaashY,1
Arame93,1
CallaJune,1
ColinBuyck,1
Copilot,1
DavidTheProgrammer,1
DrewProebstelCfa,1
Goldbreaker,1
KangarooAlpha,1
KarishmaChanglani,1
Khasir,1
KrissDrawing,1
Latte17,1
MaanasArora,1
Mosaab-Emam,1
NewJerseyStyle,1
PaulPenera829,1
QuintinAu,1
ShaynaCummings,1
SyedAlbiz,1
TriciaGovindasamy,1
VinneyJ,1
WNjihia,1
YazeedLoonat,1
acant,1
aikido-autofix[bot],1
allisonmorgan,1
aloverso,1
aminechm,1
amotaouakkil123,1
analoo,1
anjali-bhaheeratha,1
aryasadawrate19,1
azhangggggg,1
bennygoldman,1
cdslipp,1
cfa-platforms-robot,1
chaficnajjar,1
chegejames,1
claude,1
coleWesterveld,1
cplkake,1
craig-sloss,1
cram-cfa,1
dentropy,1
dfl,1
dive-up,1
ehharvey,1
elric-wamugu,1
emilyjablonski,1
emmalewis,1
fernandez-jack,1
github-actions[bot],1
github-advanced-security[bot],1
gurpreet11307,1
gwendolyngoetz,1
harsha-mangena,1
hermanjustino,1
hulloanson,1
iainmcampbell,1
ian-cawood,1
j2fyi,1
jachan,1
jaredcwhite,1
jennthom,1
jeromegv,1
jiakamo,1
jnf,1
jwlibre,1
khushidahi,1
krhobeck,1
lkacenja,1
ludtkemorgan,1
martha-brandt,1
mattorchard,1
matzduniuk,1
mbechtel,1
melanie-exygy,1
melissaluc,1
mgormley964,1
millord,1
mmazanec22,1
mmythily,1
mosleyEID,1
mtodd-cfa,1
nb1701,1
nicobao,1
noiteration,1
oscarpinzon,1
phillipahereza,1
pliakhov,1
pre-commit-ci[bot],1
renovate[bot],1
rockycodes,1
saminegash,1
samnabi,1
sarmilan,1
semgrep-code-codeforamerica[bot],1
sergeikofman444,1
shane-exygy,1
skchuhan,1
skeller-exy,1
snyk-bot,1
sonalranjit,1
ssalb1z,1
ssalbiz-relay,1
swatkat1,1
tallulahkay,1
thrishma,1
transifex-integration[bot],1
usmanbiu,1
victorfbrito,1
xdotcommer,1
xnbchd,1
yaelboyd,1
