repo_full_name,total_issues,open_issues,closed_issues,avg_comments_per_issue,median_time_to_close_days,unique_openers,unique_closers,top_openers,top_closers
CivicTechWR/WRVotesPlaceholder,0,0,0,,,0,0,,
CivicTechWR/accessible-housing-portal,143,13,130,0.38,28.86,3,3,adinschmidt=96;jliu1016=44;ehharvey=3,adinschmidt=70;jliu1016=58;ehharvey=2
CivicTechWR/connectedkw,34,17,17,0.47,56.0,9,5,s-kennedy=14;westerveldn=5;thrishma=4;samnabi=4;writingindy=3;cdslipp=1;ssalb1z=1;jliu1016=1;BreakableHoodie=1,writingindy=7;samnabi=5;s-kennedy=3;thrishma=1;ShrijithR=1
CivicTechWR/go-train-group-pass,142,78,64,0.2,55.58,5,4,jliu1016=132;BreakableHoodie=5;Mosaab-Emam=2;adinschmidt=2;gohbi=1,jliu1016=52;adinschmidt=6;BreakableHoodie=4;Mosaab-Emam=2
CivicTechWR/project-pech,0,0,0,,,0,0,,
CodeForAfrica/Dominion.AFRICA,0,0,0,,,0,0,,
CodeForAfrica/GenderGap.AFRICA,18,0,18,0.22,7.88,3,2,chaficnajjar=11;nerdlet=5;DavidLemayian=2,chaficnajjar=9;DavidLemayian=9
CodeForAfrica/PromiseTracker,68,1,67,0.94,11.11,3,4,RalphOwah=55;kelvinkipruto=12;kilemensi=1,kelvinkipruto=51;RalphOwah=12;koechkevin=3;kilemensi=1
CodeForAfrica/academy.AFRICA,34,17,17,0.53,16.89,4,3,RalphOwah=23;koechkevin=4;kelvinkipruto=4;kilemensi=3,kelvinkipruto=10;RalphOwah=4;koechkevin=3
CodeForAfrica/actNOW,1,1,0,0,,1,0,kilemensi=1,
CodeForAfrica/openAFRICA,40,15,25,1.18,155.76,12,3,thepsalmist=13;DavidLemayian=11;phillipahereza=3;gabrielmahia=3;ignatiusukwuoma=2;tebajanga=2;Andretalik=1;andela-onnenanya=1;jonesbaraza=1;kilemensi=1;Maryblessing=1;VinneyJ=1,DavidLemayian=18;thepsalmist=5;kilemensi=2
CodeForAfrica/outbreak.AFRICA,0,0,0,,,0,0,,
CodeForAfrica/sensors.AFRICA,82,5,77,0.51,10.15,7,6,nerdlet=50;DavidLemayian=17;usmanbiu=6;thepsalmist=5;gideonmaina=2;greenkeeper[bot]=1;kilemensi=1,DavidLemayian=46;kilemensi=21;gideonmaina=5;thepsalmist=3;KhadijaMahanga=1;usmanbiu=1
