repo_full_name,total_contributors,bot_contributors,human_contributors,bot_commit_pct,bus_factor,bus_factor_no_bots,hhi,hhi_no_bots,hhi_known_orgs_only
CivicTechWR/WRVotesPlaceholder,9,0,9,0.0,1,1,9454.0,1953.1,5555.6
CivicTechWR/accessible-housing-portal,21,1,20,0.2,4,4,5984.0,1354.8,6147.2
CivicTechWR/connectedkw,23,1,22,0.5,1,1,5557.1,1276.4,8628.3
CivicTechWR/go-train-group-pass,11,0,11,0.0,2,2,9211.9,2741.0,10000.0
CivicTechWR/project-pech,8,1,7,0.5,1,1,10000.0,4678.4,
CodeForAfrica/Dominion.AFRICA,11,1,10,5.8,2,2,3600.4,2652.6,5013.4
CodeForAfrica/GenderGap.AFRICA,18,2,16,6.3,3,3,2092.0,2051.6,2636.8
CodeForAfrica/PromiseTracker,6,1,5,1.3,1,1,9573.6,9573.6,5555.6
CodeForAfrica/academy.AFRICA,5,0,5,0.0,2,2,4979.0,4979.0,9916.0
CodeForAfrica/actNOW,3,2,1,50.0,1,1,10000.0,10000.0,10000.0
CodeForAfrica/openAFRICA,10,0,10,0.0,2,2,3623.6,3663.1,5001.5
CodeForAfrica/outbreak.AFRICA,11,2,9,5.2,2,2,4381.6,4091.5,7555.7
CodeForAfrica/sensors.AFRICA,25,3,22,7.8,3,3,3391.7,3207.0,4452.3
CodeForAfrica/ui,19,4,15,1.9,2,2,3009.3,2155.6,3931.3
CodeforLeipzig/leipziggiesst,13,0,13,0.0,2,2,4205.4,4374.1,4953.1
CodeforLeipzig/weihnachtsmarktkarte,12,2,10,5.5,3,3,4784.2,3049.3,8755.6
VoteIT/voteit_frontend,3,1,2,0.2,1,1,9960.0,9960.0,9960.0
bikespace/bikespace,19,1,18,18.5,3,2,5511.2,2559.8,8892.4
choruslabs/chorus,11,0,11,0.0,1,1,9840.4,6023.5,10000.0
civic-dashboard/civic-dashboard-web,25,0,25,0.0,3,3,5367.6,2032.0,9432.9
civiform/civiform,14,3,11,56.8,1,2,8549.8,1740.4,10000.0
code-for-magdeburg/StadtratWatch-web,4,0,4,0.0,1,1,10000.0,9861.1,
codeforamerica/asap_pdf,6,1,5,18.6,1,1,6343.8,6087.5,10000.0
codeforamerica/cmr-maryland-eligibility-determination,2,0,2,0.0,1,1,10000.0,10000.0,
codeforamerica/document-transfer-service,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
codeforamerica/efiler-api,11,1,10,32.8,2,2,10000.0,3347.1,
codeforamerica/form-flow,8,2,6,81.2,1,1,7589.4,6081.9,8579.9
codeforamerica/pya,12,1,11,34.6,2,2,9885.7,3810.9,10000.0
codeforamerica/tax-benefits-backend,13,0,13,0.0,3,3,6382.2,1706.0,10000.0
codeforamerica/vita-min,23,3,20,5.0,4,4,5841.9,1703.7,8065.0
codeforberlin/we-count,5,0,5,0.0,1,1,10000.0,5822.2,
codeforbielefeld/baumbie,12,0,12,0.0,1,1,7805.4,3388.8,10000.0
codeforbielefeld/losdb,2,0,2,0.0,1,1,9311.2,9311.2,10000.0
codeforcologne/Denkmal-4D-Koeln,3,0,3,0.0,1,1,9027.0,4792.9,10000.0
codeforjapan/BirdXplorer,8,2,6,3.0,2,2,8521.1,3937.4,10000.0
codeforjapan/decidim-cfj,6,2,4,9.2,1,1,5172.3,5172.3,9670.4
codeformuenster/klimawatch,20,1,19,11.0,2,2,4727.8,4678.1,6988.9
digidemlab/decidim-census,1,0,1,0.0,1,1,10000.0,10000.0,10000.0
g0v/tw-rental-house-data,9,1,8,1.3,1,1,9947.2,9530.4,10000.0
iiab/iiab,27,0,27,0.0,1,1,5821.1,5418.5,9005.9
meshtastic/Meshtastic-Android,12,2,10,38.6,1,1,9126.8,9113.0,9932.2
meshtastic/firmware,100,3,97,6.3,3,3,5718.8,1326.9,4947.8
meshtastic/web,35,2,33,6.6,1,1,9095.0,5330.4,6776.9
mysociety/ceuk-marking,5,1,4,4.4,1,1,8665.9,8652.4,9779.8
oklabflensburg/oddfl,4,0,4,0.0,1,1,7662.5,7574.9,10000.0
oklabflensburg/open-biotope-map,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
oklabflensburg/open-data-api,7,0,7,0.0,1,1,9291.7,9419.5,10000.0
oklabflensburg/open-emergency-map,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
oklabflensburg/open-monuments-map,5,1,4,1.7,1,1,9725.1,9724.2,10000.0
oklabflensburg/open-parcel-map,3,1,2,3.7,1,1,10000.0,10000.0,10000.0
oklabflensburg/open-recycling-map,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
oklabflensburg/open-school-map,3,0,3,0.0,1,1,9840.0,9840.0,10000.0
oklabflensburg/open-trees-map,7,0,7,0.0,1,1,7008.5,6961.5,8380.2
openlegaldata/oldp,19,5,14,8.8,1,1,9015.9,9013.7,9831.2
ton-An/station_reach,1,0,1,0.0,1,1,10000.0,10000.0,
