comparison,metric,mature_n,young_n,mature_median,young_median,U_statistic,p_value,cliffs_delta,effect_magnitude
Mature (≥3.5y) vs Young (<3.5y),num_developers,28,27,15.5,4.0,635.5,0.0,0.6812,large
Mature (≥3.5y) vs Young (<3.5y),total_commits,28,27,1355.5,194.0,661.0,0.0,0.7487,large
Mature (≥3.5y) vs Young (<3.5y),bus_factor,28,27,1.0,1.0,469.0,0.075,0.2407,small
Mature (≥3.5y) vs Young (<3.5y),bus_factor_no_bots,28,27,1.5,1.0,478.0,0.053,0.2646,small
Mature (≥3.5y) vs Young (<3.5y),burstiness_cv,28,27,0.875,1.06,254.0,0.0376,-0.328,small
Mature (≥3.5y) vs Young (<3.5y),hhi_no_bots,28,27,4232.8,7574.9,221.0,0.0083,-0.4153,medium
Mature (≥3.5y) vs Young (<3.5y),stale_issue_ratio,21,13,0.8037,0.9872,97.0,0.1575,-0.2894,small
Mature (≥3.5y) vs Young (<3.5y),health_percentage,28,27,50.0,50.0,317.5,0.302,-0.1601,small
Mature (≥3.5y) vs Young (<3.5y),core_contributor_count,28,27,1.0,0.0,426.5,0.3912,0.1283,negligible
Mature (≥3.5y) vs Young (<3.5y),network_density,20,18,0.4322,0.4,163.0,0.6277,-0.0944,negligible
Mature (≥3.5y) vs Young (<3.5y),change_request_acceptance_ratio,26,23,0.8277,0.7903,253.5,0.3666,-0.1522,small
Mature (≥3.5y) vs Young (<3.5y),median_pr_review_turnaround_hours,20,18,3.2,16.35,157.0,0.5106,-0.1278,negligible
