,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,9e-06,2e-06,0.000425,0.000237,0.039196,0.036334,0.125985,9e-06,0.00848,0.204631,0.800868,0.454804,0.789381,0.654631,0.238649,0.673489
num_developers,9e-06,0.0,0.0,1.5e-05,1.3e-05,0.000118,2e-05,0.170983,0.0,0.0,0.017458,0.217516,0.541751,0.079766,0.161487,1e-06,0.128969
total_commits,2e-06,0.0,0.0,0.005644,0.006045,0.134763,0.0634,0.101014,0.001791,0.003246,0.152004,0.995717,0.190034,0.013942,0.072001,0.117955,0.5319
stars,0.000425,1.5e-05,0.005644,0.0,0.0,0.433607,0.312,0.132103,0.019098,0.098759,0.411037,0.198405,0.665803,0.021831,0.340325,0.005398,0.312252
forks,0.000237,1.3e-05,0.006045,0.0,0.0,0.612399,0.449962,0.640632,0.015885,0.131161,0.397812,0.002587,0.950327,0.014486,0.619556,0.011924,0.757524
bus_factor,0.039196,0.000118,0.134763,0.433607,0.612399,0.0,0.0,0.997891,0.0,0.0,0.005457,0.823777,0.145817,0.912199,0.71843,1e-06,0.001671
bus_factor_no_bots,0.036334,2e-05,0.0634,0.312,0.449962,0.0,0.0,0.656523,0.0,0.0,0.00578,0.821893,0.215099,0.833143,0.631063,0.0,0.003053
burstiness_cv,0.125985,0.170983,0.101014,0.132103,0.640632,0.997891,0.656523,0.0,0.857285,0.941732,0.362184,0.659409,0.539466,0.097529,0.842758,0.701581,0.967048
herfindahl_hirschman_index,9e-06,0.0,0.001791,0.019098,0.015885,0.0,0.0,0.857285,0.0,0.0,0.147978,0.582471,0.9107,0.809371,0.98699,0.000256,0.263062
hhi_no_bots,0.00848,0.0,0.003246,0.098759,0.131161,0.0,0.0,0.941732,0.0,0.0,0.004971,0.590643,0.70557,0.957077,0.217734,0.0,0.054541
stale_issue_ratio,0.204631,0.017458,0.152004,0.411037,0.397812,0.005457,0.00578,0.362184,0.147978,0.004971,0.0,0.766557,0.187153,0.511009,0.041562,0.228987,0.349513
health_percentage,0.800868,0.217516,0.995717,0.198405,0.002587,0.823777,0.821893,0.659409,0.582471,0.590643,0.766557,0.0,0.221458,0.030469,0.477603,0.102363,0.679958
change_request_acceptance_ratio,0.454804,0.541751,0.190034,0.665803,0.950327,0.145817,0.215099,0.539466,0.9107,0.70557,0.187153,0.221458,0.0,0.894601,0.07303,0.972543,0.899806
median_time_to_first_response_issues_hours,0.789381,0.079766,0.013942,0.021831,0.014486,0.912199,0.833143,0.097529,0.809371,0.957077,0.511009,0.030469,0.894601,0.0,0.037771,0.3114,0.894975
median_pr_review_turnaround_hours,0.654631,0.161487,0.072001,0.340325,0.619556,0.71843,0.631063,0.842758,0.98699,0.217734,0.041562,0.477603,0.07303,0.037771,0.0,0.280717,0.829159
core_contributor_count,0.238649,1e-06,0.117955,0.005398,0.011924,1e-06,0.0,0.701581,0.000256,0.0,0.228987,0.102363,0.972543,0.3114,0.280717,0.0,0.0
network_density,0.673489,0.128969,0.5319,0.312252,0.757524,0.001671,0.003053,0.967048,0.263062,0.054541,0.349513,0.679958,0.899806,0.894975,0.829159,0.0,0.0
