repo_full_name,active_weeks,total_added,total_removed,net_loc_delta,overall_churn_ratio,mean_weekly_churn,median_weekly_churn,deletion_heavy_weeks_pct
CodeforLeipzig/leipziggiesst,154,4218466,5895574,-1677108,0.583,0.385,0.416,25.3
CodeForAfrica/sensors.AFRICA,119,388124,403492,-15368,0.51,0.404,0.441,22.7
CivicTechWR/accessible-housing-portal,339,2168548,1996910,171638,0.479,0.292,0.269,9.7
CodeForAfrica/GenderGap.AFRICA,53,88041,80564,7477,0.478,0.384,0.44,15.1
codeforamerica/asap_pdf,41,164912,149035,15877,0.475,0.337,0.325,14.6
oklabflensburg/open-recycling-map,9,11057,9619,1438,0.465,0.339,0.429,33.3
codeforjapan/decidim-cfj,223,1048630,888174,160456,0.459,0.308,0.268,17.5
CodeForAfrica/Dominion.AFRICA,52,107875,89352,18523,0.453,0.454,0.5,19.2
fvialibre/heseia-sentence-bias-dataset,3,80245,65781,14464,0.45,0.453,0.5,33.3
CivicTechWR/WRVotesPlaceholder,61,518111,413289,104822,0.444,0.33,0.346,9.8
VoteIT/voteit_frontend,181,253670,187424,66246,0.425,0.376,0.372,16.0
CivicTechWR/go-train-group-pass,9,80752,59522,21230,0.424,0.336,0.294,22.2
digidemlab/decidim-census,217,433165,314206,118959,0.42,0.39,0.385,2.3
CodeForAfrica/ui,199,5379246,3667123,1712123,0.405,0.374,0.385,17.6
CivicTechWR/project-pech,15,54031,36677,17354,0.404,0.221,0.146,6.7
meshtastic/web,178,656036,428841,227195,0.395,0.393,0.418,16.3
CodeForAfrica/outbreak.AFRICA,60,176999,115284,61715,0.394,0.44,0.5,26.7
CodeForAfrica/openAFRICA,50,5839,3725,2114,0.389,0.328,0.333,8.0
CodeforLeipzig/weihnachtsmarktkarte,18,391870,242492,149378,0.382,0.365,0.388,22.2
meshtastic/Meshtastic-Android,300,949402,545843,403559,0.365,0.352,0.359,15.0
code-for-magdeburg/StadtratWatch-web,77,8624807,4906070,3718737,0.363,0.21,0.092,6.5
iiab/iiab,445,446679,252497,194182,0.361,0.38,0.4,9.0
civiform/civiform,277,826085,467315,358770,0.361,0.313,0.306,8.3
oklabflensburg/open-monuments-map,75,543945,290223,253722,0.348,0.437,0.499,14.7
meshtastic/firmware,325,1490783,762557,728226,0.338,0.317,0.304,10.2
codeforamerica/form-flow,167,69836,34415,35421,0.33,0.369,0.425,6.0
openlegaldata/oldp,75,249299,122153,127146,0.329,0.356,0.356,14.7
choruslabs/chorus,41,182091,85073,97018,0.318,0.274,0.254,12.2
oklabflensburg/open-school-map,21,27771,12275,15496,0.307,0.315,0.376,4.8
codeforbielefeld/losdb,9,414104,180023,234081,0.303,0.195,0.004,0.0
ton-An/station_reach,14,21686,9288,12398,0.3,0.311,0.335,7.1
oklabflensburg/open-trees-map,24,560561,230895,329666,0.292,0.236,0.103,4.2
CodeForAfrica/academy.AFRICA,63,102260,40970,61290,0.286,0.302,0.272,9.5
CivicTechWR/connectedkw,64,587606,234485,353121,0.285,0.31,0.295,12.5
codeforberlin/we-count,75,223417,88377,135040,0.283,0.369,0.381,18.7
codeforbielefeld/baumbie,49,148458,56577,91881,0.276,0.289,0.303,18.4
codeforamerica/efiler-api,23,5958,2244,3714,0.274,0.294,0.277,4.3
codeforamerica/vita-min,329,1497327,560764,936563,0.272,0.309,0.27,11.2
codeforamerica/pya,42,19231,7076,12155,0.269,0.373,0.447,9.5
CodeForAfrica/PromiseTracker,32,164478,59683,104795,0.266,0.276,0.31,6.2
oklabflensburg/oddfl,11,10210,3572,6638,0.259,0.265,0.271,9.1
g0v/tw-rental-house-data,93,154286,52790,101496,0.255,0.198,0.127,6.5
CodeForAfrica/actNOW,209,15597,5290,10307,0.253,0.475,0.5,1.0
codeformuenster/klimawatch,59,110141,35479,74662,0.244,0.289,0.235,10.2
civic-dashboard/civic-dashboard-web,63,133388,42849,90539,0.243,0.238,0.179,7.9
codeforamerica/cmr-maryland-eligibility-determination,8,3621,1156,2465,0.242,0.294,0.348,0.0
codeforamerica/tax-benefits-backend,62,10945,3186,7759,0.225,0.225,0.204,1.6
mysociety/ceuk-marking,110,62755,14460,48295,0.187,0.206,0.136,6.4
codeforjapan/BirdXplorer,87,89506,20404,69102,0.186,0.194,0.154,4.6
oklabflensburg/open-biotope-map,8,9043,1500,7543,0.142,0.294,0.312,12.5
bikespace/bikespace,107,954227,125873,828354,0.117,0.302,0.316,9.3
codeforamerica/document-transfer-service,9,7810,838,6972,0.097,0.146,0.103,0.0
oklabflensburg/open-data-api,42,90167,9541,80626,0.096,0.235,0.198,4.8
codeforcologne/Denkmal-4D-Koeln,15,5952,307,5645,0.049,0.259,0.247,0.0
oklabflensburg/open-parcel-map,7,53903,1565,52338,0.028,0.229,0.228,0.0
oklabflensburg/open-emergency-map,3,6590,18,6572,0.003,0.175,0.026,0.0
