repo_full_name,weeks_with_activity,mean_top_share,median_top_share,elephant_weeks_pct,single_contributor_weeks_pct,solo_weeks_pct
ton-An/station_reach,14,1.0,1.0,100.0,100.0,100.0
fvialibre/heseia-sentence-bias-dataset,3,1.0,1.0,100.0,100.0,100.0
digidemlab/decidim-census,217,1.0,1.0,100.0,99.5,99.5
codeforamerica/document-transfer-service,9,1.0,1.0,100.0,100.0,100.0
codeforamerica/cmr-maryland-eligibility-determination,8,1.0,1.0,100.0,100.0,100.0
codeforbielefeld/losdb,9,1.0,1.0,100.0,100.0,88.9
oklabflensburg/open-biotope-map,8,1.0,1.0,100.0,100.0,100.0
oklabflensburg/open-school-map,21,1.0,1.0,100.0,100.0,100.0
oklabflensburg/open-recycling-map,9,1.0,1.0,100.0,100.0,100.0
oklabflensburg/open-emergency-map,3,1.0,1.0,100.0,100.0,100.0
oklabflensburg/open-monuments-map,75,0.994,1.0,100.0,96.0,92.0
VoteIT/voteit_frontend,181,0.988,1.0,100.0,80.1,79.0
oklabflensburg/open-data-api,42,0.985,1.0,100.0,95.2,95.2
oklabflensburg/open-parcel-map,7,0.984,1.0,100.0,85.7,85.7
g0v/tw-rental-house-data,93,0.982,1.0,100.0,93.5,93.5
oklabflensburg/open-trees-map,24,0.978,1.0,100.0,87.5,79.2
CodeForAfrica/openAFRICA,50,0.974,1.0,100.0,88.0,88.0
CivicTechWR/project-pech,15,0.972,1.0,100.0,73.3,73.3
codeforcologne/Denkmal-4D-Koeln,15,0.958,1.0,100.0,86.7,80.0
mysociety/ceuk-marking,110,0.958,1.0,99.1,80.0,80.0
codeforberlin/we-count,75,0.956,1.0,100.0,78.7,77.3
CodeForAfrica/PromiseTracker,32,0.955,1.0,100.0,68.8,68.8
CodeforLeipzig/weihnachtsmarktkarte,18,0.954,1.0,100.0,66.7,61.1
CodeforLeipzig/leipziggiesst,154,0.947,1.0,98.1,80.5,78.6
openlegaldata/oldp,75,0.945,1.0,98.7,69.3,65.3
oklabflensburg/oddfl,11,0.939,1.0,100.0,72.7,72.7
CivicTechWR/connectedkw,64,0.937,1.0,96.9,73.4,73.4
codeformuenster/klimawatch,59,0.933,1.0,98.3,67.8,67.8
bikespace/bikespace,107,0.928,1.0,99.1,55.1,53.3
codeforamerica/asap_pdf,41,0.923,0.989,95.1,39.0,36.6
codeforjapan/BirdXplorer,87,0.916,1.0,96.6,66.7,66.7
CodeForAfrica/GenderGap.AFRICA,53,0.914,1.0,98.1,67.9,67.9
meshtastic/web,178,0.91,1.0,96.6,52.8,48.9
code-for-magdeburg/StadtratWatch-web,77,0.906,1.0,100.0,64.9,49.4
codeforbielefeld/baumbie,49,0.897,1.0,95.9,55.1,55.1
codeforamerica/tax-benefits-backend,62,0.896,1.0,95.2,62.9,62.9
codeforamerica/pya,42,0.894,1.0,95.2,52.4,50.0
choruslabs/chorus,41,0.892,1.0,100.0,65.9,65.9
CodeForAfrica/Dominion.AFRICA,52,0.889,1.0,98.1,51.9,51.9
civic-dashboard/civic-dashboard-web,63,0.882,1.0,95.2,50.8,49.2
iiab/iiab,445,0.867,0.956,97.3,36.4,36.4
CodeForAfrica/academy.AFRICA,63,0.867,0.984,100.0,46.0,44.4
meshtastic/Meshtastic-Android,300,0.865,0.958,96.7,33.0,32.3
codeforamerica/efiler-api,23,0.86,0.926,100.0,39.1,34.8
CivicTechWR/WRVotesPlaceholder,61,0.848,0.937,96.7,39.3,34.4
CivicTechWR/go-train-group-pass,9,0.843,0.918,100.0,33.3,33.3
codeforamerica/form-flow,167,0.807,0.857,91.0,24.0,24.0
CodeForAfrica/sensors.AFRICA,119,0.806,0.914,96.6,35.3,32.8
codeforjapan/decidim-cfj,223,0.806,0.894,94.6,26.5,24.7
CodeForAfrica/outbreak.AFRICA,60,0.773,0.837,95.0,35.0,35.0
CodeForAfrica/ui,199,0.719,0.711,81.9,16.6,16.6
CivicTechWR/accessible-housing-portal,339,0.704,0.693,79.9,9.7,9.4
meshtastic/firmware,325,0.651,0.635,71.7,7.4,7.1
CodeForAfrica/actNOW,209,0.613,0.526,95.2,10.0,10.0
codeforamerica/vita-min,329,0.558,0.507,51.1,3.3,3.3
civiform/civiform,277,0.506,0.472,43.7,2.9,2.9
