repo_full_name,group,tool,source,evidence,count,first_seen
CivicTechWR/accessible-housing-portal,dev,claude_code,file,file:CLAUDE.md,1,
CivicTechWR/accessible-housing-portal,dev,agents_md,file,file:AGENTS.md,1,2026-04-01T21:10:42+00:00
CivicTechWR/accessible-housing-portal,dev,claude_code,pr_body,pr_body:claude_code,1,2026-03-27T04:58:52+00:00
CivicTechWR/connectedkw,product,openai,dependency,dependency:openai,1,
CivicTechWR/go-train-group-pass,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,2,2025-11-20T00:42:07+00:00
CivicTechWR/go-train-group-pass,dev,claude_code,commit_trailer,commit_trailer:claude_code,40,2025-10-08T16:33:13+00:00
CivicTechWR/go-train-group-pass,dev,github_copilot,commit_author,commit_author:github_copilot,1,2025-11-20T00:42:07+00:00
CivicTechWR/go-train-group-pass,dev,github_copilot,pr_author,pr_author:Copilot,11,
CivicTechWR/go-train-group-pass,dev,claude_code,pr_body,pr_body:claude_code,1,2026-05-26T16:03:05+00:00
CivicTechWR/project-pech,dev,claude_code,file,file:CLAUDE.md,1,2025-08-20T22:48:54+00:00
CodeForAfrica/PromiseTracker,product,openai,dependency,dependency:openai,1,
CodeForAfrica/PromiseTracker,product,anthropic,dependency,dependency:anthropic,1,
CodeForAfrica/PromiseTracker,product,cohere,dependency,dependency:cohere,1,
CodeForAfrica/PromiseTracker,product,groq,dependency,dependency:groq,1,
CodeForAfrica/PromiseTracker,product,deepseek,dependency,dependency:deepseek,1,
CodeForAfrica/PromiseTracker,dev,agents_md,file,file:AGENTS.md,1,2025-09-05T09:37:54+00:00
CodeForAfrica/PromiseTracker,dev,claude_code,commit_trailer,commit_trailer:claude_code,8,2026-02-24T07:22:16+00:00
CodeForAfrica/PromiseTracker,dev,openai_codex,commit_trailer,commit_trailer:openai_codex,1,2026-02-03T13:42:30+00:00
CodeForAfrica/PromiseTracker,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,2,2026-01-21T08:40:34+00:00
CodeForAfrica/PromiseTracker,dev,claude_code,workflow,workflow:claude.yml:claude_code,1,
CodeForAfrica/academy.AFRICA,dev,claude_code,commit_trailer,commit_trailer:claude_code,1,2026-02-24T08:27:07+00:00
CodeForAfrica/ui,dev,claude_code,file,file:CLAUDE.md,1,2026-03-12T14:44:39+00:00
CodeForAfrica/ui,dev,agents_md,file,file:AGENTS.md,1,2026-04-23T14:20:23+00:00
CodeForAfrica/ui,dev,claude_code,commit_trailer,commit_trailer:claude_code,2,2026-04-07T10:33:06+00:00
CodeForAfrica/ui,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,3,2026-03-03T06:45:46+00:00
CodeForAfrica/ui,dev,github_copilot,pr_author,pr_author:Copilot,2,
CodeForAfrica/ui,dev,claude_code,workflow,workflow:claude.yml:claude_code,1,
VoteIT/voteit_frontend,dev,claude_code,file,file:CLAUDE.md,1,
VoteIT/voteit_frontend,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,7,2026-04-28T15:30:00+00:00
bikespace/bikespace,dev,claude_code,file,file:CLAUDE.md,1,
bikespace/bikespace,dev,agents_md,file,file:AGENTS.md,1,
choruslabs/chorus,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,9,2025-06-08T17:33:58+00:00
choruslabs/chorus,dev,github_copilot,pr_author,pr_author:Copilot,1,
civic-dashboard/civic-dashboard-web,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,1,2026-04-28T17:18:29+00:00
civiform/civiform,dev,claude_code,commit_trailer,commit_trailer:claude_code,1,2026-02-17T15:09:20+00:00
civiform/civiform,dev,jules,commit_trailer,commit_trailer:jules,1,2025-03-07T20:02:40+00:00
civiform/civiform,dev,jules,pr_author,pr_author:google-labs-jules[bot],1,
civiform/civiform,dev,github_copilot,pr_author,pr_author:Copilot,1,
code-for-magdeburg/StadtratWatch-web,dev,claude_code,file,file:CLAUDE.md,1,2025-10-13T14:59:33+00:00
code-for-magdeburg/StadtratWatch-web,dev,claude_code,file,dir:.claude,1,
code-for-magdeburg/StadtratWatch-web,dev,claude_code,commit_trailer,commit_trailer:claude_code,1,2026-05-12T19:20:15+00:00
codeforamerica/efiler-api,dev,claude_code,commit_trailer,commit_trailer:claude_code,1,2026-05-07T15:21:17+00:00
codeforamerica/form-flow,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,1,2025-06-10T21:47:36+00:00
codeforamerica/tax-benefits-backend,dev,claude_code,commit_trailer,commit_trailer:claude_code,3,2026-04-06T20:39:01+00:00
codeforamerica/tax-benefits-backend,dev,claude_code,pr_body,pr_body:claude_code,1,2026-03-31T02:18:37+00:00
codeforamerica/vita-min,dev,claude_code,file,dir:.claude,1,
codeforamerica/vita-min,dev,claude_code,commit_trailer,commit_trailer:claude_code,2,2026-03-31T21:43:43+00:00
codeforjapan/BirdXplorer,dev,claude_code,file,file:CLAUDE.md,1,2025-04-28T02:30:45+00:00
codeforjapan/BirdXplorer,dev,claude_code,file,dir:.claude,1,
codeforjapan/BirdXplorer,dev,roo,file,dir:.roo,1,
codeforjapan/BirdXplorer,dev,claude_code,commit_trailer,commit_trailer:claude_code,52,2026-01-13T08:20:35+00:00
codeforjapan/BirdXplorer,dev,claude_code,commit_author,commit_author:claude_code,1,2026-01-13T08:20:35+00:00
codeforjapan/BirdXplorer,dev,devin,commit_author,commit_author:devin,14,2025-04-28T04:00:21+00:00
codeforjapan/BirdXplorer,dev,devin,pr_author,pr_author:devin-ai-integration[bot],7,
codeforjapan/BirdXplorer,dev,claude_code,pr_body,pr_body:claude_code,1,2025-06-11T04:02:16+00:00
