repo_full_name,dev_ai_detected,dev_ai_tools,agent_config_files,ai_coauthored_commit_count,ai_authored_commit_count,commits_scanned,ai_commit_ratio,ai_agent_pr_count,ci_ai_workflows,review_bot_tools,first_dev_ai_date,product_llm_detected,product_llm_providers,product_llm_signals
CivicTechWR/WRVotesPlaceholder,False,,,0,0,2142,0.0,0,,,,False,,
CivicTechWR/accessible-housing-portal,True,agents_md;claude_code,AGENTS.md;CLAUDE.md,0,0,3483,0.0,0,,,2026-03-27T04:58:52+00:00,False,,
CivicTechWR/connectedkw,False,,,0,0,414,0.0,0,,,,True,openai,dependency:openai
CivicTechWR/go-train-group-pass,True,claude_code;github_copilot,,42,1,108,0.3981,11,,,2025-10-08T16:33:13+00:00,False,,
CivicTechWR/project-pech,True,claude_code,CLAUDE.md,0,0,186,0.0,0,,,2025-08-20T22:48:54+00:00,False,,
CodeForAfrica/Dominion.AFRICA,False,,,0,0,574,0.0,0,,,,False,,
CodeForAfrica/GenderGap.AFRICA,False,,,0,0,254,0.0,0,,,,False,,
CodeForAfrica/PromiseTracker,True,agents_md;claude_code;github_copilot;openai_codex,AGENTS.md,11,0,445,0.0247,0,claude.yml,,2025-09-05T09:37:54+00:00,True,anthropic;cohere;deepseek;groq;openai,dependency:anthropic;dependency:cohere;dependency:deepseek;dependency:groq;dependency:openai
CodeForAfrica/academy.AFRICA,True,claude_code,,1,0,702,0.0014,0,,,2026-02-24T08:27:07+00:00,False,,
CodeForAfrica/actNOW,False,,,0,0,2117,0.0,0,,,,False,,
CodeForAfrica/openAFRICA,False,,,0,0,154,0.0,0,,,,False,,
CodeForAfrica/outbreak.AFRICA,False,,,0,0,1352,0.0,0,,,,False,,
CodeForAfrica/sensors.AFRICA,False,,,0,0,1274,0.0,0,,,,False,,
CodeForAfrica/ui,True,agents_md;claude_code;github_copilot,AGENTS.md;CLAUDE.md,5,0,10994,0.0005,2,claude.yml,,2026-03-03T06:45:46+00:00,False,,
CodeforLeipzig/leipziggiesst,False,,,0,0,1359,0.0,0,,,,False,,
