Title,Project Link,Github,Github Alias,Final Selected,num_developers,total_commits,first_commit_date,last_commit_date,file_count,"""Contact Us""",Formal Feedback
InvestigativeCenters,https://investigativecenters.org/,https://github.com/ANCIR/InvestigativeCenters.org,ANCIR/InvestigativeCenters.org,No,4,179,2014-05-27T17:00:28+00:00,2025-03-05T10:26:49+00:00,341,,
Bikespace,https://bikespace.ca/,https://github.com/bikespace/bikespace,bikespace/bikespace,Yes,16,398,2019-02-19T23:46:08+00:00,2026-05-28T01:27:45+00:00,847,yes ,no
Canadian SaaS,https://canadian-software.github.io/web/#/,https://github.com/canadian-software/web,canadian-software/web,No,1,91,2026-01-29T20:17:42+00:00,2026-04-14T22:31:07+00:00,52,,
Společně a digitálně,https://spolecneadigitalne.cz/,https://github.com/cesko-digital/spolecne-a-digitalne,cesko-digital/spolecne-a-digitalne,No,5,37,2021-11-17T06:57:14+00:00,2025-02-19T12:46:15+00:00,30,,
Pol.is Toronto,https://choruslabs.github.io/chorus/,https://github.com/choruslabs/chorus,choruslabs/chorus,Yes,11,373,2024-11-27T11:29:20+00:00,2026-04-29T00:28:06+00:00,213,yes,yes
Urban Scratch-off,https://chriswhong.github.io/urbanscratchoff/,https://github.com/chriswhong/urbanscratchoff,chriswhong/urbanscratchoff,No,1,28,2015-12-03T15:03:09+00:00,2022-06-08T01:08:31+00:00,9,,
Chileleaks,https://chileleaks.org/index.html,https://github.com/ciudadanointeligente/chileleaks,ciudadanointeligente/chileleaks,No,6,543,2018-10-08T18:09:01+00:00,2023-03-16T20:26:14+00:00,113,,
Escuela de Incidencia,,https://github.com/ciudadanointeligente/escueladeincidencia.github.io,ciudadanointeligente/escueladeincidencia.github.io,No,13,324,2017-03-13T12:03:22+00:00,2023-03-29T18:26:01+00:00,309,,
nomascohecho No More Bribery,https://nomascohecho.cl/,https://github.com/ciudadanointeligente/no-mas-cohecho,ciudadanointeligente/no-mas-cohecho,No,20,524,2013-10-14T15:52:03+00:00,2023-03-16T22:07:52+00:00,250,,
Vote Smart,https://votainteligente.cl/,https://github.com/ciudadanointeligente/votainteligente-portal-electoral,ciudadanointeligente/votainteligente-portal-electoral,No,29,4766,2013-08-07T19:44:19+00:00,2019-08-24T01:08:15+00:00,3308,,
Civic Dashboard,https://civicdashboard.ca/,https://github.com/civic-dashboard/civic-dashboard-web,civic-dashboard/civic-dashboard-web,Yes,23,200,2024-10-31T15:50:24+00:00,2026-05-27T00:51:54+00:00,227,yes,yes
missing persons,https://civictechto.github.io/missing-persons/,https://github.com/CivicTechTO/missing-persons,CivicTechTO/missing-persons,No,5,215,2022-05-04T00:55:03+00:00,2023-10-10T20:17:54+00:00,83,,
tRacket - Noise Meter Project,https://tracket.info/,https://github.com/CivicTechTO/tRacket-directory-START-HERE,CivicTechTO/tRacket-directory-START-HERE,No,4,46,2024-01-24T14:58:32+00:00,2024-11-01T12:19:02+00:00,1,,
CivicTechWR/accessible-housing-portal,,https://github.com/CivicTechWR/accessible-housing-portal,CivicTechWR/accessible-housing-portal,Yes,42,3483,2019-07-18T07:35:34+00:00,2026-05-27T17:20:04+00:00,259,yes,yes
Affordable Housing Porta,https://affordablehousing.ctwr.org/listings,https://github.com/CivicTechWR/affordable-housing-portal,CivicTechWR/affordable-housing-portal,No,42,3483,2019-07-18T07:35:34+00:00,2026-05-27T17:20:04+00:00,259,,
ConnectedKW,https://www.connectedkw.com/,https://github.com/CivicTechWR/connectedkw,CivicTechWR/connectedkw,Yes,18,414,2022-11-23T21:15:56+00:00,2025-12-10T05:56:11+00:00,248,yes,yes
GO Train,,https://github.com/CivicTechWR/go-train-group-pass,CivicTechWR/go-train-group-pass,Yes,7,110,2025-10-07T20:48:17+00:00,2026-06-04T13:00:46+00:00,115,yes,yes
Midtown Radio App,https://www.midtownradio.ca/,https://github.com/CivicTechWR/MidtownRadioApp,CivicTechWR/MidtownRadioApp,No,7,162,2025-03-27T23:47:08+00:00,2025-10-14T01:55:23+00:00,300,,
LoMo ,,https://github.com/CivicTechWR/project-lomo,CivicTechWR/project-lomo,No,5,38,2026-01-17T13:25:08+00:00,2026-05-27T22:31:40+00:00,277,,
Plan to End Chronic Homelessness (PECH),https://project-pech-civictech.vercel.app/,https://github.com/CivicTechWR/project-pech,CivicTechWR/project-pech,Yes,6,186,2025-07-03T21:16:41+00:00,2025-12-15T16:42:13+00:00,116,no,no
Waterloo Region Votes,https://development.waterlooregionvotes.org/,https://github.com/CivicTechWR/WRVotesPlaceholder,CivicTechWR/WRVotesPlaceholder,Yes,16,2144,2018-03-28T23:45:51+00:00,2026-06-04T18:41:18+00:00,136,Yes,Yes
CiviForm,https://civiform.us/,https://github.com/civiform/civiform,civiform/civiform,Yes,92,7921,2021-01-06T01:24:43+00:00,2026-06-04T21:54:17+00:00,2372,Yes,No
StadtratWatch,https://www.stadtratwatch.de/,https://github.com/code-for-magdeburg/StadtratWatch-web,code-for-magdeburg/StadtratWatch-web,Yes,2,389,2023-10-12T18:23:56+00:00,2026-05-21T19:57:47+00:00,986,Yes,No
academy.AFRICA,https://academy.africa/,https://github.com/CodeForAfrica/academy.AFRICA,CodeForAfrica/academy.AFRICA,Yes,3,702,2023-10-12T14:05:56+00:00,2026-03-18T07:53:13+00:00,404,Yes,No
CodeForAfrica/actNOW,,https://github.com/CodeForAfrica/actNOW,CodeForAfrica/actNOW,Yes,5,2117,2021-04-19T13:49:32+00:00,2026-05-26T11:56:53+00:00,125,Yes,No
africanCOMMONS,https://commons.africa/,https://github.com/CodeForAfrica/africanCOMMONS,CodeForAfrica/africanCOMMONS,No,7,111,2017-02-01T09:12:23+00:00,2019-02-18T09:47:19+00:00,278,,
#AlertME,https://greenalert.oxpeckers.org/,https://github.com/CodeForAfrica/AlertME,CodeForAfrica/AlertME,No,353,5960,2011-06-09T04:45:08+00:00,2025-10-23T11:49:24+00:00,332,,
Dominion,https://dominion.africa/,https://github.com/CodeForAfrica/Dominion.AFRICA,CodeForAfrica/Dominion.AFRICA,Yes,7,574,2019-07-17T14:10:48+00:00,2025-09-17T08:44:36+00:00,194,Yes,No
GenderGap.AFRICA,https://gendergap.africa/,https://github.com/CodeForAfrica/GenderGap.AFRICA,CodeForAfrica/GenderGap.AFRICA,Yes,11,254,2017-03-21T14:49:03+00:00,2025-09-01T23:22:13+00:00,105,Yes,No
HURUmap,https://hurumap.org/,https://github.com/CodeForAfrica/HURUmap,CodeForAfrica/HURUmap,No,4,362,2018-05-19T14:36:57+00:00,2019-12-04T09:18:24+00:00,173,,
openAFRICA ,https://open.africa/,https://github.com/CodeForAfrica/openAFRICA,CodeForAfrica/openAFRICA,Yes,6,154,2017-08-30T14:06:00+00:00,2025-10-16T10:27:31+00:00,30,Yes,No
COVID19map,https://covid19.outbreak.africa/,https://github.com/CodeForAfrica/outbreak.AFRICA,CodeForAfrica/outbreak.AFRICA,Yes,11,1352,2020-03-19T05:12:00+00:00,2025-10-10T09:11:50+00:00,357,No,No
PesaYetu,https://pesayetu.pesacheck.org/explore/ke,https://github.com/CodeForAfrica/PesaYetu,CodeForAfrica/PesaYetu,No,14,2741,2019-09-11T06:19:04+00:00,2024-06-18T08:52:15+00:00,505,,
promisetracker,https://promisetracker.dev.codeforafrica.org/,https://github.com/CodeForAfrica/PromiseTracker,CodeForAfrica/PromiseTracker,Yes,4,445,2025-08-12T11:13:07+00:00,2026-05-06T08:05:33+00:00,266,No,No
sensors.AFRICA,https://sensors.africa/,https://github.com/CodeForAfrica/sensors.AFRICA,CodeForAfrica/sensors.AFRICA,Yes,19,1274,2018-03-23T08:27:36+00:00,2026-05-18T12:18:11+00:00,242,Yes,No
stormwatch,https://stormwatch.sensors.africa/,https://github.com/CodeForAfrica/sensors.AFRICA-StormWatch,CodeForAfrica/sensors.AFRICA-StormWatch,No,2,12,2018-05-16T05:04:19+00:00,2018-08-10T13:22:59+00:00,110,,
sourceAFRICA ,https://sourceafrica.net/,https://github.com/CodeForAfrica/sourceAFRICA,CodeForAfrica/sourceAFRICA,No,22,7706,2009-08-06T15:01:33+00:00,2018-12-31T15:19:45+00:00,1206,,
TaxClock - Kenya,https://taxclock.pesacheck.org/,https://github.com/CodeForAfrica/TaxClock.Kenya,CodeForAfrica/TaxClock.Kenya,No,11,252,2016-02-22T14:00:51+00:00,2025-03-13T12:54:43+00:00,100,,
CodeForAfrica/ui,,https://github.com/CodeForAfrica/ui,CodeForAfrica/ui,Yes,19,10994,2022-07-13T08:26:07+00:00,2026-06-01T08:43:21+00:00,4066,No,No
civicsignal,https://civicsignal.africa/#/home,https://github.com/CodeForAfrica/web-tools,CodeForAfrica/web-tools,No,15,6861,2016-03-08T16:03:16+00:00,2025-06-27T06:08:24+00:00,1559,,
asap_pdf,,https://github.com/codeforamerica/asap_pdf,codeforamerica/asap_pdf,Yes,6,605,2025-01-31T21:38:58+00:00,2026-05-11T23:18:35+00:00,371,Yes,No
Maryland Eligibility Determination,https://cmr-maryland-eligibility-determination.streamlit.app/,https://github.com/codeforamerica/cmr-maryland-eligibility-determination,codeforamerica/cmr-maryland-eligibility-determination,Yes,1,49,2025-03-04T21:42:06+00:00,2026-01-27T21:40:07+00:00,16,Yes,No
document-transfer-service,,https://github.com/codeforamerica/document-transfer-service,codeforamerica/document-transfer-service,Yes,1,13,2024-05-07T15:36:24+00:00,2025-07-02T20:15:15+00:00,166,No,No
Dropzone ,https://www.dropzone.dev/,https://github.com/codeforamerica/dropzone,codeforamerica/dropzone,No,65,1100,2012-02-12T16:40:00+00:00,2022-04-02T16:01:52+00:00,47,,
an internal API for efiling,,https://github.com/codeforamerica/efiler-api,codeforamerica/efiler-api,Yes,8,142,2025-06-23T19:40:06+00:00,2026-06-01T18:22:06+00:00,86,No,No
form flow,https://forms-starter.cfa-platforms.org/,https://github.com/codeforamerica/form-flow,codeforamerica/form-flow,Yes,18,1356,2022-09-21T17:03:04+00:00,2026-06-03T22:31:31+00:00,457,No,No
Honeycrisp Design System,https://honeycrisp.herokuapp.com/cfa/styleguide,https://github.com/codeforamerica/honeycrisp-gem,codeforamerica/honeycrisp-gem,No,30,415,2018-07-26T22:31:22+00:00,2026-01-08T19:36:21+00:00,351,,
iac-transit-baseapp,,https://github.com/codeforamerica/iac-transit-baseapp,codeforamerica/iac-transit-baseapp,No,0,40,2025-10-02T20:02:29+00:00,2025-11-05T23:24:05+00:00,56,,
North American Industry Classification System API,,https://github.com/codeforamerica/naics-api,codeforamerica/naics-api,No,3,113,2013-05-21T20:34:20+00:00,2014-02-19T00:35:36+00:00,31,,
Nava Platform,,https://github.com/codeforamerica/nava-platform-tools,codeforamerica/nava-platform-tools,No,2,6,2022-09-09T23:00:33+00:00,2024-05-30T22:01:06+00:00,6,,
