var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
core_contributor_count,network_density,-0.7636,0.0,37,True,True
num_developers,hhi_no_bots,-0.7644,0.0,55,True,True
stars,forks,0.7941,0.0,56,True,True
bus_factor,bus_factor_no_bots,0.9195,0.0,55,True,True
bus_factor,herfindahl_hirschman_index,-0.6353,0.0,55,True,True
bus_factor,hhi_no_bots,-0.7296,0.0,55,True,True
num_developers,herfindahl_hirschman_index,-0.6558,0.0,55,True,True
bus_factor,core_contributor_count,0.625,0.0,55,True,True
bus_factor_no_bots,herfindahl_hirschman_index,-0.6281,0.0,55,True,True
bus_factor_no_bots,hhi_no_bots,-0.7871,0.0,55,True,True
bus_factor_no_bots,core_contributor_count,0.686,0.0,55,True,True
herfindahl_hirschman_index,hhi_no_bots,0.744,0.0,55,True,True
hhi_no_bots,core_contributor_count,-0.6829,0.0,55,True,True
num_developers,total_commits,0.6937,0.0,56,True,True
age_years,total_commits,0.5835,2e-06,56,True,True
num_developers,core_contributor_count,0.5812,3e-06,56,True,True
age_years,herfindahl_hirschman_index,-0.5661,7e-06,55,True,True
age_years,num_developers,0.5502,1.1e-05,56,True,True
num_developers,bus_factor_no_bots,0.5488,1.4e-05,55,True,True
num_developers,forks,0.5397,1.8e-05,56,True,True
num_developers,bus_factor,0.5423,1.9e-05,55,True,True
num_developers,stars,0.5334,2.3e-05,56,True,True
age_years,forks,0.4716,0.000243,56,True,True
herfindahl_hirschman_index,core_contributor_count,-0.4721,0.000274,55,True,True
age_years,stars,0.4522,0.000468,56,True,True
bus_factor,network_density,-0.5388,0.000581,37,True,True
total_commits,herfindahl_hirschman_index,-0.4222,0.001324,55,True,True
bus_factor_no_bots,network_density,-0.4701,0.003326,37,True,True
bus_factor,stale_issue_ratio,-0.4874,0.004012,33,True,True
forks,health_percentage,0.3709,0.004889,56,True,True
hhi_no_bots,stale_issue_ratio,0.4742,0.005301,33,True,True
total_commits,hhi_no_bots,-0.3573,0.007413,55,True,True
total_commits,stars,0.3536,0.007501,56,True,True
total_commits,median_time_to_first_response_issues_hours,-0.4776,0.007601,30,True,True
total_commits,forks,0.3521,0.00778,56,True,True
stars,core_contributor_count,0.3421,0.009852,56,True,True
num_developers,stale_issue_ratio,-0.4362,0.009914,34,True,True
bus_factor_no_bots,stale_issue_ratio,-0.4257,0.013502,33,True,True
forks,median_time_to_first_response_issues_hours,-0.4368,0.0158,30,True,False
forks,herfindahl_hirschman_index,-0.3191,0.017581,55,True,False
age_years,bus_factor,0.3146,0.019305,55,True,False
num_developers,network_density,-0.3797,0.020469,37,True,False
age_years,hhi_no_bots,-0.3108,0.020912,55,True,False
forks,core_contributor_count,0.3073,0.021215,56,True,False
stars,herfindahl_hirschman_index,-0.3034,0.024338,55,True,False
stars,median_time_to_first_response_issues_hours,-0.4088,0.024889,30,True,False
age_years,bus_factor_no_bots,0.2939,0.029414,55,True,False
