,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,54.0,1661.6666666666667,3187.786030081835,9.0,162.0,393.5,1358.25,14729.0,1196.25
num_developers,54.0,21.666666666666668,58.497863208838666,1.0,3.0,7.0,16.0,414.0,13.0
stars,54.0,238.83333333333334,1094.6970072745469,0.0,1.25,4.0,23.0,7720.0,21.75
forks,54.0,67.66666666666667,334.96679643955923,0.0,0.0,2.0,9.25,2422.0,9.25
health_percentage,54.0,51.925925925925924,22.552958097283064,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,54.0,1.5740740740740742,0.8600537905918388,1.0,1.0,1.0,2.0,4.0,1.0
bus_factor_no_bots,54.0,1.5740740740740742,0.8600537905918388,1.0,1.0,1.0,2.0,4.0,1.0
burstiness_cv,54.0,1.0053703703703705,0.3988460381204614,0.07,0.75,0.945,1.2375,1.92,0.48750000000000004
elephant_factor,54.0,1.0925925925925926,0.2925824198357194,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,54.0,1.0925925925925926,0.2925824198357194,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,54.0,7681.788888888889,2416.410706037277,2092.0,5598.700000000001,8829.65,9931.825,10000.0,4333.125
hhi_no_bots,54.0,6076.040740740741,3188.1966366831784,1276.4,3242.025,5619.9,9562.8,10000.0,6320.775
hhi_known_orgs_only,48.0,8488.874999999998,2119.4824417918235,2636.8,7414.0,9809.95,10000.0,10000.0,2586.0
stale_issue_ratio,33.0,0.816939393939394,0.2435040694467368,0.0,0.6809,0.918,1.0,1.0,0.31910000000000005
change_request_acceptance_ratio,48.0,0.7702145833333334,0.21694740512693866,0.1667,0.7199249999999999,0.81705,0.9213749999999999,1.0,0.20145000000000002
median_time_to_first_response_issues_hours,30.0,815.7066666666666,1791.858492899122,0.0,34.15,73.35,478.45,7300.3,444.3
median_time_to_first_response_prs_hours,28.0,39.53928571428572,70.73274865862511,0.1,1.8499999999999999,12.3,47.325,336.7,45.475
median_pr_review_turnaround_hours,37.0,47.48108108108108,125.56157152267266,0.0,2.3,13.2,36.3,731.7,34.0
avg_review_comments_per_pr,48.0,0.30312500000000003,0.38466429823994003,0.0,0.0,0.14,0.5,2.0,0.5
core_contributor_count,54.0,1.8703703703703705,2.733760257092136,0.0,0.0,0.5,3.0,15.0,3.0
periphery_contributor_count,54.0,3.685185185185185,4.1428459549648755,0.0,0.0,3.0,5.0,19.0,5.0
network_density,37.0,0.4810864864864864,0.28958368888434977,0.1052,0.2667,0.4,0.6667,1.0,0.39999999999999997
bot_contributor_count,54.0,0.9629629629629629,1.1810287003520306,0.0,0.0,1.0,1.75,5.0,1.75
bot_commit_count,54.0,53.24074074074074,134.54969414928956,0.0,0.0,1.0,33.5,818.0,33.5
unknown_org_contributor_count,54.0,7.203703703703703,11.183511497735672,0.0,1.25,4.0,10.0,75.0,8.75
