repo_full_name,contributors,total_commits,effort_gini_lines,effort_gini_commits,top1_lines_share,top1_contributor
meshtastic/Meshtastic-Android,115,6838,0.97,0.932,0.736,jamesarich
meshtastic/firmware,439,11938,0.959,0.914,0.187,caveman99
meshtastic/web,75,1519,0.949,0.875,0.433,danditomaso
openlegaldata/oldp,14,448,0.92,0.846,0.961,malteos
iiab/iiab,42,14729,0.906,0.923,0.652,holta
bikespace/bikespace,16,398,0.898,0.674,0.833,sonalranjit
g0v/tw-rental-house-data,9,383,0.887,0.863,0.995,ddio
CivicTechWR/WRVotesPlaceholder,26,2142,0.886,0.868,0.549,pnijjar
CivicTechWR/connectedkw,23,414,0.882,0.776,0.489,sharon.peishan.kennedy@gmail.com
CodeforLeipzig/weihnachtsmarktkarte,9,454,0.873,0.562,0.952,joergreichert
choruslabs/chorus,11,373,0.868,0.832,0.784,MaanasArora
codeformuenster/klimawatch,16,264,0.864,0.749,0.704,silberzwiebel
codeforjapan/decidim-cfj,16,2044,0.862,0.816,0.492,halsk
CivicTechWR/accessible-housing-portal,53,3483,0.849,0.748,0.173,pbn4
civic-dashboard/civic-dashboard-web,24,200,0.843,0.725,0.326,garobrik
CivicTechWR/project-pech,8,186,0.837,0.714,0.89,j2fyi
codeforamerica/vita-min,70,7259,0.828,0.725,0.282,bytheway875
CodeforLeipzig/leipziggiesst,18,1359,0.822,0.701,0.46,fdnklg
CodeForAfrica/sensors.AFRICA,24,1274,0.811,0.781,0.387,kilemensi
CodeForAfrica/ui,25,10994,0.8,0.768,0.258,kilemensi
CodeForAfrica/outbreak.AFRICA,12,1352,0.774,0.731,0.565,kilemensi
oklabflensburg/open-trees-map,5,99,0.773,0.675,0.955,p3t3r67x0
oklabflensburg/open-monuments-map,4,292,0.75,0.724,1.0,p3t3r67x0
oklabflensburg/open-data-api,4,272,0.747,0.719,0.996,p3t3r67x0
civiform/civiform,98,7916,0.74,0.77,0.145,gwendolyngoetz
codeforjapan/BirdXplorer,9,738,0.736,0.592,0.565,yu23ki14
codeforamerica/pya,10,280,0.726,0.623,0.471,DrewProebstel
CodeForAfrica/PromiseTracker,5,445,0.704,0.741,0.842,kelvinkipruto
mysociety/ceuk-marking,5,679,0.703,0.732,0.841,struan
codeforamerica/form-flow,19,1356,0.693,0.691,0.26,cram-cfa
CodeForAfrica/GenderGap.AFRICA,13,254,0.687,0.532,0.507,DavidLemayian
codeforamerica/efiler-api,8,142,0.677,0.556,0.576,mrotondo
codeforamerica/asap_pdf,6,605,0.67,0.576,0.53,lkacenja
codeforcologne/Denkmal-4D-Koeln,3,39,0.663,0.359,0.995,OpenDEM
codeforbielefeld/baumbie,7,263,0.64,0.644,0.537,HelenBielawa
oklabflensburg/oddfl,3,111,0.636,0.541,0.966,p3t3r67x0
codeforamerica/tax-benefits-backend,11,196,0.628,0.44,0.543,jamesiarmes
CodeForAfrica/openAFRICA,8,154,0.628,0.58,0.46,thepsalmist
CodeForAfrica/academy.AFRICA,5,702,0.61,0.585,0.534,kelvinkipruto
VoteIT/voteit_frontend,4,2043,0.596,0.472,0.697,johan@radkompaniet.se
CivicTechWR/go-train-group-pass,9,108,0.573,0.615,0.381,jliu1016
CodeForAfrica/Dominion.AFRICA,8,574,0.569,0.478,0.352,kilemensi
code-for-magdeburg/StadtratWatch-web,3,389,0.553,0.416,0.83,JensWinter
digidemlab/decidim-census,2,1485,0.5,0.499,1.0,PierreMesure
codeforbielefeld/losdb,2,28,0.5,0.464,1.0,marcelotto
oklabflensburg/open-school-map,2,124,0.5,0.492,1.0,p3t3r67x0
oklabflensburg/open-parcel-map,2,27,0.495,0.463,0.995,p3t3r67x0
CodeForAfrica/actNOW,5,2117,0.414,0.497,0.463,kilemensi
codeforberlin/we-count,4,538,0.315,0.487,0.393,PaulineHartwig
oklabflensburg/open-recycling-map,1,36,0.0,0.0,1.0,p3t3r67x0
oklabflensburg/open-biotope-map,1,62,0.0,0.0,1.0,p3t3r67x0
oklabflensburg/open-emergency-map,1,9,0.0,0.0,1.0,p3t3r67x0
fvialibre/heseia-sentence-bias-dataset,1,9,0.0,0.0,1.0,guidoivetta
codeforamerica/cmr-maryland-eligibility-determination,1,49,0.0,0.0,1.0,victorSauceda
codeforamerica/document-transfer-service,1,13,0.0,0.0,1.0,jamesiarmes
ton-An/station_reach,1,272,0.0,0.0,1.0,ton-An
