repo_full_name,week_start,total_commits,unique_contributors,new_contributors,cumulative_commits,cumulative_contributors
CivicTechWR/WRVotesPlaceholder,2018-03-26,1,1,1,1,1
CivicTechWR/WRVotesPlaceholder,2018-04-09,1,1,0,2,1
CivicTechWR/WRVotesPlaceholder,2018-04-23,8,1,0,10,1
CivicTechWR/WRVotesPlaceholder,2018-05-07,20,2,1,30,2
CivicTechWR/WRVotesPlaceholder,2018-05-21,2,1,0,32,2
CivicTechWR/WRVotesPlaceholder,2018-06-04,4,2,1,36,3
CivicTechWR/WRVotesPlaceholder,2018-07-09,81,1,1,117,4
CivicTechWR/WRVotesPlaceholder,2018-07-16,125,3,1,242,5
CivicTechWR/WRVotesPlaceholder,2018-07-23,146,4,2,388,7
CivicTechWR/WRVotesPlaceholder,2018-07-30,141,3,1,529,8
CivicTechWR/WRVotesPlaceholder,2018-08-06,104,5,2,633,10
CivicTechWR/WRVotesPlaceholder,2018-08-13,49,3,1,682,11
CivicTechWR/WRVotesPlaceholder,2018-08-20,200,7,3,882,14
CivicTechWR/WRVotesPlaceholder,2018-08-27,47,5,0,929,14
CivicTechWR/WRVotesPlaceholder,2018-09-03,61,5,0,990,14
CivicTechWR/WRVotesPlaceholder,2018-09-10,58,4,0,1048,14
CivicTechWR/WRVotesPlaceholder,2018-09-17,64,3,0,1112,14
CivicTechWR/WRVotesPlaceholder,2018-09-24,57,4,0,1169,14
CivicTechWR/WRVotesPlaceholder,2018-10-01,59,5,0,1228,14
CivicTechWR/WRVotesPlaceholder,2018-10-08,47,7,3,1275,17
CivicTechWR/WRVotesPlaceholder,2018-10-15,48,6,1,1323,18
CivicTechWR/WRVotesPlaceholder,2018-10-22,34,4,0,1357,18
CivicTechWR/WRVotesPlaceholder,2018-10-29,44,3,0,1401,18
CivicTechWR/WRVotesPlaceholder,2018-11-05,12,2,0,1413,18
CivicTechWR/WRVotesPlaceholder,2018-11-12,11,2,0,1424,18
CivicTechWR/WRVotesPlaceholder,2018-11-19,9,2,0,1433,18
CivicTechWR/WRVotesPlaceholder,2018-11-26,7,1,0,1440,18
CivicTechWR/WRVotesPlaceholder,2018-12-03,5,1,0,1445,18
CivicTechWR/WRVotesPlaceholder,2019-06-10,10,1,0,1455,18
CivicTechWR/WRVotesPlaceholder,2019-09-09,1,1,1,1456,19
CivicTechWR/WRVotesPlaceholder,2019-09-16,37,2,0,1493,19
CivicTechWR/WRVotesPlaceholder,2019-09-23,42,2,1,1535,20
CivicTechWR/WRVotesPlaceholder,2019-09-30,41,5,1,1576,21
CivicTechWR/WRVotesPlaceholder,2019-10-07,22,3,0,1598,21
CivicTechWR/WRVotesPlaceholder,2019-10-14,18,2,1,1616,22
CivicTechWR/WRVotesPlaceholder,2019-10-21,14,2,0,1630,22
CivicTechWR/WRVotesPlaceholder,2019-10-28,7,1,0,1637,22
CivicTechWR/WRVotesPlaceholder,2019-11-04,7,1,0,1644,22
CivicTechWR/WRVotesPlaceholder,2019-11-11,1,1,0,1645,22
CivicTechWR/WRVotesPlaceholder,2022-08-01,2,1,0,1647,22
CivicTechWR/WRVotesPlaceholder,2022-08-08,3,1,0,1650,22
CivicTechWR/WRVotesPlaceholder,2022-08-15,13,1,0,1663,22
CivicTechWR/WRVotesPlaceholder,2022-08-22,11,1,0,1674,22
CivicTechWR/WRVotesPlaceholder,2022-08-29,28,2,1,1702,23
CivicTechWR/WRVotesPlaceholder,2022-09-05,29,2,0,1731,23
CivicTechWR/WRVotesPlaceholder,2022-09-12,57,2,0,1788,23
CivicTechWR/WRVotesPlaceholder,2022-09-19,45,2,0,1833,23
CivicTechWR/WRVotesPlaceholder,2022-09-26,46,2,0,1879,23
CivicTechWR/WRVotesPlaceholder,2022-10-03,46,2,0,1925,23
CivicTechWR/WRVotesPlaceholder,2022-10-10,36,2,0,1961,23
CivicTechWR/WRVotesPlaceholder,2022-10-17,39,2,0,2000,23
CivicTechWR/WRVotesPlaceholder,2022-10-24,32,2,0,2032,23
CivicTechWR/WRVotesPlaceholder,2022-10-31,3,2,0,2035,23
CivicTechWR/WRVotesPlaceholder,2022-11-07,3,1,0,2038,23
CivicTechWR/WRVotesPlaceholder,2022-11-28,5,1,0,2043,23
CivicTechWR/WRVotesPlaceholder,2022-12-05,2,2,0,2045,23
CivicTechWR/WRVotesPlaceholder,2023-01-02,2,1,0,2047,23
CivicTechWR/WRVotesPlaceholder,2025-02-10,1,1,0,2048,23
CivicTechWR/WRVotesPlaceholder,2025-10-13,5,2,1,2053,24
CivicTechWR/WRVotesPlaceholder,2025-10-20,4,1,1,2057,25
CivicTechWR/WRVotesPlaceholder,2025-12-29,8,1,0,2065,25
CivicTechWR/WRVotesPlaceholder,2026-01-05,20,1,0,2085,25
CivicTechWR/WRVotesPlaceholder,2026-01-12,8,1,0,2093,25
CivicTechWR/WRVotesPlaceholder,2026-01-19,4,1,0,2097,25
CivicTechWR/WRVotesPlaceholder,2026-01-26,11,1,0,2108,25
CivicTechWR/WRVotesPlaceholder,2026-02-02,10,2,1,2118,26
CivicTechWR/WRVotesPlaceholder,2026-05-25,21,1,0,2139,26
CivicTechWR/WRVotesPlaceholder,2026-06-01,3,1,0,2142,26
CivicTechWR/accessible-housing-portal,2019-07-15,1,1,1,1,1
CivicTechWR/accessible-housing-portal,2019-07-22,2,2,1,3,2
CivicTechWR/accessible-housing-portal,2019-07-29,4,3,1,7,3
CivicTechWR/accessible-housing-portal,2019-08-05,5,3,0,12,3
CivicTechWR/accessible-housing-portal,2019-08-12,4,3,0,16,3
CivicTechWR/accessible-housing-portal,2019-08-19,3,3,0,19,3
CivicTechWR/accessible-housing-portal,2019-08-26,4,2,0,23,3
CivicTechWR/accessible-housing-portal,2019-09-02,1,1,0,24,3
CivicTechWR/accessible-housing-portal,2019-09-09,2,2,0,26,3
CivicTechWR/accessible-housing-portal,2019-09-16,2,2,1,28,4
CivicTechWR/accessible-housing-portal,2019-09-30,5,3,0,33,4
CivicTechWR/accessible-housing-portal,2019-10-07,3,2,1,36,5
CivicTechWR/accessible-housing-portal,2019-10-14,4,3,0,40,5
CivicTechWR/accessible-housing-portal,2019-10-21,7,3,0,47,5
CivicTechWR/accessible-housing-portal,2019-10-28,5,2,0,52,5
CivicTechWR/accessible-housing-portal,2019-11-04,3,2,1,55,6
CivicTechWR/accessible-housing-portal,2019-11-11,4,3,0,59,6
CivicTechWR/accessible-housing-portal,2019-12-02,7,2,0,66,6
CivicTechWR/accessible-housing-portal,2019-12-09,3,2,0,69,6
CivicTechWR/accessible-housing-portal,2020-01-06,4,1,0,73,6
CivicTechWR/accessible-housing-portal,2020-01-13,7,3,0,80,6
CivicTechWR/accessible-housing-portal,2020-01-20,1,1,0,81,6
CivicTechWR/accessible-housing-portal,2020-02-03,5,2,0,86,6
CivicTechWR/accessible-housing-portal,2020-02-10,2,1,0,88,6
CivicTechWR/accessible-housing-portal,2020-02-17,3,1,0,91,6
CivicTechWR/accessible-housing-portal,2020-02-24,1,1,0,92,6
CivicTechWR/accessible-housing-portal,2020-03-02,9,3,0,101,6
CivicTechWR/accessible-housing-portal,2020-03-09,1,1,0,102,6
CivicTechWR/accessible-housing-portal,2020-03-16,4,2,0,106,6
CivicTechWR/accessible-housing-portal,2020-03-23,3,2,0,109,6
CivicTechWR/accessible-housing-portal,2020-03-30,6,2,0,115,6
CivicTechWR/accessible-housing-portal,2020-04-06,8,3,0,123,6
CivicTechWR/accessible-housing-portal,2020-04-13,4,2,0,127,6
CivicTechWR/accessible-housing-portal,2020-04-20,8,3,0,135,6
CivicTechWR/accessible-housing-portal,2020-04-27,4,4,1,139,7
CivicTechWR/accessible-housing-portal,2020-05-04,6,4,0,145,7
CivicTechWR/accessible-housing-portal,2020-05-11,2,2,0,147,7
CivicTechWR/accessible-housing-portal,2020-05-18,3,2,0,150,7
CivicTechWR/accessible-housing-portal,2020-05-25,2,2,0,152,7
CivicTechWR/accessible-housing-portal,2020-06-01,13,5,1,165,8
CivicTechWR/accessible-housing-portal,2020-06-15,11,6,0,176,8
CivicTechWR/accessible-housing-portal,2020-06-22,4,3,0,180,8
CivicTechWR/accessible-housing-portal,2020-06-29,17,5,0,197,8
CivicTechWR/accessible-housing-portal,2020-07-06,7,4,0,204,8
CivicTechWR/accessible-housing-portal,2020-07-13,12,4,0,216,8
CivicTechWR/accessible-housing-portal,2020-07-20,9,4,0,225,8
CivicTechWR/accessible-housing-portal,2020-07-27,9,6,1,234,9
CivicTechWR/accessible-housing-portal,2020-08-03,10,4,1,244,10
CivicTechWR/accessible-housing-portal,2020-08-10,19,5,0,263,10
CivicTechWR/accessible-housing-portal,2020-08-17,7,5,0,270,10
CivicTechWR/accessible-housing-portal,2020-08-24,11,6,0,281,10
CivicTechWR/accessible-housing-portal,2020-08-31,21,6,0,302,10
CivicTechWR/accessible-housing-portal,2020-09-07,21,5,0,323,10
CivicTechWR/accessible-housing-portal,2020-09-14,16,6,0,339,10
CivicTechWR/accessible-housing-portal,2020-09-21,15,7,0,354,10
CivicTechWR/accessible-housing-portal,2020-09-28,6,3,0,360,10
