repo_full_name,total_contributors,bot_contributors,human_contributors,bot_commit_pct,bus_factor,bus_factor_no_bots,hhi,hhi_no_bots,hhi_known_orgs_only
DemocracyClub/UK-Polling-Stations,9,2,7,51.6,1,2,5470.3,3219.8,9050.0
DemocracyClub/WhoCanIVoteFor,11,1,10,0.4,2,2,5193.6,5306.5,10000.0
fvialibre/edia,5,0,5,0.0,1,1,5800.0,5082.2,10000.0
luftdata/luftdata.se,4,0,4,0.0,1,1,5317.7,5317.7,5793.8
CodeForAfrica/PromiseTracker,6,1,5,1.4,1,1,9557.9,9557.9,5555.6
CodeForAfrica/academy.AFRICA,5,0,5,0.0,2,2,4979.0,4979.0,9916.0
CodeForAfrica/Dominion.AFRICA,11,1,10,5.8,2,2,3600.4,2652.6,5013.4
CodeForAfrica/GenderGap.AFRICA,18,2,16,6.3,3,3,2092.0,2051.6,2636.8
CodeForAfrica/openAFRICA,10,0,10,0.0,2,2,3623.6,3663.1,5001.5
CodeForAfrica/outbreak.AFRICA,11,2,9,5.2,2,2,4381.6,4091.5,7555.7
CodeForAfrica/ui,19,4,15,1.9,2,2,2999.9,2134.7,3891.6
CodeForAfrica/sensors.AFRICA,24,3,21,7.8,3,3,3365.9,3174.8,4429.1
codeforamerica/form-flow,8,2,6,80.4,1,1,7673.9,6212.0,8579.9
codeforamerica/vita-min,20,1,19,3.8,4,4,5856.5,1630.4,7944.8
codeforamerica/tofu-modules-aws-serverless-database,3,1,2,27.5,1,1,9334.1,9334.1,10000.0
codeforamerica/tax-benefits-backend,11,0,11,0.0,3,3,6222.7,1774.1,10000.0
codeforamerica/pya,11,1,10,32.8,2,2,9884.4,3841.2,10000.0
codeforamerica/honeycrisp-gem,49,1,48,7.0,5,4,4500.1,1550.7,5205.2
codeforamerica/asap_pdf,5,1,4,18.6,1,1,6343.8,6098.9,10000.0
codeforamerica/cmr-maryland-eligibility-determination,2,0,2,0.0,1,1,10000.0,10000.0,
codeforamerica/document-transfer-service,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
markov-root/atlas,3,0,3,0.0,1,1,10000.0,5000.0,
fvialibre/heseia-sentence-bias-dataset,1,0,1,0.0,1,1,10000.0,10000.0,
codeforjapan/BirdXplorer,8,2,6,3.0,2,2,8350.2,3853.7,10000.0
meshtastic/Meshtastic-Android,12,2,10,28.4,1,1,9506.6,9504.2,9830.5
meshtastic/web,34,2,32,6.0,1,1,9100.6,5327.8,6776.9
meshtastic/firmware,100,3,97,6.1,3,3,5734.8,1326.3,5097.4
civiform/civiform,16,3,13,52.8,2,3,8959.0,1420.6,10000.0
iiab/iiab,27,0,27,0.0,1,1,5841.7,5444.9,9010.6
