var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
bus_factor,bus_factor_no_bots,0.9548,0.0,29,True,True
stars,burstiness_cv,-1.0,0.0,3,True,True
bus_factor,hhi_no_bots,-0.846,0.0,29,True,True
bus_factor,core_contributor_count,0.7927,0.0,29,True,True
num_developers,burstiness_cv,-1.0,0.0,3,True,True
forks,burstiness_cv,-1.0,0.0,3,True,True
bus_factor_no_bots,hhi_no_bots,-0.9099,0.0,29,True,True
burstiness_cv,health_percentage,-1.0,0.0,3,True,True
burstiness_cv,median_time_to_first_response_issues_hours,1.0,0.0,3,True,True
burstiness_cv,median_pr_review_turnaround_hours,-1.0,0.0,3,True,True
stars,forks,0.9001,0.0,29,True,True
bus_factor_no_bots,core_contributor_count,0.801,0.0,29,True,True
num_developers,total_commits,0.8526,0.0,29,True,True
hhi_no_bots,core_contributor_count,-0.7613,2e-06,29,True,True
num_developers,stars,0.7202,1.1e-05,29,True,True
num_developers,forks,0.7153,1.3e-05,29,True,True
age_years,herfindahl_hirschman_index,-0.6673,7.7e-05,29,True,True
core_contributor_count,network_density,-0.7092,0.000104,24,True,True
total_commits,forks,0.6497,0.000137,29,True,True
stars,health_percentage,0.6261,0.00028,29,True,True
forks,health_percentage,0.6212,0.000323,29,True,True
herfindahl_hirschman_index,hhi_no_bots,0.6094,0.00045,29,True,True
total_commits,stars,0.6027,0.000541,29,True,True
num_developers,core_contributor_count,0.5881,0.000794,29,True,True
bus_factor,herfindahl_hirschman_index,-0.5872,0.000811,29,True,True
bus_factor_no_bots,herfindahl_hirschman_index,-0.5756,0.001087,29,True,True
num_developers,health_percentage,0.5643,0.001431,29,True,True
age_years,num_developers,0.552,0.001906,29,True,True
num_developers,hhi_no_bots,-0.5493,0.002027,29,True,True
num_developers,bus_factor_no_bots,0.5216,0.003709,29,True,True
total_commits,health_percentage,0.4933,0.006549,29,True,True
age_years,forks,0.4897,0.007014,29,True,True
age_years,total_commits,0.4867,0.007421,29,True,True
age_years,stars,0.4353,0.018257,29,True,False
num_developers,bus_factor,0.4265,0.021047,29,True,False
age_years,health_percentage,0.4251,0.021531,29,True,False
bus_factor_no_bots,network_density,-0.4657,0.021837,24,True,False
bus_factor,network_density,-0.4644,0.022233,24,True,False
herfindahl_hirschman_index,core_contributor_count,-0.4099,0.027201,29,True,False
total_commits,hhi_no_bots,-0.3963,0.033336,29,True,False
change_request_acceptance_ratio,median_pr_review_turnaround_hours,-0.4335,0.034318,24,True,False
hhi_no_bots,network_density,0.4103,0.046446,24,True,False
age_years,bus_factor_no_bots,0.3709,0.04763,29,True,False
total_commits,median_time_to_first_response_issues_hours,-0.4822,0.049966,17,True,False
forks,stale_issue_ratio,-0.4658,0.051382,18,False,False
total_commits,herfindahl_hirschman_index,-0.3596,0.0554,29,False,False
total_commits,core_contributor_count,0.3501,0.062665,29,False,False
age_years,hhi_no_bots,-0.3465,0.065583,29,False,False
total_commits,bus_factor_no_bots,0.3453,0.066529,29,False,False
health_percentage,core_contributor_count,0.3427,0.068816,29,False,False
num_developers,herfindahl_hirschman_index,-0.3375,0.07338,29,False,False
stars,core_contributor_count,0.3296,0.080795,29,False,False
forks,core_contributor_count,0.2948,0.120599,29,False,False
age_years,bus_factor,0.2921,0.124213,29,False,False
stars,hhi_no_bots,-0.2914,0.125156,29,False,False
age_years,core_contributor_count,0.2883,0.129381,29,False,False
bus_factor,median_time_to_first_response_issues_hours,0.3779,0.134779,17,False,False
median_time_to_first_response_issues_hours,core_contributor_count,0.3757,0.137227,17,False,False
num_developers,stale_issue_ratio,-0.3612,0.140854,18,False,False
stale_issue_ratio,median_pr_review_turnaround_hours,0.3964,0.143512,15,False,False
stale_issue_ratio,median_time_to_first_response_issues_hours,0.3739,0.153689,16,False,False
stars,stale_issue_ratio,-0.3495,0.1551,18,False,False
median_time_to_first_response_issues_hours,network_density,-0.3814,0.16073,15,False,False
forks,hhi_no_bots,-0.2611,0.171338,29,False,False
total_commits,stale_issue_ratio,-0.3368,0.171693,18,False,False
age_years,median_time_to_first_response_issues_hours,0.3436,0.176964,17,False,False
health_percentage,median_pr_review_turnaround_hours,0.2839,0.178835,24,False,False
herfindahl_hirschman_index,median_time_to_first_response_issues_hours,-0.3399,0.181955,17,False,False
hhi_no_bots,stale_issue_ratio,0.3264,0.18619,18,False,False
total_commits,bus_factor,0.2492,0.192372,29,False,False
age_years,stale_issue_ratio,0.3181,0.198359,18,False,False
bus_factor_no_bots,median_time_to_first_response_issues_hours,0.3269,0.200343,17,False,False
forks,median_time_to_first_response_issues_hours,-0.288,0.262302,17,False,False
herfindahl_hirschman_index,median_pr_review_turnaround_hours,-0.2293,0.281054,24,False,False
bus_factor_no_bots,health_percentage,0.201,0.295694,29,False,False
stale_issue_ratio,health_percentage,-0.2573,0.302694,18,False,False
median_pr_review_turnaround_hours,network_density,0.2182,0.305743,24,False,False
forks,bus_factor_no_bots,0.1946,0.311856,29,False,False
stars,bus_factor_no_bots,0.1931,0.315671,29,False,False
hhi_no_bots,health_percentage,-0.1909,0.321331,29,False,False
change_request_acceptance_ratio,median_time_to_first_response_issues_hours,-0.2515,0.330114,17,False,False
stars,median_time_to_first_response_issues_hours,-0.2479,0.337476,17,False,False
age_years,median_pr_review_turnaround_hours,0.2037,0.339832,24,False,False
stars,median_pr_review_turnaround_hours,0.2007,0.34715,24,False,False
herfindahl_hirschman_index,health_percentage,-0.1759,0.361449,29,False,False
total_commits,network_density,0.1868,0.381993,24,False,False
forks,herfindahl_hirschman_index,-0.1591,0.409733,29,False,False
stale_issue_ratio,change_request_acceptance_ratio,-0.1992,0.428153,18,False,False
health_percentage,change_request_acceptance_ratio,0.153,0.437141,28,False,False
herfindahl_hirschman_index,stale_issue_ratio,-0.1857,0.460626,18,False,False
hhi_no_bots,median_pr_review_turnaround_hours,-0.1358,0.527016,24,False,False
health_percentage,median_time_to_first_response_issues_hours,-0.16,0.539569,17,False,False
stars,herfindahl_hirschman_index,-0.1137,0.557147,29,False,False
bus_factor_no_bots,median_pr_review_turnaround_hours,0.1253,0.559627,24,False,False
bus_factor,stale_issue_ratio,-0.1446,0.567045,18,False,False
stars,bus_factor,0.1088,0.574117,29,False,False
forks,bus_factor,0.1055,0.585872,29,False,False
bus_factor_no_bots,stale_issue_ratio,-0.1362,0.590083,18,False,False
median_pr_review_turnaround_hours,core_contributor_count,-0.1085,0.613664,24,False,False
num_developers,network_density,-0.1071,0.618446,24,False,False
age_years,network_density,-0.1054,0.62402,24,False,False
median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,0.136,0.629001,15,False,False
herfindahl_hirschman_index,network_density,0.1024,0.634141,24,False,False
bus_factor,health_percentage,0.0918,0.635747,29,False,False
num_developers,median_time_to_first_response_issues_hours,-0.1204,0.645327,17,False,False
age_years,change_request_acceptance_ratio,0.0898,0.649557,28,False,False
total_commits,burstiness_cv,-0.5,0.666667,3,False,False
bus_factor,burstiness_cv,-0.5,0.666667,3,False,False
burstiness_cv,core_contributor_count,-0.5,0.666667,3,False,False
burstiness_cv,change_request_acceptance_ratio,-0.5,0.666667,3,False,False
burstiness_cv,stale_issue_ratio,0.5,0.666667,3,False,False
burstiness_cv,hhi_no_bots,0.5,0.666667,3,False,False
burstiness_cv,herfindahl_hirschman_index,-0.5,0.666667,3,False,False
age_years,burstiness_cv,-0.5,0.666667,3,False,False
burstiness_cv,network_density,0.5,0.666667,3,False,False
bus_factor_no_bots,burstiness_cv,-0.5,0.666667,3,False,False
num_developers,change_request_acceptance_ratio,0.0805,0.683941,28,False,False
forks,median_pr_review_turnaround_hours,0.087,0.685878,24,False,False
hhi_no_bots,median_time_to_first_response_issues_hours,-0.1055,0.6869,17,False,False
change_request_acceptance_ratio,network_density,-0.0852,0.692343,24,False,False
change_request_acceptance_ratio,core_contributor_count,0.0686,0.728692,28,False,False
stars,network_density,0.0687,0.749794,24,False,False
stars,change_request_acceptance_ratio,-0.0576,0.770988,28,False,False
num_developers,median_pr_review_turnaround_hours,-0.0569,0.791804,24,False,False
stale_issue_ratio,core_contributor_count,-0.0477,0.85085,18,False,False
forks,network_density,0.0362,0.866735,24,False,False
herfindahl_hirschman_index,change_request_acceptance_ratio,0.0331,0.86704,28,False,False
forks,change_request_acceptance_ratio,0.028,0.887548,28,False,False
total_commits,change_request_acceptance_ratio,-0.0274,0.890023,28,False,False
