,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,29.0,2786.448275862069,4192.85312497185,9.0,182.0,603.0,3431.0,14577.0,3249.0
num_developers,29.0,34.13793103448276,77.01656785483192,1.0,4.0,9.0,29.0,410.0,25.0
stars,29.0,408.9310344827586,1401.3833454084493,0.0,2.0,7.0,36.0,7310.0,34.0
forks,29.0,114.41379310344827,422.32058889302994,0.0,0.0,4.0,14.0,2253.0,14.0
health_percentage,29.0,50.89655172413793,23.472392335900558,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,29.0,1.8275862068965518,1.0374751465953078,1.0,1.0,2.0,2.0,5.0,1.0
bus_factor_no_bots,29.0,1.8620689655172413,0.9533451605131751,1.0,1.0,2.0,2.0,4.0,1.0
burstiness_cv,3.0,0.8733333333333334,0.3962743157628732,0.46,0.685,0.91,1.08,1.25,0.395
elephant_factor,29.0,1.1724137931034482,0.38442587221924474,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,29.0,1.1724137931034482,0.38442587221924474,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,29.0,6678.975862068966,2526.528265180046,2092.0,4979.0,5856.5,9334.1,10000.0,4355.1
hhi_no_bots,29.0,4950.010344827586,2879.1612573735065,1326.3,2652.6,4979.0,6098.9,10000.0,3446.2999999999997
hhi_known_orgs_only,26.0,7741.876923076923,2439.912844231563,2636.8,5292.8,8795.25,10000.0,10000.0,4707.2
stale_issue_ratio,18.0,0.7350555555555556,0.2937601967636433,0.0,0.606525,0.83975,0.992425,1.0,0.3859
change_request_acceptance_ratio,28.0,0.8020142857142857,0.1670455997054468,0.2222,0.750375,0.8283,0.898725,1.0,0.14834999999999998
median_time_to_first_response_issues_hours,17.0,495.75882352941187,1757.1611963828273,0.0,2.6,46.3,55.8,7300.3,53.199999999999996
median_time_to_first_response_prs_hours,24.0,10.808333333333332,14.498962981407736,0.0,0.6499999999999999,2.85,18.125,52.5,17.475
median_pr_review_turnaround_hours,24.0,22.508333333333336,67.07270498215492,0.0,1.0750000000000002,2.95,16.5,330.8,15.425
avg_review_comments_per_pr,28.0,0.3160714285714285,0.27081959672123795,0.0,0.05,0.28500000000000003,0.505,0.87,0.455
core_contributor_count,29.0,2.5517241379310347,2.62659756687718,0.0,1.0,1.0,4.0,10.0,3.0
periphery_contributor_count,29.0,5.275862068965517,4.558324815450596,0.0,3.0,4.0,7.0,21.0,4.0
network_density,24.0,0.4037166666666667,0.2454985799421724,0.1263,0.23735,0.3333,0.4643,1.0,0.22694999999999999
bot_contributor_count,29.0,1.206896551724138,1.1457782864819002,0.0,0.0,1.0,2.0,4.0,2.0
bot_commit_count,29.0,84.13793103448276,167.22434121731948,0.0,0.0,16.0,84.0,782.0,84.0
unknown_org_contributor_count,29.0,9.310344827586206,15.09991354818171,0.0,2.0,4.0,9.0,77.0,7.0
