comparison,metric,mature_n,young_n,mature_median,young_median,U_statistic,p_value,cliffs_delta,effect_magnitude
Mature (≥5.3y) vs Young (<5.3y),num_developers,15,14,27.0,4.0,171.5,0.0039,0.6333,large
Mature (≥5.3y) vs Young (<5.3y),total_commits,15,14,1352.0,219.0,160.0,0.0174,0.5238,large
Mature (≥5.3y) vs Young (<5.3y),bus_factor,15,14,2.0,1.0,146.0,0.0561,0.3905,medium
Mature (≥5.3y) vs Young (<5.3y),bus_factor_no_bots,15,14,2.0,1.0,155.0,0.021,0.4762,large
Mature (≥5.3y) vs Young (<5.3y),hhi_no_bots,15,14,3219.8,5205.0,57.0,0.0381,-0.4571,medium
Mature (≥5.3y) vs Young (<5.3y),stale_issue_ratio,11,7,0.863,0.7059,48.0,0.4101,0.2468,small
Mature (≥5.3y) vs Young (<5.3y),health_percentage,15,14,50.0,39.5,158.5,0.0181,0.5095,large
Mature (≥5.3y) vs Young (<5.3y),core_contributor_count,15,14,3.0,1.0,143.5,0.0909,0.3667,medium
Mature (≥5.3y) vs Young (<5.3y),network_density,14,10,0.3292,0.3333,57.5,0.4815,-0.1786,small
Mature (≥5.3y) vs Young (<5.3y),change_request_acceptance_ratio,15,13,0.8448,0.8204,118.5,0.3449,0.2154,small
Mature (≥5.3y) vs Young (<5.3y),median_pr_review_turnaround_hours,14,10,3.1,1.25,85.5,0.3794,0.2214,small
