,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.552,0.4867,0.4353,0.4897,0.2921,0.3709,-0.5,-0.6673,-0.3465,0.3181,0.4251,0.0898,0.3436,0.2037,0.2883,-0.1054
num_developers,0.552,1.0,0.8526,0.7202,0.7153,0.4265,0.5216,-1.0,-0.3375,-0.5493,-0.3612,0.5643,0.0805,-0.1204,-0.0569,0.5881,-0.1071
total_commits,0.4867,0.8526,1.0,0.6027,0.6497,0.2492,0.3453,-0.5,-0.3596,-0.3963,-0.3368,0.4933,-0.0274,-0.4822,-0.0035,0.3501,0.1868
stars,0.4353,0.7202,0.6027,1.0,0.9001,0.1088,0.1931,-1.0,-0.1137,-0.2914,-0.3495,0.6261,-0.0576,-0.2479,0.2007,0.3296,0.0687
forks,0.4897,0.7153,0.6497,0.9001,1.0,0.1055,0.1946,-1.0,-0.1591,-0.2611,-0.4658,0.6212,0.028,-0.288,0.087,0.2948,0.0362
bus_factor,0.2921,0.4265,0.2492,0.1088,0.1055,1.0,0.9548,-0.5,-0.5872,-0.846,-0.1446,0.0918,0.0124,0.3779,-0.0201,0.7927,-0.4644
bus_factor_no_bots,0.3709,0.5216,0.3453,0.1931,0.1946,0.9548,1.0,-0.5,-0.5756,-0.9099,-0.1362,0.201,0.002,0.3269,0.1253,0.801,-0.4657
burstiness_cv,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,1.0,-0.5,0.5,0.5,-1.0,-0.5,1.0,-1.0,-0.5,0.5
herfindahl_hirschman_index,-0.6673,-0.3375,-0.3596,-0.1137,-0.1591,-0.5872,-0.5756,-0.5,1.0,0.6094,-0.1857,-0.1759,0.0331,-0.3399,-0.2293,-0.4099,0.1024
hhi_no_bots,-0.3465,-0.5493,-0.3963,-0.2914,-0.2611,-0.846,-0.9099,0.5,0.6094,1.0,0.3264,-0.1909,0.0049,-0.1055,-0.1358,-0.7613,0.4103
stale_issue_ratio,0.3181,-0.3612,-0.3368,-0.3495,-0.4658,-0.1446,-0.1362,0.5,-0.1857,0.3264,1.0,-0.2573,-0.1992,0.3739,0.3964,-0.0477,0.0063
health_percentage,0.4251,0.5643,0.4933,0.6261,0.6212,0.0918,0.201,-1.0,-0.1759,-0.1909,-0.2573,1.0,0.153,-0.16,0.2839,0.3427,0.0088
change_request_acceptance_ratio,0.0898,0.0805,-0.0274,-0.0576,0.028,0.0124,0.002,-0.5,0.0331,0.0049,-0.1992,0.153,1.0,-0.2515,-0.4335,0.0686,-0.0852
median_time_to_first_response_issues_hours,0.3436,-0.1204,-0.4822,-0.2479,-0.288,0.3779,0.3269,1.0,-0.3399,-0.1055,0.3739,-0.16,-0.2515,1.0,0.136,0.3757,-0.3814
median_pr_review_turnaround_hours,0.2037,-0.0569,-0.0035,0.2007,0.087,-0.0201,0.1253,-1.0,-0.2293,-0.1358,0.3964,0.2839,-0.4335,0.136,1.0,-0.1085,0.2182
core_contributor_count,0.2883,0.5881,0.3501,0.3296,0.2948,0.7927,0.801,-0.5,-0.4099,-0.7613,-0.0477,0.3427,0.0686,0.3757,-0.1085,1.0,-0.7092
network_density,-0.1054,-0.1071,0.1868,0.0687,0.0362,-0.4644,-0.4657,0.5,0.1024,0.4103,0.0063,0.0088,-0.0852,-0.3814,0.2182,-0.7092,1.0
