,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,0.001906,0.007421,0.018257,0.007014,0.124213,0.04763,0.666667,7.7e-05,0.065583,0.198359,0.021531,0.649557,0.176964,0.339832,0.129381,0.62402
num_developers,0.001906,0.0,0.0,1.1e-05,1.3e-05,0.021047,0.003709,0.0,0.07338,0.002027,0.140854,0.001431,0.683941,0.645327,0.791804,0.000794,0.618446
total_commits,0.007421,0.0,0.0,0.000541,0.000137,0.192372,0.066529,0.666667,0.0554,0.033336,0.171693,0.006549,0.890023,0.049966,0.987119,0.062665,0.381993
stars,0.018257,1.1e-05,0.000541,0.0,0.0,0.574117,0.315671,0.0,0.557147,0.125156,0.1551,0.00028,0.770988,0.337476,0.34715,0.080795,0.749794
forks,0.007014,1.3e-05,0.000137,0.0,0.0,0.585872,0.311856,0.0,0.409733,0.171338,0.051382,0.000323,0.887548,0.262302,0.685878,0.120599,0.866735
bus_factor,0.124213,0.021047,0.192372,0.574117,0.585872,0.0,0.0,0.666667,0.000811,0.0,0.567045,0.635747,0.950212,0.134779,0.925747,0.0,0.022233
bus_factor_no_bots,0.04763,0.003709,0.066529,0.315671,0.311856,0.0,0.0,0.666667,0.001087,0.0,0.590083,0.295694,0.991784,0.200343,0.559627,0.0,0.021837
burstiness_cv,0.666667,0.0,0.666667,0.0,0.0,0.666667,0.666667,0.0,0.666667,0.666667,0.666667,0.0,0.666667,0.0,0.0,0.666667,0.666667
herfindahl_hirschman_index,7.7e-05,0.07338,0.0554,0.557147,0.409733,0.000811,0.001087,0.666667,0.0,0.00045,0.460626,0.361449,0.86704,0.181955,0.281054,0.027201,0.634141
hhi_no_bots,0.065583,0.002027,0.033336,0.125156,0.171338,0.0,0.0,0.666667,0.00045,0.0,0.18619,0.321331,0.980144,0.6869,0.527016,2e-06,0.046446
stale_issue_ratio,0.198359,0.140854,0.171693,0.1551,0.051382,0.567045,0.590083,0.666667,0.460626,0.18619,0.0,0.302694,0.428153,0.153689,0.143512,0.85085,0.982188
health_percentage,0.021531,0.001431,0.006549,0.00028,0.000323,0.635747,0.295694,0.0,0.361449,0.321331,0.302694,0.0,0.437141,0.539569,0.178835,0.068816,0.967467
change_request_acceptance_ratio,0.649557,0.683941,0.890023,0.770988,0.887548,0.950212,0.991784,0.666667,0.86704,0.980144,0.428153,0.437141,0.0,0.330114,0.034318,0.728692,0.692343
median_time_to_first_response_issues_hours,0.176964,0.645327,0.049966,0.337476,0.262302,0.134779,0.200343,0.0,0.181955,0.6869,0.153689,0.539569,0.330114,0.0,0.629001,0.137227,0.16073
median_pr_review_turnaround_hours,0.339832,0.791804,0.987119,0.34715,0.685878,0.925747,0.559627,0.0,0.281054,0.527016,0.143512,0.178835,0.034318,0.629001,0.0,0.613664,0.305743
core_contributor_count,0.129381,0.000794,0.062665,0.080795,0.120599,0.0,0.0,0.666667,0.027201,2e-06,0.85085,0.068816,0.728692,0.137227,0.613664,0.0,0.000104
network_density,0.62402,0.618446,0.381993,0.749794,0.866735,0.022233,0.021837,0.666667,0.634141,0.046446,0.982188,0.967467,0.692343,0.16073,0.305743,0.000104,0.0
