repo_full_name,pr_count_total,pr_count_merged,pr_count_open,pr_count_closed_unmerged,tag_count,release_count
DemocracyClub/UK-Polling-Stations,5504,4131,36,1337,0,0
DemocracyClub/WhoCanIVoteFor,1938,950,19,969,0,0
fvialibre/edia,4,3,1,0,0,0
luftdata/luftdata.se,14,14,0,0,0,0
CodeForAfrica/PromiseTracker,496,386,3,107,2,1
CodeForAfrica/academy.AFRICA,9,2,6,1,0,0
CodeForAfrica/Dominion.AFRICA,109,91,4,14,10,1
CodeForAfrica/GenderGap.AFRICA,44,38,2,4,0,0
CodeForAfrica/openAFRICA,17,15,0,2,3,1
CodeForAfrica/outbreak.AFRICA,164,151,3,10,0,0
CodeForAfrica/ui,985,812,14,159,0,0
CodeForAfrica/sensors.AFRICA,300,228,12,60,6,1
codeforamerica/form-flow,1180,978,6,196,105,105
codeforamerica/vita-min,6275,5301,9,965,974,928
codeforamerica/tofu-modules-aws-serverless-database,37,36,0,1,11,11
codeforamerica/tax-benefits-backend,194,179,1,14,0,0
codeforamerica/pya,315,232,8,75,36,36
codeforamerica/honeycrisp-gem,236,190,11,35,48,0
codeforamerica/asap_pdf,414,297,9,108,0,0
codeforamerica/cmr-maryland-eligibility-determination,19,19,0,0,0,0
codeforamerica/document-transfer-service,16,12,1,3,0,0
markov-root/atlas,2,1,1,0,0,0
fvialibre/heseia-sentence-bias-dataset,0,0,0,0,0,0
codeforjapan/BirdXplorer,130,126,1,3,0,0
meshtastic/Meshtastic-Android,3654,3378,15,261,319,252
meshtastic/web,607,498,9,100,13,12
meshtastic/firmware,6155,5095,168,892,323,258
civiform/civiform,8719,7772,58,889,157,156
iiab/iiab,2774,2407,18,349,108,106
