repo_full_name,active_weeks,total_added,total_removed,net_loc_delta,overall_churn_ratio,mean_weekly_churn,median_weekly_churn,deletion_heavy_weeks_pct
DemocracyClub/UK-Polling-Stations,412,6295705,9732924,-3437219,0.607,0.438,0.428,29.6
CodeForAfrica/sensors.AFRICA,117,388074,403490,-15416,0.51,0.406,0.441,23.1
CodeForAfrica/GenderGap.AFRICA,53,88041,80564,7477,0.478,0.384,0.44,15.1
codeforamerica/asap_pdf,39,164890,149035,15855,0.475,0.355,0.353,15.4
CodeForAfrica/Dominion.AFRICA,52,107875,89352,18523,0.453,0.454,0.5,19.2
fvialibre/heseia-sentence-bias-dataset,3,80245,65781,14464,0.45,0.453,0.5,33.3
fvialibre/edia,18,27091,20626,6465,0.432,0.251,0.225,5.6
DemocracyClub/WhoCanIVoteFor,349,236474,172777,63697,0.422,0.353,0.336,14.9
meshtastic/Meshtastic-Android,295,719457,491637,227820,0.406,0.354,0.36,15.3
CodeForAfrica/ui,195,5350638,3572519,1778119,0.4,0.372,0.385,16.9
meshtastic/web,176,655466,428402,227064,0.395,0.395,0.418,16.5
CodeForAfrica/outbreak.AFRICA,60,176999,115284,61715,0.394,0.44,0.5,26.7
CodeForAfrica/openAFRICA,50,5839,3725,2114,0.389,0.328,0.333,8.0
codeforamerica/honeycrisp-gem,96,53097,33807,19290,0.389,0.332,0.338,13.5
civiform/civiform,272,814725,462237,352488,0.362,0.314,0.305,8.5
iiab/iiab,440,440944,248967,191977,0.361,0.38,0.402,8.9
meshtastic/firmware,320,1441872,755690,686182,0.344,0.32,0.306,10.3
codeforamerica/form-flow,165,69728,34302,35426,0.33,0.367,0.419,5.5
CodeForAfrica/academy.AFRICA,63,102260,40970,61290,0.286,0.302,0.272,9.5
codeforamerica/vita-min,324,1486319,552825,933494,0.271,0.308,0.27,11.1
CodeForAfrica/PromiseTracker,29,159584,59035,100549,0.27,0.293,0.314,6.9
codeforamerica/pya,39,19202,7054,12148,0.269,0.372,0.442,10.3
codeforamerica/cmr-maryland-eligibility-determination,8,3621,1156,2465,0.242,0.294,0.348,0.0
codeforamerica/tax-benefits-backend,58,10667,2999,7668,0.219,0.226,0.213,1.7
markov-root/atlas,8,24925,6643,18282,0.21,0.309,0.337,12.5
codeforjapan/BirdXplorer,85,87107,19743,67364,0.185,0.194,0.149,4.7
codeforamerica/tofu-modules-aws-serverless-database,15,2849,440,2409,0.134,0.2,0.239,6.7
codeforamerica/document-transfer-service,9,7810,838,6972,0.097,0.146,0.103,0.0
luftdata/luftdata.se,42,14648,1058,13590,0.067,0.357,0.377,14.3
