repo_full_name,contributors,total_commits,effort_gini_lines,effort_gini_commits,top1_lines_share,top1_contributor
meshtastic/Meshtastic-Android,109,6368,0.966,0.93,0.681,jamesarich
meshtastic/firmware,424,11691,0.96,0.915,0.19,caveman99
meshtastic/web,74,1512,0.949,0.875,0.433,danditomaso
DemocracyClub/UK-Polling-Stations,35,8717,0.92,0.824,0.516,symroe
iiab/iiab,42,14577,0.907,0.923,0.655,holta
DemocracyClub/WhoCanIVoteFor,31,3431,0.891,0.814,0.571,symroe
codeforamerica/honeycrisp-gem,38,415,0.83,0.641,0.463,hartsick
codeforamerica/vita-min,66,7221,0.824,0.711,0.285,bytheway875
CodeForAfrica/sensors.AFRICA,24,1271,0.811,0.784,0.387,kilemensi
CodeForAfrica/ui,25,10863,0.797,0.767,0.248,kelvinkipruto
CodeForAfrica/outbreak.AFRICA,12,1352,0.774,0.731,0.565,kilemensi
codeforjapan/BirdXplorer,9,711,0.738,0.588,0.584,yu23ki14
civiform/civiform,97,7745,0.735,0.764,0.145,gwendolyngoetz
CodeForAfrica/PromiseTracker,5,430,0.702,0.739,0.838,kelvinkipruto
codeforamerica/pya,9,256,0.698,0.561,0.473,DrewProebstel
codeforamerica/form-flow,19,1332,0.693,0.687,0.261,cram-cfa
CodeForAfrica/GenderGap.AFRICA,13,254,0.687,0.532,0.507,DavidLemayian
luftdata/luftdata.se,4,206,0.676,0.529,0.876,ebner
markov-root/atlas,3,48,0.666,0.625,1.0,git@xfe.li
fvialibre/edia,4,81,0.643,0.571,0.789,LMartinezEXEX
CodeForAfrica/openAFRICA,8,154,0.628,0.58,0.46,thepsalmist
CodeForAfrica/academy.AFRICA,5,702,0.61,0.585,0.534,kelvinkipruto
codeforamerica/asap_pdf,5,603,0.604,0.496,0.53,lkacenja
codeforamerica/tax-benefits-backend,9,182,0.593,0.342,0.562,jamesiarmes
CodeForAfrica/Dominion.AFRICA,8,574,0.569,0.478,0.352,kilemensi
codeforamerica/tofu-modules-aws-serverless-database,3,40,0.547,0.45,0.852,jamesiarmes
codeforamerica/document-transfer-service,1,13,0.0,0.0,1.0,jamesiarmes
codeforamerica/cmr-maryland-eligibility-determination,1,49,0.0,0.0,1.0,victorSauceda
fvialibre/heseia-sentence-bias-dataset,1,9,0.0,0.0,1.0,guidoivetta
