repo_full_name,weeks_with_activity,mean_top_share,median_top_share,elephant_weeks_pct,single_contributor_weeks_pct,solo_weeks_pct
fvialibre/heseia-sentence-bias-dataset,3,1.0,1.0,100.0,100.0,100.0
codeforamerica/cmr-maryland-eligibility-determination,8,1.0,1.0,100.0,100.0,100.0
codeforamerica/document-transfer-service,9,1.0,1.0,100.0,100.0,100.0
markov-root/atlas,8,0.998,1.0,100.0,87.5,75.0
CodeForAfrica/openAFRICA,50,0.974,1.0,100.0,88.0,88.0
CodeForAfrica/PromiseTracker,29,0.95,1.0,100.0,65.5,65.5
fvialibre/edia,18,0.929,1.0,100.0,72.2,61.1
luftdata/luftdata.se,42,0.922,1.0,97.6,81.0,81.0
codeforamerica/asap_pdf,39,0.919,0.981,94.9,35.9,33.3
CodeForAfrica/GenderGap.AFRICA,53,0.914,1.0,98.1,67.9,67.9
codeforjapan/BirdXplorer,85,0.914,1.0,96.5,65.9,65.9
meshtastic/web,176,0.909,1.0,96.6,52.3,48.3
codeforamerica/tax-benefits-backend,58,0.907,1.0,94.8,67.2,67.2
codeforamerica/tofu-modules-aws-serverless-database,15,0.895,0.98,100.0,40.0,40.0
CodeForAfrica/Dominion.AFRICA,52,0.889,1.0,98.1,51.9,51.9
codeforamerica/pya,39,0.888,0.999,94.9,51.3,48.7
DemocracyClub/WhoCanIVoteFor,349,0.884,0.994,95.7,47.6,46.1
codeforamerica/honeycrisp-gem,96,0.873,0.986,99.0,46.9,45.8
iiab/iiab,440,0.87,0.959,97.3,36.8,36.8
CodeForAfrica/academy.AFRICA,63,0.867,0.984,100.0,46.0,44.4
meshtastic/Meshtastic-Android,295,0.864,0.956,96.6,33.6,32.9
DemocracyClub/UK-Polling-Stations,412,0.827,0.896,94.7,28.6,26.7
codeforamerica/form-flow,165,0.807,0.857,90.9,24.2,24.2
CodeForAfrica/sensors.AFRICA,117,0.803,0.875,96.6,34.2,31.6
CodeForAfrica/outbreak.AFRICA,60,0.773,0.837,95.0,35.0,35.0
CodeForAfrica/ui,195,0.715,0.711,81.5,15.4,15.4
meshtastic/firmware,320,0.653,0.636,72.2,7.5,7.2
codeforamerica/vita-min,324,0.552,0.506,50.3,2.8,2.8
civiform/civiform,272,0.505,0.465,43.4,2.9,2.9
