repo_full_name,week_start,total_commits,unique_contributors,new_contributors,cumulative_commits,cumulative_contributors
DemocracyClub/UK-Polling-Stations,2015-02-16,4,1,1,4,1
DemocracyClub/UK-Polling-Stations,2015-02-23,23,1,0,27,1
DemocracyClub/UK-Polling-Stations,2015-03-09,1,1,0,28,1
DemocracyClub/UK-Polling-Stations,2015-03-16,2,2,1,30,2
DemocracyClub/UK-Polling-Stations,2015-03-23,7,2,1,37,3
DemocracyClub/UK-Polling-Stations,2015-03-30,82,2,0,119,3
DemocracyClub/UK-Polling-Stations,2015-04-06,63,2,0,182,3
DemocracyClub/UK-Polling-Stations,2015-04-13,34,2,0,216,3
DemocracyClub/UK-Polling-Stations,2015-04-27,33,3,1,249,4
DemocracyClub/UK-Polling-Stations,2015-05-04,4,2,0,253,4
DemocracyClub/UK-Polling-Stations,2015-09-07,4,1,0,257,4
DemocracyClub/UK-Polling-Stations,2016-01-18,3,1,0,260,4
DemocracyClub/UK-Polling-Stations,2016-01-25,6,1,1,266,5
DemocracyClub/UK-Polling-Stations,2016-02-01,16,3,1,282,6
DemocracyClub/UK-Polling-Stations,2016-02-08,11,2,0,293,6
DemocracyClub/UK-Polling-Stations,2016-02-15,19,2,0,312,6
DemocracyClub/UK-Polling-Stations,2016-02-29,25,3,1,337,7
DemocracyClub/UK-Polling-Stations,2016-03-07,14,4,0,351,7
DemocracyClub/UK-Polling-Stations,2016-03-14,75,5,0,426,7
DemocracyClub/UK-Polling-Stations,2016-03-21,50,4,1,476,8
DemocracyClub/UK-Polling-Stations,2016-03-28,34,2,0,510,8
DemocracyClub/UK-Polling-Stations,2016-04-04,13,3,0,523,8
DemocracyClub/UK-Polling-Stations,2016-04-11,34,3,0,557,8
DemocracyClub/UK-Polling-Stations,2016-04-18,23,2,0,580,8
DemocracyClub/UK-Polling-Stations,2016-04-25,27,2,0,607,8
DemocracyClub/UK-Polling-Stations,2016-05-02,23,3,0,630,8
DemocracyClub/UK-Polling-Stations,2016-05-09,3,1,0,633,8
DemocracyClub/UK-Polling-Stations,2016-05-16,4,3,0,637,8
DemocracyClub/UK-Polling-Stations,2016-05-23,19,2,0,656,8
DemocracyClub/UK-Polling-Stations,2016-05-30,7,2,0,663,8
DemocracyClub/UK-Polling-Stations,2016-06-06,59,3,0,722,8
DemocracyClub/UK-Polling-Stations,2016-06-13,89,3,1,811,9
DemocracyClub/UK-Polling-Stations,2016-06-20,54,3,0,865,9
DemocracyClub/UK-Polling-Stations,2016-07-11,14,2,0,879,9
DemocracyClub/UK-Polling-Stations,2016-07-18,2,1,0,881,9
DemocracyClub/UK-Polling-Stations,2016-08-01,15,1,0,896,9
DemocracyClub/UK-Polling-Stations,2016-08-08,22,1,0,918,9
DemocracyClub/UK-Polling-Stations,2016-08-15,22,1,0,940,9
DemocracyClub/UK-Polling-Stations,2016-09-05,14,2,0,954,9
DemocracyClub/UK-Polling-Stations,2016-09-12,5,1,0,959,9
DemocracyClub/UK-Polling-Stations,2016-09-19,2,1,0,961,9
DemocracyClub/UK-Polling-Stations,2016-10-03,8,2,0,969,9
DemocracyClub/UK-Polling-Stations,2016-10-10,5,3,0,974,9
DemocracyClub/UK-Polling-Stations,2016-10-17,7,3,0,981,9
DemocracyClub/UK-Polling-Stations,2016-10-24,3,1,0,984,9
DemocracyClub/UK-Polling-Stations,2016-10-31,8,2,0,992,9
DemocracyClub/UK-Polling-Stations,2016-11-07,6,2,1,998,10
DemocracyClub/UK-Polling-Stations,2016-11-14,18,3,0,1016,10
DemocracyClub/UK-Polling-Stations,2016-11-21,6,1,0,1022,10
DemocracyClub/UK-Polling-Stations,2016-11-28,1,1,0,1023,10
DemocracyClub/UK-Polling-Stations,2016-12-05,6,2,0,1029,10
DemocracyClub/UK-Polling-Stations,2016-12-12,17,2,0,1046,10
DemocracyClub/UK-Polling-Stations,2016-12-19,3,2,0,1049,10
DemocracyClub/UK-Polling-Stations,2016-12-26,35,1,0,1084,10
DemocracyClub/UK-Polling-Stations,2017-01-02,9,1,0,1093,10
DemocracyClub/UK-Polling-Stations,2017-01-09,17,2,0,1110,10
DemocracyClub/UK-Polling-Stations,2017-01-16,11,2,1,1121,11
DemocracyClub/UK-Polling-Stations,2017-01-23,7,2,0,1128,11
DemocracyClub/UK-Polling-Stations,2017-01-30,6,1,0,1134,11
DemocracyClub/UK-Polling-Stations,2017-02-06,12,3,0,1146,11
DemocracyClub/UK-Polling-Stations,2017-02-13,54,3,0,1200,11
DemocracyClub/UK-Polling-Stations,2017-02-20,6,1,0,1206,11
DemocracyClub/UK-Polling-Stations,2017-02-27,12,2,0,1218,11
DemocracyClub/UK-Polling-Stations,2017-03-06,35,2,0,1253,11
DemocracyClub/UK-Polling-Stations,2017-03-13,48,3,0,1301,11
DemocracyClub/UK-Polling-Stations,2017-03-20,4,2,0,1305,11
DemocracyClub/UK-Polling-Stations,2017-03-27,110,2,0,1415,11
DemocracyClub/UK-Polling-Stations,2017-04-03,58,2,0,1473,11
DemocracyClub/UK-Polling-Stations,2017-04-10,49,2,0,1522,11
DemocracyClub/UK-Polling-Stations,2017-04-17,49,2,0,1571,11
DemocracyClub/UK-Polling-Stations,2017-04-24,50,3,0,1621,11
DemocracyClub/UK-Polling-Stations,2017-05-01,38,2,0,1659,11
DemocracyClub/UK-Polling-Stations,2017-05-08,45,2,0,1704,11
DemocracyClub/UK-Polling-Stations,2017-05-15,81,2,0,1785,11
DemocracyClub/UK-Polling-Stations,2017-05-22,96,3,1,1881,12
DemocracyClub/UK-Polling-Stations,2017-05-29,64,1,0,1945,12
DemocracyClub/UK-Polling-Stations,2017-06-05,49,2,1,1994,13
DemocracyClub/UK-Polling-Stations,2017-06-26,10,2,0,2004,13
DemocracyClub/UK-Polling-Stations,2017-07-03,4,2,0,2008,13
DemocracyClub/UK-Polling-Stations,2017-07-10,13,1,0,2021,13
DemocracyClub/UK-Polling-Stations,2017-07-17,8,2,0,2029,13
DemocracyClub/UK-Polling-Stations,2017-08-07,3,1,0,2032,13
DemocracyClub/UK-Polling-Stations,2017-08-14,2,1,0,2034,13
DemocracyClub/UK-Polling-Stations,2017-08-21,2,2,0,2036,13
DemocracyClub/UK-Polling-Stations,2017-08-28,5,1,0,2041,13
DemocracyClub/UK-Polling-Stations,2017-09-04,19,2,0,2060,13
DemocracyClub/UK-Polling-Stations,2017-09-11,6,2,0,2066,13
DemocracyClub/UK-Polling-Stations,2017-09-18,2,1,0,2068,13
DemocracyClub/UK-Polling-Stations,2017-09-25,23,2,1,2091,14
DemocracyClub/UK-Polling-Stations,2017-10-02,36,2,0,2127,14
DemocracyClub/UK-Polling-Stations,2017-10-23,6,2,0,2133,14
DemocracyClub/UK-Polling-Stations,2017-10-30,28,2,0,2161,14
DemocracyClub/UK-Polling-Stations,2017-11-06,10,2,0,2171,14
DemocracyClub/UK-Polling-Stations,2017-11-13,2,2,0,2173,14
DemocracyClub/UK-Polling-Stations,2017-11-27,53,3,1,2226,15
DemocracyClub/UK-Polling-Stations,2017-12-04,12,3,0,2238,15
DemocracyClub/UK-Polling-Stations,2017-12-11,5,3,0,2243,15
DemocracyClub/UK-Polling-Stations,2017-12-18,7,1,0,2250,15
DemocracyClub/UK-Polling-Stations,2018-01-01,17,2,0,2267,15
DemocracyClub/UK-Polling-Stations,2018-01-08,5,3,0,2272,15
DemocracyClub/UK-Polling-Stations,2018-01-15,2,2,0,2274,15
DemocracyClub/UK-Polling-Stations,2018-02-05,3,2,0,2277,15
DemocracyClub/UK-Polling-Stations,2018-02-19,18,3,0,2295,15
DemocracyClub/UK-Polling-Stations,2018-02-26,19,3,0,2314,15
DemocracyClub/UK-Polling-Stations,2018-03-05,28,2,0,2342,15
DemocracyClub/UK-Polling-Stations,2018-03-12,27,3,0,2369,15
DemocracyClub/UK-Polling-Stations,2018-03-19,77,3,0,2446,15
DemocracyClub/UK-Polling-Stations,2018-03-26,32,2,0,2478,15
DemocracyClub/UK-Polling-Stations,2018-04-02,56,2,0,2534,15
DemocracyClub/UK-Polling-Stations,2018-04-09,46,2,0,2580,15
DemocracyClub/UK-Polling-Stations,2018-04-16,21,2,0,2601,15
DemocracyClub/UK-Polling-Stations,2018-04-23,45,1,0,2646,15
DemocracyClub/UK-Polling-Stations,2018-04-30,50,2,0,2696,15
DemocracyClub/UK-Polling-Stations,2018-05-07,1,1,0,2697,15
DemocracyClub/UK-Polling-Stations,2018-05-14,2,1,0,2699,15
DemocracyClub/UK-Polling-Stations,2018-05-21,1,1,0,2700,15
DemocracyClub/UK-Polling-Stations,2018-06-11,17,2,0,2717,15
DemocracyClub/UK-Polling-Stations,2018-06-18,7,3,1,2724,16
DemocracyClub/UK-Polling-Stations,2018-06-25,13,2,0,2737,16
DemocracyClub/UK-Polling-Stations,2018-07-02,2,2,0,2739,16
DemocracyClub/UK-Polling-Stations,2018-07-09,1,1,0,2740,16
DemocracyClub/UK-Polling-Stations,2018-07-16,2,1,0,2742,16
DemocracyClub/UK-Polling-Stations,2018-07-23,8,1,0,2750,16
DemocracyClub/UK-Polling-Stations,2018-07-30,8,3,1,2758,17
DemocracyClub/UK-Polling-Stations,2018-08-20,6,4,0,2764,17
DemocracyClub/UK-Polling-Stations,2018-08-27,9,2,0,2773,17
DemocracyClub/UK-Polling-Stations,2018-09-03,2,1,0,2775,17
DemocracyClub/UK-Polling-Stations,2018-09-10,6,2,0,2781,17
DemocracyClub/UK-Polling-Stations,2018-09-17,2,1,0,2783,17
DemocracyClub/UK-Polling-Stations,2018-09-24,2,2,0,2785,17
DemocracyClub/UK-Polling-Stations,2018-10-01,1,1,0,2786,17
DemocracyClub/UK-Polling-Stations,2018-10-08,2,1,0,2788,17
DemocracyClub/UK-Polling-Stations,2018-10-15,9,2,0,2797,17
DemocracyClub/UK-Polling-Stations,2018-10-22,12,1,0,2809,17
DemocracyClub/UK-Polling-Stations,2018-10-29,3,2,0,2812,17
DemocracyClub/UK-Polling-Stations,2018-11-05,3,2,0,2815,17
DemocracyClub/UK-Polling-Stations,2018-11-12,5,2,0,2820,17
DemocracyClub/UK-Polling-Stations,2018-11-19,3,2,0,2823,17
DemocracyClub/UK-Polling-Stations,2018-11-26,13,1,0,2836,17
DemocracyClub/UK-Polling-Stations,2018-12-03,8,2,0,2844,17
DemocracyClub/UK-Polling-Stations,2018-12-10,3,2,0,2847,17
DemocracyClub/UK-Polling-Stations,2018-12-17,11,1,0,2858,17
DemocracyClub/UK-Polling-Stations,2018-12-31,10,3,0,2868,17
DemocracyClub/UK-Polling-Stations,2019-01-14,3,2,0,2871,17
DemocracyClub/UK-Polling-Stations,2019-01-21,5,3,0,2876,17
DemocracyClub/UK-Polling-Stations,2019-01-28,15,2,0,2891,17
DemocracyClub/UK-Polling-Stations,2019-02-04,18,2,0,2909,17
DemocracyClub/UK-Polling-Stations,2019-02-11,25,2,0,2934,17
DemocracyClub/UK-Polling-Stations,2019-02-18,37,3,1,2971,18
DemocracyClub/UK-Polling-Stations,2019-02-25,44,3,0,3015,18
DemocracyClub/UK-Polling-Stations,2019-03-04,46,3,0,3061,18
DemocracyClub/UK-Polling-Stations,2019-03-11,52,2,0,3113,18
DemocracyClub/UK-Polling-Stations,2019-03-18,27,1,0,3140,18
DemocracyClub/UK-Polling-Stations,2019-03-25,43,3,0,3183,18
DemocracyClub/UK-Polling-Stations,2019-04-01,62,3,0,3245,18
DemocracyClub/UK-Polling-Stations,2019-04-08,42,3,1,3287,19
DemocracyClub/UK-Polling-Stations,2019-04-15,40,3,0,3327,19
DemocracyClub/UK-Polling-Stations,2019-04-22,63,3,0,3390,19
DemocracyClub/UK-Polling-Stations,2019-04-29,53,3,0,3443,19
DemocracyClub/UK-Polling-Stations,2019-05-06,101,5,1,3544,20
DemocracyClub/UK-Polling-Stations,2019-05-13,101,4,0,3645,20
DemocracyClub/UK-Polling-Stations,2019-05-20,98,3,0,3743,20
DemocracyClub/UK-Polling-Stations,2019-06-10,9,2,0,3752,20
DemocracyClub/UK-Polling-Stations,2019-07-08,7,2,0,3759,20
DemocracyClub/UK-Polling-Stations,2019-07-15,2,2,0,3761,20
DemocracyClub/UK-Polling-Stations,2019-07-22,4,2,0,3765,20
DemocracyClub/UK-Polling-Stations,2019-07-29,7,2,0,3772,20
DemocracyClub/UK-Polling-Stations,2019-08-05,19,2,0,3791,20
DemocracyClub/UK-Polling-Stations,2019-08-12,3,2,0,3794,20
DemocracyClub/UK-Polling-Stations,2019-08-26,1,1,0,3795,20
DemocracyClub/UK-Polling-Stations,2019-09-02,9,2,0,3804,20
DemocracyClub/UK-Polling-Stations,2019-09-09,13,1,0,3817,20
DemocracyClub/UK-Polling-Stations,2019-09-16,3,2,0,3820,20
DemocracyClub/UK-Polling-Stations,2019-09-23,1,1,0,3821,20
DemocracyClub/UK-Polling-Stations,2019-09-30,10,2,0,3831,20
DemocracyClub/UK-Polling-Stations,2019-10-07,8,2,0,3839,20
DemocracyClub/UK-Polling-Stations,2019-10-14,4,2,0,3843,20
DemocracyClub/UK-Polling-Stations,2019-10-28,18,4,1,3861,21
DemocracyClub/UK-Polling-Stations,2019-11-04,61,5,0,3922,21
DemocracyClub/UK-Polling-Stations,2019-11-11,84,5,0,4006,21
DemocracyClub/UK-Polling-Stations,2019-11-18,105,6,1,4111,22
DemocracyClub/UK-Polling-Stations,2019-11-25,95,5,0,4206,22
DemocracyClub/UK-Polling-Stations,2019-12-02,104,5,0,4310,22
DemocracyClub/UK-Polling-Stations,2019-12-09,87,3,0,4397,22
DemocracyClub/UK-Polling-Stations,2020-01-13,3,1,0,4400,22
DemocracyClub/UK-Polling-Stations,2020-01-20,16,1,0,4416,22
DemocracyClub/UK-Polling-Stations,2020-01-27,6,3,0,4422,22
DemocracyClub/UK-Polling-Stations,2020-02-03,16,4,0,4438,22
DemocracyClub/UK-Polling-Stations,2020-02-10,5,2,0,4443,22
DemocracyClub/UK-Polling-Stations,2020-02-17,14,2,0,4457,22
DemocracyClub/UK-Polling-Stations,2020-02-24,15,3,0,4472,22
DemocracyClub/UK-Polling-Stations,2020-03-02,37,3,0,4509,22
DemocracyClub/UK-Polling-Stations,2020-03-09,6,2,0,4515,22
DemocracyClub/UK-Polling-Stations,2020-03-16,5,2,0,4520,22
DemocracyClub/UK-Polling-Stations,2020-03-23,13,4,1,4533,23
DemocracyClub/UK-Polling-Stations,2020-03-30,10,3,0,4543,23
DemocracyClub/UK-Polling-Stations,2020-04-06,2,2,0,4545,23
DemocracyClub/UK-Polling-Stations,2020-04-20,3,1,0,4548,23
DemocracyClub/UK-Polling-Stations,2020-04-27,1,1,0,4549,23
DemocracyClub/UK-Polling-Stations,2020-05-04,4,2,0,4553,23
DemocracyClub/UK-Polling-Stations,2020-05-18,12,3,0,4565,23
DemocracyClub/UK-Polling-Stations,2020-08-03,1,1,0,4566,23
DemocracyClub/UK-Polling-Stations,2020-08-10,12,1,0,4578,23
DemocracyClub/UK-Polling-Stations,2020-08-17,9,1,0,4587,23
DemocracyClub/UK-Polling-Stations,2020-09-28,1,1,0,4588,23
DemocracyClub/UK-Polling-Stations,2020-10-05,4,3,1,4592,24
DemocracyClub/UK-Polling-Stations,2020-10-12,4,2,0,4596,24
DemocracyClub/UK-Polling-Stations,2020-10-26,28,2,0,4624,24
DemocracyClub/UK-Polling-Stations,2020-11-02,1,1,0,4625,24
DemocracyClub/UK-Polling-Stations,2020-11-16,2,1,0,4627,24
DemocracyClub/UK-Polling-Stations,2020-12-14,68,2,0,4695,24
DemocracyClub/UK-Polling-Stations,2020-12-21,4,2,1,4699,25
DemocracyClub/UK-Polling-Stations,2021-01-04,5,2,0,4704,25
DemocracyClub/UK-Polling-Stations,2021-01-11,2,1,0,4706,25
DemocracyClub/UK-Polling-Stations,2021-01-18,17,1,0,4723,25
DemocracyClub/UK-Polling-Stations,2021-01-25,15,2,0,4738,25
DemocracyClub/UK-Polling-Stations,2021-02-08,25,1,0,4763,25
DemocracyClub/UK-Polling-Stations,2021-02-15,20,3,1,4783,26
DemocracyClub/UK-Polling-Stations,2021-02-22,26,3,0,4809,26
DemocracyClub/UK-Polling-Stations,2021-03-01,26,5,0,4835,26
DemocracyClub/UK-Polling-Stations,2021-03-08,20,4,0,4855,26
DemocracyClub/UK-Polling-Stations,2021-03-15,44,4,0,4899,26
DemocracyClub/UK-Polling-Stations,2021-03-22,70,4,0,4969,26
DemocracyClub/UK-Polling-Stations,2021-03-29,82,4,0,5051,26
DemocracyClub/UK-Polling-Stations,2021-04-05,65,5,0,5116,26
DemocracyClub/UK-Polling-Stations,2021-04-12,63,4,0,5179,26
DemocracyClub/UK-Polling-Stations,2021-04-19,66,4,0,5245,26
DemocracyClub/UK-Polling-Stations,2021-04-26,63,6,2,5308,28
DemocracyClub/UK-Polling-Stations,2021-05-03,31,4,0,5339,28
DemocracyClub/UK-Polling-Stations,2021-05-10,5,2,0,5344,28
DemocracyClub/UK-Polling-Stations,2021-06-14,1,1,1,5345,29
DemocracyClub/UK-Polling-Stations,2021-06-21,1,1,1,5346,30
DemocracyClub/UK-Polling-Stations,2021-07-05,4,1,0,5350,30
DemocracyClub/UK-Polling-Stations,2021-08-16,36,3,0,5386,30
DemocracyClub/UK-Polling-Stations,2021-09-13,9,1,0,5395,30
DemocracyClub/UK-Polling-Stations,2021-09-20,4,1,0,5399,30
DemocracyClub/UK-Polling-Stations,2021-09-27,6,2,0,5405,30
DemocracyClub/UK-Polling-Stations,2021-10-18,24,3,0,5429,30
DemocracyClub/UK-Polling-Stations,2021-10-25,6,3,0,5435,30
DemocracyClub/UK-Polling-Stations,2021-11-01,4,2,0,5439,30
DemocracyClub/UK-Polling-Stations,2021-11-08,5,2,0,5444,30
DemocracyClub/UK-Polling-Stations,2021-11-15,3,1,0,5447,30
DemocracyClub/UK-Polling-Stations,2021-11-22,10,2,0,5457,30
DemocracyClub/UK-Polling-Stations,2021-11-29,5,1,0,5462,30
DemocracyClub/UK-Polling-Stations,2021-12-13,2,2,0,5464,30
DemocracyClub/UK-Polling-Stations,2022-01-10,1,1,0,5465,30
DemocracyClub/UK-Polling-Stations,2022-01-17,2,1,0,5467,30
DemocracyClub/UK-Polling-Stations,2022-01-31,10,2,0,5477,30
DemocracyClub/UK-Polling-Stations,2022-02-07,62,4,0,5539,30
