repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
DemocracyClub/UK-Polling-Stations,0.7369,2,2,7,1954,code_commits=6836;pull_requests=5367;issues=0,Unknown=18;Rally Software=1;mySociety=1;Cardiff University=1;Astronomer.io=1;addresscloud=1;TrustedHousesitters=1;BT Labs=1;Cognizant / NHS England=1;DemocracyClub=1,help wanted;recommended for beginners,32,,29,1.11,7.71,8.53,,True,1,1,12,11,11,,141.9,100,100,2025-06-19T10:00:48+00:00,2024-08-15T09:31:59+00:00,0.4846,63,130,122.5,0.02,4632.0,2606.1,8169.7,18,government=0;academic=1;nonprofit=2;company=9;unknown=15,,,0.0099,2,3,0.4,0.6,0.6
DemocracyClub/WhoCanIVoteFor,0.4851,2,2,4,150,code_commits=2550;pull_requests=1913;issues=0,Rally Software=1;Unknown=18;Mindera=1;Noooner LIMITED=1;antarctica=1;alphagov=1;TrustedHousesitters=1;DemocracyClub=1,help wanted,23,,36,1.13,3.5,3.96,79.6,False,1,1,10,8,11,166.5,10.9,100,100,2025-06-21T16:20:06+00:00,,0.9697,96,99,10.9,0.13,7514.8,2259.1,5055.2,18,government=0;academic=0;nonprofit=2;company=9;unknown=14,,,0.1078,1,5,0.1667,0.6,0.6
fvialibre/edia,0.75,1,1,0,0,code_commits=78;pull_requests=4;issues=0,Unknown=2;FaMAF - UNC=1,good first issue;help wanted,9,,0,,0.0,0.0,,True,1,1,1,1,1,,0.1,0,4,2023-01-26T23:42:42+00:00,,,0,0,46.7,0.0,5950.0,5769.2,10000.0,2,government=0;academic=0;nonprofit=0;company=2;unknown=1,,,0.0,0,2,0.0,1.0,1.0
luftdata/luftdata.se,1.0,1,1,0,0,code_commits=186;pull_requests=14;issues=0,University of Gothenburg=1;Unknown=1;WhiteRox=1;MetaSolutions AB=1,good first issue;help wanted,8,,4,7.14,0.06,0.41,,False,1,1,0,3,1,1.0,,8,14,2018-12-03T10:49:09+00:00,,1.0,6,6,,0.0,5491.4,5491.4,6038.2,1,government=0;academic=1;nonprofit=0;company=3;unknown=0,,,0.0,0,0,,,
CodeForAfrica/PromiseTracker,0.7821,1,1,2,7,code_commits=311;pull_requests=491;issues=0,codefor=1;anthropics=1;Unknown=1,good first issue;help wanted,14,,0,1.59,6.19,9.86,,False,1,1,2,2,1,50.0,0.1,68,100,2026-02-24T06:13:04+00:00,,0.5,1,2,0.3,0.66,9423.7,9423.7,8024.7,1,government=0;academic=0;nonprofit=0;company=3;unknown=0,0.01,,0.0391,5,5,0.5,0.2,0.2
CodeForAfrica/academy.AFRICA,0.2222,1,1,0,0,code_commits=636;pull_requests=9;issues=0,anthropics=1;CodeForAfrica=1;codefor=1;Unknown=1,good first issue;help wanted,10,,0,2.08,1.29,2.68,,False,1,1,2,0,2,2.3,0.7,34,9,2024-09-09T09:34:16+00:00,,0.5556,10,18,,0.0,5010.2,5010.2,9862.8,1,government=0;academic=0;nonprofit=0;company=4;unknown=0,,,0.0,0,0,,,
CodeForAfrica/Dominion.AFRICA,0.8349,2,2,1,29,code_commits=478;pull_requests=109;issues=0,Unknown=3;TeneryResearch=1;nativecoders-se=1;CodeForAfrica=1,good first issue;help wanted,11,,0,7.14,0.04,0.27,,False,1,1,1,2,4,,21.6,0,100,2019-11-11T05:51:53+00:00,,,0,0,3.2,0.67,4161.1,2400.9,4560.1,3,government=0;academic=0;nonprofit=0;company=3;unknown=3,0.01,,0.0549,1,7,0.125,0.4643,0.4643
CodeForAfrica/GenderGap.AFRICA,0.8636,2,2,1,16,code_commits=190;pull_requests=44;issues=0,Code for Africa=1;OpenFn=1;Unknown=2;fourbic=1;World Benchmarking Alliance=1;CodeForAfrica=1;nativecoders-se=1;TeneryResearch=1;Financial Times=1,help wanted,9,,4,7.14,0.02,0.14,3.2,False,2,2,2,9,0,7300.3,6.0,18,44,2022-01-16T07:49:13+00:00,,,0,0,3.0,0.34,2617.9,2555.8,3536.0,2,government=0;academic=0;nonprofit=0;company=9;unknown=1,,,0.0263,4,5,0.4444,0.2222,0.2222
CodeForAfrica/openAFRICA,0.8824,2,2,0,0,code_commits=130;pull_requests=17;issues=0,Unknown=4;CodeForAfrica=1;Code for Africa=1;TeneryResearch=1,good first issue;help wanted,9,,11,4.2,0.17,0.73,71.8,False,2,2,2,3,2,146.6,12.7,37,17,2024-04-05T08:22:09+00:00,2018-04-05T13:00:19+00:00,0.9167,11,12,16.2,0.87,3316.0,3033.1,4632.8,4,government=0;academic=0;nonprofit=0;company=4;unknown=3,0.01,,0.0667,5,5,0.5,0.2,0.2
CodeForAfrica/outbreak.AFRICA,0.9207,2,2,2,26,code_commits=1147;pull_requests=164;issues=0,Code for Africa=2;Unknown=5;nativecoders-se=1;CodeForAfrica=1,good first issue;help wanted,13,,3,7.14,0.06,0.41,,False,2,2,3,4,4,,12.8,0,100,2022-02-08T05:24:46+00:00,,,0,0,2.9,0.41,3443.2,3279.4,5247.3,5,government=0;academic=0;nonprofit=0;company=7;unknown=2,,,0.2914,3,3,0.5,0.4,0.4
CodeForAfrica/ui,0.822,2,2,4,192,code_commits=9933;pull_requests=944;issues=0,Unknown=7;zevolution-zm=1;Rewardops=1;Code For Africa=1;Code for Africa=1;nativecoders-se=1;codefor=1;CodeForAfrica=1,good first issue;help wanted,19,,2,1.3,18.06,23.45,8.1,True,2,2,2,6,10,20.0,1.7,100,100,2026-03-03T06:38:29+00:00,,0.74,37,50,3.2,0.88,2987.1,2114.9,3864.0,7,government=0;academic=0;nonprofit=0;company=11;unknown=3,,,0.0103,4,5,0.4444,0.3611,0.3611
CodeForAfrica/sensors.AFRICA,0.7625,2,2,3,39,code_commits=941;pull_requests=299;issues=0,CodeForAfrica=2;Unknown=9;codefor=1;OpenFn=1;Code for Africa=1;TeneryResearch=1;nativecoders-se=1,good first issue;help wanted,15,,10,6.88,0.52,3.57,5.2,False,2,2,4,11,4,65.8,39.3,81,100,2025-08-26T12:26:32+00:00,2018-10-15T12:55:01+00:00,1.0,5,5,3.2,0.54,3566.3,3450.7,4402.0,9,government=0;academic=0;nonprofit=0;company=11;unknown=5,0.01,,0.0482,5,11,0.3125,0.175,0.175
codeforamerica/form-flow,0.8369,3,3,3,626,code_commits=1695;pull_requests=1134;issues=0,codeforamerica=2;Unknown=9;Code for America=2;navapbc=1;GSA (work) + personal projects=1;Code For America=1;Yale University Library=1,good first issue;help wanted,15,3.06,0,0.68,8.12,5.5,,False,2,2,5,5,11,,0.0,0,100,2026-01-30T19:25:11+00:00,,,0,0,5.2,0.05,2950.4,1614.7,3248.9,9,government=0;academic=1;nonprofit=0;company=8;unknown=9,2.53,6.1,0.0042,1,5,0.1667,0.2667,0.2667
