repo_full_name,contributor_id,week_start,commits
DemocracyClub/UK-Polling-Stations,awdem,2024-01-22,1
DemocracyClub/UK-Polling-Stations,awdem,2024-02-26,4
DemocracyClub/UK-Polling-Stations,awdem,2024-03-04,2
DemocracyClub/UK-Polling-Stations,awdem,2024-03-18,7
DemocracyClub/UK-Polling-Stations,awdem,2024-03-25,8
DemocracyClub/UK-Polling-Stations,awdem,2024-04-01,10
DemocracyClub/UK-Polling-Stations,awdem,2024-04-08,6
DemocracyClub/UK-Polling-Stations,awdem,2024-04-15,9
DemocracyClub/UK-Polling-Stations,awdem,2024-04-22,11
DemocracyClub/UK-Polling-Stations,awdem,2024-04-29,10
DemocracyClub/UK-Polling-Stations,awdem,2024-05-06,1
DemocracyClub/UK-Polling-Stations,awdem,2024-05-13,3
DemocracyClub/UK-Polling-Stations,awdem,2024-05-27,5
DemocracyClub/UK-Polling-Stations,awdem,2024-06-03,5
DemocracyClub/UK-Polling-Stations,awdem,2024-06-10,8
DemocracyClub/UK-Polling-Stations,awdem,2024-06-17,8
DemocracyClub/UK-Polling-Stations,awdem,2024-06-24,13
DemocracyClub/UK-Polling-Stations,awdem,2024-07-01,26
DemocracyClub/UK-Polling-Stations,awdem,2024-09-23,3
DemocracyClub/UK-Polling-Stations,awdem,2024-10-14,1
DemocracyClub/UK-Polling-Stations,awdem,2024-10-21,2
DemocracyClub/UK-Polling-Stations,awdem,2025-02-17,1
DemocracyClub/UK-Polling-Stations,awdem,2025-02-24,2
DemocracyClub/UK-Polling-Stations,awdem,2025-03-03,2
DemocracyClub/UK-Polling-Stations,awdem,2025-03-10,2
DemocracyClub/UK-Polling-Stations,awdem,2025-03-17,8
DemocracyClub/UK-Polling-Stations,awdem,2025-03-24,1
DemocracyClub/UK-Polling-Stations,awdem,2025-03-31,4
DemocracyClub/UK-Polling-Stations,awdem,2025-04-07,3
DemocracyClub/UK-Polling-Stations,awdem,2025-04-14,3
DemocracyClub/UK-Polling-Stations,awdem,2025-04-21,1
DemocracyClub/UK-Polling-Stations,awdem,2025-04-28,10
DemocracyClub/UK-Polling-Stations,awdem,2025-07-28,1
DemocracyClub/UK-Polling-Stations,awdem,2025-08-04,1
DemocracyClub/UK-Polling-Stations,awdem,2025-08-11,2
DemocracyClub/UK-Polling-Stations,awdem,2025-08-18,1
DemocracyClub/UK-Polling-Stations,awdem,2025-08-25,1
DemocracyClub/UK-Polling-Stations,awdem,2025-09-22,1
DemocracyClub/UK-Polling-Stations,awdem,2025-09-29,1
DemocracyClub/UK-Polling-Stations,awdem,2025-10-06,3
