repo_full_name,total_issues,open_issues,closed_issues,avg_comments_per_issue,median_time_to_close_days,unique_openers,unique_closers,top_openers,top_closers
CitizensFoundation/your-priorities-app,34,13,21,1.59,131.44,12,5,rbjarnason=15;MurzNN=5;MarceMMAD=4;eraviart=2;talss89=1;andredaa=1;teal33t=1;Synaccord=1;fabien7337=1;alimumcu1077=1;mapto=1;michi-z=1,rbjarnason=16;eraviart=2;andredaa=1;Synaccord=1;fabien7337=1
CodeForAfrica/Dominion.AFRICA,0,0,0,,,0,0,,
CodeForAfrica/GenderGap.AFRICA,18,0,18,0.22,7.88,3,2,chaficnajjar=11;nerdlet=5;DavidLemayian=2,chaficnajjar=9;DavidLemayian=9
CodeForAfrica/PromiseTracker,68,1,67,0.94,11.11,3,4,RalphOwah=55;kelvinkipruto=12;kilemensi=1,kelvinkipruto=51;RalphOwah=12;koechkevin=3;kilemensi=1
CodeForAfrica/academy.AFRICA,34,17,17,0.53,16.89,4,3,RalphOwah=23;koechkevin=4;kelvinkipruto=4;kilemensi=3,kelvinkipruto=10;RalphOwah=4;koechkevin=3
CodeForAfrica/actNOW,1,1,0,0,,1,0,kilemensi=1,
CodeForAfrica/openAFRICA,40,15,25,1.15,155.76,12,3,thepsalmist=13;DavidLemayian=11;phillipahereza=3;gabrielmahia=3;ignatiusukwuoma=2;tebajanga=2;Andretalik=1;andela-onnenanya=1;jonesbaraza=1;kilemensi=1;Maryblessing=1;VinneyJ=1,DavidLemayian=18;thepsalmist=5;kilemensi=2
CodeForAfrica/outbreak.AFRICA,0,0,0,,,0,0,,
CodeForAfrica/sensors.AFRICA,82,5,77,0.51,10.15,7,6,nerdlet=50;DavidLemayian=17;usmanbiu=6;thepsalmist=5;gideonmaina=2;greenkeeper[bot]=1;kilemensi=1,DavidLemayian=46;kilemensi=21;gideonmaina=5;thepsalmist=3;KhadijaMahanga=1;usmanbiu=1
CodeForAfrica/ui,443,51,392,0.55,15.91,14,11,kilemensi=153;kelvinkipruto=89;RalphOwah=82;koechkevin=50;m453h=30;damolaoladipo=10;DavidTheProgrammer=10;thepsalmist=7;Sakina-Salem=6;Warukira=2;nerdlet=1;gertie-sheshe=1;esirK=1;charscs=1,kelvinkipruto=153;kilemensi=101;koechkevin=66;RalphOwah=36;m453h=16;nerdlet=8;esirK=4;thepsalmist=3;gertie-sheshe=2;DavidTheProgrammer=2;gideonmaina=1
DemocracyClub/UK-Polling-Stations,3851,65,3786,0.46,7.86,20,12,polling-bot-4000=2373;chris48s=1187;davidmiller=92;symroe=54;GeoWill=39;JoeMitchell=37;pmk01=32;andylolz=11;PhilRumens=7;alexdutton=5;VirginiaDooley=4;awdem=2;handelaar=1;jcampbell05=1;BenJam=1;mvl22=1;pyup-bot=1;smsmith97=1;michaeljcollinsuk=1;Bekabyx=1,chris48s=1214;GeoWill=536;symroe=170;pmk01=29;davidmiller=21;alexdutton=21;tfgg=2;VirginiaDooley=2;smsmith97=2;PhilRumens=1;JoeMitchell=1;andylolz=1
