repo_full_name,total_contributors,bot_contributors,human_contributors,bot_commit_pct,bus_factor,bus_factor_no_bots,hhi,hhi_no_bots,hhi_known_orgs_only
DemocracyClub/UK-Polling-Stations,9,2,7,53.4,1,2,5757.5,3067.4,6582.0
DemocracyClub/WhoCanIVoteFor,13,1,12,0.4,2,2,5537.8,3979.4,10000.0
fvialibre/edia,5,0,5,0.0,1,1,5800.0,5082.2,10000.0
luftdata/luftdata.se,4,0,4,0.0,1,1,5317.7,5317.7,5793.8
CodeForAfrica/PromiseTracker,6,1,5,1.4,1,1,9557.9,9557.9,5555.6
CodeForAfrica/academy.AFRICA,5,0,5,0.0,2,2,4979.0,4979.0,9916.0
CodeForAfrica/Dominion.AFRICA,11,1,10,5.8,2,2,3600.4,2652.6,5013.4
CodeForAfrica/GenderGap.AFRICA,18,2,16,6.3,3,3,2092.0,2051.6,2636.8
CodeForAfrica/openAFRICA,10,0,10,0.0,2,2,3623.6,3663.1,5001.5
CodeForAfrica/outbreak.AFRICA,11,2,9,5.2,2,2,4381.6,4091.5,7555.7
CodeForAfrica/ui,19,4,15,1.9,2,2,3008.5,2151.8,3922.8
CodeForAfrica/sensors.AFRICA,25,3,22,7.8,3,3,3376.7,3185.6,4444.4
codeforamerica/form-flow,8,2,6,80.4,1,1,7673.9,6212.0,8579.9
codeforamerica/vita-min,20,1,19,4.0,4,4,5921.9,1634.3,8024.7
codeforamerica/tofu-modules-aws-serverless-database,3,1,2,27.5,1,1,9334.1,9334.1,10000.0
codeforamerica/tax-benefits-backend,13,0,13,0.0,3,3,6330.2,1743.1,10000.0
codeforamerica/pya,11,1,10,32.9,2,2,9885.1,3876.7,10000.0
codeforamerica/honeycrisp-gem,49,1,48,7.0,5,4,4568.7,1550.7,5356.2
codeforamerica/asap_pdf,5,1,4,18.6,1,1,6343.8,6098.9,10000.0
codeforamerica/cmr-maryland-eligibility-determination,2,0,2,0.0,1,1,10000.0,10000.0,
codeforamerica/document-transfer-service,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
markov-root/atlas,3,0,3,0.0,1,1,10000.0,5000.0,
fvialibre/heseia-sentence-bias-dataset,1,0,1,0.0,1,1,10000.0,10000.0,
codeforjapan/BirdXplorer,8,2,6,3.0,2,2,8350.2,3853.7,10000.0
meshtastic/Meshtastic-Android,14,2,12,29.8,1,1,9334.7,9329.4,9825.6
meshtastic/web,35,2,33,6.6,1,1,9095.0,5330.4,6776.9
meshtastic/firmware,100,3,97,6.2,3,3,5711.1,1321.2,4975.9
civiform/civiform,16,3,13,54.8,2,3,8915.7,1486.4,10000.0
iiab/iiab,27,0,27,0.0,1,1,5830.1,5428.7,9011.6
ForumMagnum/ForumMagnum,100,2,98,0.3,4,4,8751.3,1058.6,6356.2
mastodon/mastodon,100,4,96,28.1,4,3,3147.8,1461.3,3544.0
okfde/froide,13,4,9,3.6,2,2,6336.9,2932.2,8228.6
openplans/shareabouts,14,1,13,0.6,1,1,8694.2,7238.0,6044.4
codeforamerica/recordtrac,13,0,13,0.0,2,2,9918.1,4357.4,5000.0
CodeForAfrica/actNOW,3,2,1,50.0,1,1,10000.0,10000.0,10000.0
CitizensFoundation/your-priorities-app,2,0,2,0.0,1,1,10000.0,10000.0,10000.0
mysociety/ceuk-marking,4,1,3,2.5,1,1,9400.9,9400.9,9497.8
