,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,37.0,4813.486486486487,9413.926278603363,9.0,254.0,1272.0,7232.0,52222.0,6978.0
num_developers,37.0,47.513513513513516,99.65569104048576,1.0,4.0,11.0,30.0,414.0,26.0
stars,37.0,1717.945945945946,8243.353120160733,0.0,2.0,9.0,124.0,49930.0,122.0
forks,37.0,305.6216216216216,1263.1557340282347,0.0,0.0,4.0,41.0,7427.0,41.0
health_percentage,37.0,49.945945945945944,22.523994546490425,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,37.0,1.864864864864865,1.084285790590136,1.0,1.0,2.0,2.0,5.0,1.0
bus_factor_no_bots,37.0,1.864864864864865,0.9764494116202096,1.0,1.0,2.0,2.0,4.0,1.0
burstiness_cv,37.0,0.981081081081081,0.38270806820011705,0.31,0.72,0.91,1.26,1.89,0.54
elephant_factor,37.0,1.162162162162162,0.37368387661182234,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,37.0,1.162162162162162,0.37368387661182234,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,37.0,7022.740540540541,2519.759829655228,2092.0,5317.7,6343.8,9334.7,10000.0,4017.000000000001
hhi_no_bots,37.0,5072.413513513513,3039.395251084056,1058.6,2652.6,4357.4,7238.0,10000.0,4585.4
hhi_known_orgs_only,34.0,7586.05294117647,2410.5976533223475,2636.8,5406.05,8126.65,10000.0,10000.0,4593.95
stale_issue_ratio,26.0,0.8245538461538462,0.2633811234401877,0.0,0.742125,0.9643999999999999,1.0,1.0,0.25787499999999997
change_request_acceptance_ratio,36.0,0.7810611111111111,0.1761359025262316,0.2222,0.75,0.8210999999999999,0.884475,1.0,0.134475
median_time_to_first_response_issues_hours,24.0,429.67499999999995,1486.4646480097026,0.0,11.125,34.95,81.05,7300.3,69.925
median_time_to_first_response_prs_hours,29.0,26.565517241379315,71.94902598299355,0.0,0.7,3.6,19.2,384.6,18.5
median_pr_review_turnaround_hours,29.0,46.23448275862069,167.17055507103703,0.0,1.0,3.2,17.7,902.0,16.7
avg_review_comments_per_pr,36.0,0.2611111111111112,0.2639456413493157,0.0,0.02,0.195,0.43,0.87,0.41
core_contributor_count,37.0,2.324324324324324,2.4950401249729883,0.0,0.0,1.0,4.0,9.0,4.0
periphery_contributor_count,37.0,4.756756756756757,4.0784351942422274,0.0,2.0,4.0,7.0,18.0,5.0
network_density,29.0,0.40140344827586205,0.20261778846382278,0.1263,0.2222,0.4,0.5,1.0,0.2778
bot_contributor_count,37.0,1.3243243243243243,1.2484224279299687,0.0,0.0,1.0,2.0,4.0,2.0
bot_commit_count,37.0,235.8918918918919,958.3972669625687,0.0,0.0,18.0,93.0,5833.0,93.0
unknown_org_contributor_count,37.0,11.432432432432432,18.579469763604575,0.0,2.0,4.0,9.0,76.0,7.0
