,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.5413,0.6074,0.5905,0.6258,0.2851,0.3213,0.3249,-0.3728,-0.324,0.3671,0.282,-0.0941,0.1,0.2433,0.1095,0.0178
num_developers,0.5413,1.0,0.7933,0.7262,0.7264,0.5424,0.6012,-0.1865,-0.3948,-0.6761,-0.3353,0.5365,0.1588,-0.2909,-0.1523,0.6014,-0.2065
total_commits,0.6074,0.7933,1.0,0.6877,0.7219,0.2915,0.3515,-0.0639,-0.2237,-0.4028,-0.1967,0.3972,-0.0481,-0.52,-0.0271,0.2395,0.1494
stars,0.5905,0.7262,0.6877,1.0,0.9351,0.2034,0.2359,-0.113,-0.1077,-0.3548,-0.2313,0.5156,-0.0796,-0.3718,0.0587,0.2813,-0.0894
forks,0.6258,0.7264,0.7219,0.9351,1.0,0.2138,0.2511,-0.0448,-0.1293,-0.3471,-0.2969,0.4853,-0.0168,-0.3789,0.0027,0.2683,-0.0949
bus_factor,0.2851,0.5424,0.2915,0.2034,0.2138,1.0,0.9633,-0.0763,-0.5802,-0.8735,-0.1354,0.1824,0.1448,0.0235,-0.1852,0.649,-0.39
bus_factor_no_bots,0.3213,0.6012,0.3515,0.2359,0.2511,0.9633,1.0,-0.0842,-0.5714,-0.9197,-0.1445,0.255,0.1466,0.0014,-0.103,0.6571,-0.3898
burstiness_cv,0.3249,-0.1865,-0.0639,-0.113,-0.0448,-0.0763,-0.0842,1.0,-0.1192,0.1116,0.4392,-0.3522,-0.2095,0.4232,0.2158,-0.2791,0.1642
herfindahl_hirschman_index,-0.3728,-0.3948,-0.2237,-0.1077,-0.1293,-0.5802,-0.5714,-0.1192,1.0,0.6605,0.1384,-0.3247,-0.1722,-0.047,-0.1077,-0.528,0.1156
hhi_no_bots,-0.324,-0.6761,-0.4028,-0.3548,-0.3471,-0.8735,-0.9197,0.1116,0.6605,1.0,0.3335,-0.3008,-0.1752,0.1591,0.1003,-0.6503,0.2883
stale_issue_ratio,0.3671,-0.3353,-0.1967,-0.2313,-0.2969,-0.1354,-0.1445,0.4392,0.1384,0.3335,1.0,-0.2958,-0.264,0.3411,0.4213,-0.3012,0.1429
health_percentage,0.282,0.5365,0.3972,0.5156,0.4853,0.1824,0.255,-0.3522,-0.3247,-0.3008,-0.2958,1.0,0.1568,-0.2163,0.1072,0.4744,-0.3237
change_request_acceptance_ratio,-0.0941,0.1588,-0.0481,-0.0796,-0.0168,0.1448,0.1466,-0.2095,-0.1722,-0.1752,-0.264,0.1568,1.0,-0.2235,-0.5515,0.3118,-0.2289
median_time_to_first_response_issues_hours,0.1,-0.2909,-0.52,-0.3718,-0.3789,0.0235,0.0014,0.4232,-0.047,0.1591,0.3411,-0.2163,-0.2235,1.0,0.389,0.1751,-0.0113
median_pr_review_turnaround_hours,0.2433,-0.1523,-0.0271,0.0587,0.0027,-0.1852,-0.103,0.2158,-0.1077,0.1003,0.4213,0.1072,-0.5515,0.389,1.0,-0.2741,0.4065
core_contributor_count,0.1095,0.6014,0.2395,0.2813,0.2683,0.649,0.6571,-0.2791,-0.528,-0.6503,-0.3012,0.4744,0.3118,0.1751,-0.2741,1.0,-0.6697
network_density,0.0178,-0.2065,0.1494,-0.0894,-0.0949,-0.39,-0.3898,0.1642,0.1156,0.2883,0.1429,-0.3237,-0.2289,-0.0113,0.4065,-0.6697,1.0
