,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,0.000541,6.7e-05,0.00012,3.4e-05,0.0872,0.052483,0.05741,0.029117,0.051149,0.065078,0.09081,0.585175,0.641993,0.203479,0.518813,0.927043
num_developers,0.000541,0.0,0.0,0.0,0.0,0.000524,8.3e-05,0.300137,0.022738,5e-06,0.094056,0.000619,0.354984,0.167906,0.430435,8.3e-05,0.282533
total_commits,6.7e-05,0.0,0.0,3e-06,0.0,0.080033,0.032892,0.707567,0.20564,0.013325,0.335394,0.014914,0.780392,0.009198,0.888965,0.153292,0.439101
stars,0.00012,0.0,3e-06,0.0,0.0,0.227284,0.159794,0.560241,0.666209,0.035209,0.255557,0.001091,0.644292,0.073603,0.76224,0.091713,0.64478
forks,3.4e-05,0.0,0.0,0.0,0.0,0.203937,0.133782,0.839891,0.566916,0.039402,0.140849,0.002328,0.922558,0.067849,0.988743,0.108346,0.624461
bus_factor,0.0872,0.000524,0.080033,0.227284,0.203937,0.0,0.0,0.677309,0.000231,0.0,0.509435,0.279967,0.39954,0.91317,0.336094,1.4e-05,0.036488
bus_factor_no_bots,0.052483,8.3e-05,0.032892,0.159794,0.133782,0.0,0.0,0.651681,0.000325,0.0,0.481138,0.127761,0.393514,0.994919,0.594837,1e-05,0.03661
burstiness_cv,0.05741,0.300137,0.707567,0.560241,0.839891,0.677309,0.651681,0.0,0.490698,0.569834,0.023033,0.042233,0.200581,0.054838,0.26541,0.104639,0.42484
herfindahl_hirschman_index,0.029117,0.022738,0.20564,0.666209,0.566916,0.000231,0.000325,0.490698,0.0,1.5e-05,0.516893,0.075557,0.354984,0.641993,0.443136,0.000932,0.674231
hhi_no_bots,0.051149,5e-06,0.013325,0.035209,0.039402,0.0,0.0,0.569834,1.5e-05,0.0,0.102775,0.085053,0.329017,0.508832,0.679543,1.3e-05,0.146659
stale_issue_ratio,0.065078,0.094056,0.335394,0.255557,0.140849,0.509435,0.481138,0.023033,0.516893,0.102775,0.0,0.142347,0.19257,0.111147,0.06431,0.134805,0.547937
health_percentage,0.09081,0.000619,0.014914,0.001091,0.002328,0.279967,0.127761,0.042233,0.075557,0.085053,0.142347,0.0,0.360983,0.310032,0.579931,0.003016,0.086756
change_request_acceptance_ratio,0.585175,0.354984,0.780392,0.644292,0.922558,0.39954,0.393514,0.200581,0.354984,0.329017,0.19257,0.360983,0.0,0.293847,0.00193,0.064093,0.232373
median_time_to_first_response_issues_hours,0.641993,0.167906,0.009198,0.073603,0.067849,0.91317,0.994919,0.054838,0.641993,0.508832,0.111147,0.310032,0.293847,0.0,0.090031,0.413194,0.96219
median_pr_review_turnaround_hours,0.203479,0.430435,0.888965,0.76224,0.988743,0.336094,0.594837,0.26541,0.443136,0.679543,0.06431,0.579931,0.00193,0.090031,0.0,0.150252,0.02865
core_contributor_count,0.518813,8.3e-05,0.153292,0.091713,0.108346,1.4e-05,1e-05,0.104639,0.000932,1.3e-05,0.134805,0.003016,0.064093,0.413194,0.150252,0.0,7.1e-05
network_density,0.927043,0.282533,0.439101,0.64478,0.624461,0.036488,0.03661,0.42484,0.674231,0.146659,0.547937,0.086756,0.232373,0.96219,0.02865,7.1e-05,0.0
