repo_full_name,pr_count_total,pr_count_merged,pr_count_open,pr_count_closed_unmerged,tag_count,release_count
CitizensFoundation/your-priorities-app,299,125,46,128,30,30
CodeForAfrica/Dominion.AFRICA,109,91,4,14,10,1
CodeForAfrica/GenderGap.AFRICA,44,38,2,4,0,0
CodeForAfrica/PromiseTracker,497,386,4,107,2,1
CodeForAfrica/academy.AFRICA,9,2,6,1,0,0
CodeForAfrica/actNOW,1158,907,6,245,0,0
CodeForAfrica/openAFRICA,17,15,0,2,3,1
CodeForAfrica/outbreak.AFRICA,164,151,3,10,0,0
CodeForAfrica/sensors.AFRICA,300,229,11,60,6,1
CodeForAfrica/ui,993,823,10,160,0,0
DemocracyClub/UK-Polling-Stations,5537,4179,20,1338,0,0
DemocracyClub/WhoCanIVoteFor,1961,973,17,971,0,0
ForumMagnum/ForumMagnum,10807,10006,196,605,52,4
civiform/civiform,8786,7826,65,895,158,157
codeforamerica/asap_pdf,416,297,11,108,0,0
codeforamerica/cmr-maryland-eligibility-determination,19,19,0,0,0,0
codeforamerica/document-transfer-service,16,12,1,3,0,0
codeforamerica/form-flow,1182,978,7,197,105,105
codeforamerica/honeycrisp-gem,237,190,12,35,48,0
codeforamerica/pya,327,234,11,82,36,36
codeforamerica/recordtrac,49,29,0,20,0,0
codeforamerica/tax-benefits-backend,201,187,0,14,0,0
codeforamerica/tofu-modules-aws-serverless-database,37,36,0,1,11,11
codeforamerica/vita-min,6294,5314,10,970,976,930
codeforjapan/BirdXplorer,130,126,1,3,0,0
fvialibre/edia,4,3,1,0,0,0
fvialibre/heseia-sentence-bias-dataset,0,0,0,0,0,0
iiab/iiab,2784,2415,19,350,96,94
luftdata/luftdata.se,14,14,0,0,0,0
markov-root/atlas,3,1,2,0,0,0
mastodon/mastodon,23601,19739,185,3677,343,333
meshtastic/Meshtastic-Android,3800,3514,19,267,359,264
meshtastic/firmware,6305,5182,192,931,323,258
meshtastic/web,612,502,6,104,13,12
mysociety/ceuk-marking,121,98,1,22,0,0
okfde/froide,826,584,18,224,4,0
openplans/shareabouts,121,93,3,25,114,89
