repo_full_name,active_weeks,total_added,total_removed,net_loc_delta,overall_churn_ratio,mean_weekly_churn,median_weekly_churn,deletion_heavy_weeks_pct
DemocracyClub/UK-Polling-Stations,415,6297063,9733304,-3436241,0.607,0.436,0.427,29.4
codeforamerica/recordtrac,89,333219,366883,-33664,0.524,0.42,0.418,20.2
CodeForAfrica/sensors.AFRICA,118,388122,403490,-15368,0.51,0.403,0.441,22.9
CitizensFoundation/your-priorities-app,54,911556,870284,41272,0.488,0.396,0.467,11.1
CodeForAfrica/GenderGap.AFRICA,53,88041,80564,7477,0.478,0.384,0.44,15.1
codeforamerica/asap_pdf,39,164890,149035,15855,0.475,0.355,0.353,15.4
CodeForAfrica/Dominion.AFRICA,52,107875,89352,18523,0.453,0.454,0.5,19.2
fvialibre/heseia-sentence-bias-dataset,3,80245,65781,14464,0.45,0.453,0.5,33.3
fvialibre/edia,18,27091,20626,6465,0.432,0.251,0.225,5.6
DemocracyClub/WhoCanIVoteFor,352,243800,176492,67308,0.42,0.354,0.341,14.8
openplans/shareabouts,210,315302,225223,90079,0.417,0.352,0.333,13.8
okfde/froide,93,134776,92956,41820,0.408,0.371,0.382,14.0
meshtastic/Meshtastic-Android,298,761354,521385,239969,0.406,0.354,0.36,15.4
CodeForAfrica/ui,176,4601514,3083980,1517534,0.401,0.38,0.385,18.2
ForumMagnum/ForumMagnum,692,20425184,13415413,7009771,0.396,0.366,0.344,14.3
meshtastic/web,178,656036,428841,227195,0.395,0.393,0.418,16.3
CodeForAfrica/outbreak.AFRICA,60,176999,115284,61715,0.394,0.44,0.5,26.7
codeforamerica/honeycrisp-gem,96,53097,33807,19290,0.389,0.332,0.338,13.5
CodeForAfrica/openAFRICA,50,5839,3725,2114,0.389,0.328,0.333,8.0
civiform/civiform,275,820592,464729,355863,0.362,0.313,0.306,8.4
iiab/iiab,443,443089,249904,193185,0.361,0.38,0.4,8.8
meshtastic/firmware,323,1464710,759325,705385,0.341,0.318,0.306,10.2
codeforamerica/form-flow,165,69728,34302,35426,0.33,0.367,0.419,5.5
mastodon/mastodon,511,1895443,917895,977548,0.326,0.34,0.337,8.2
CodeForAfrica/academy.AFRICA,63,102260,40970,61290,0.286,0.302,0.272,9.5
codeforamerica/vita-min,326,1486650,553139,933511,0.271,0.31,0.27,11.3
CodeForAfrica/PromiseTracker,29,159584,59035,100549,0.27,0.293,0.314,6.9
codeforamerica/pya,41,19207,7056,12151,0.269,0.371,0.442,9.8
CodeForAfrica/actNOW,207,15591,5284,10307,0.253,0.475,0.5,1.0
codeforamerica/cmr-maryland-eligibility-determination,8,3621,1156,2465,0.242,0.294,0.348,0.0
codeforamerica/tax-benefits-backend,61,10896,3176,7720,0.226,0.223,0.208,1.6
markov-root/atlas,8,24925,6643,18282,0.21,0.309,0.337,12.5
codeforjapan/BirdXplorer,85,87107,19743,67364,0.185,0.194,0.149,4.7
codeforamerica/tofu-modules-aws-serverless-database,15,2849,440,2409,0.134,0.2,0.239,6.7
codeforamerica/document-transfer-service,9,7810,838,6972,0.097,0.146,0.103,0.0
luftdata/luftdata.se,42,14648,1058,13590,0.067,0.357,0.377,14.3
