repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality,burstiness_cv_full_history
DemocracyClub/UK-Polling-Stations,0.7547,1,2,2,267,code_commits=500;pull_requests=5536;issues=0,DemocracyClub=2;Unknown=4;BT Labs=1,help wanted;recommended for beginners,32,,29,1.08,,,,True,1,1,0,0,0,45.1,23.3,100,100,2026-03-18T15:49:14+00:00,2024-08-15T09:31:59+00:00,0.9692,63,65,140.3,0.02,5757.5,3070.7,6582.0,4,government=0;academic=0;nonprofit=2;company=3;unknown=2,,,0.0093,1,5,0.1667,0.4,0.4,1.19
DemocracyClub/WhoCanIVoteFor,0.4962,2,2,1,2,code_commits=500;pull_requests=1961;issues=0,Unknown=9;DemocracyClub=2,help wanted,23,,35,1.05,,,79.6,False,1,1,0,0,0,155.8,15.1,100,100,2026-04-21T11:26:09+00:00,,0.9596,95,99,4.7,0.18,5537.8,3979.4,10000.0,9,government=0;academic=0;nonprofit=3;company=2;unknown=7,,,0.1048,3,3,0.5,0.6,0.6,1.16
fvialibre/edia,0.75,1,1,0,0,code_commits=81;pull_requests=4;issues=0,FaMAF - UNC=1;Unknown=3,good first issue;help wanted,9,,0,0.77,,,,True,1,1,0,0,0,,0.1,0,4,2023-01-26T23:42:42+00:00,,,0,0,46.7,0.0,5800.0,5082.2,10000.0,3,government=0;academic=0;nonprofit=0;company=2;unknown=3,,,0.0,0,2,0.0,1.0,1.0,0.77
luftdata/luftdata.se,1.0,1,1,0,0,code_commits=206;pull_requests=14;issues=0,MetaSolutions AB=1;Unknown=1;WhiteRox=1;University of Gothenburg=1,good first issue;help wanted,8,,4,1.53,,,,False,1,1,0,0,0,1.0,,8,14,2018-12-03T10:49:09+00:00,,1.0,6,6,,0.0,5317.7,5317.7,5793.8,1,government=0;academic=1;nonprofit=0;company=3;unknown=0,,,0.0,0,0,,,,1.53
CodeForAfrica/PromiseTracker,0.7767,1,1,1,6,code_commits=430;pull_requests=497;issues=0,Unknown=1;CodeForAfrica=1;codefor=2,good first issue;help wanted,15,,0,0.91,,,,False,1,1,0,0,0,50.0,0.1,68,100,2026-02-24T06:13:04+00:00,,1.0,1,1,0.2,0.66,9557.9,9557.9,5555.6,1,government=0;academic=0;nonprofit=0;company=4;unknown=1,0.01,,0.0389,1,8,0.1111,0.2222,0.2222,0.91
CodeForAfrica/academy.AFRICA,0.2222,2,2,0,0,code_commits=500;pull_requests=9;issues=0,Unknown=1;codefor=1;CodeForAfrica=1,good first issue;help wanted,10,,0,0.9,,,,False,1,1,0,0,0,2.3,0.7,34,9,2024-09-09T09:34:16+00:00,,0.7059,12,17,,0.0,4979.0,4979.0,9916.0,1,government=0;academic=0;nonprofit=0;company=3;unknown=2,,,0.0,0,0,,,,1.17
CodeForAfrica/Dominion.AFRICA,0.8349,2,2,1,29,code_commits=500;pull_requests=109;issues=0,CodeForAfrica=2;Unknown=4;TeneryResearch=2;nativecoders-se=1,good first issue;help wanted,11,,0,1.33,,,,False,2,2,0,0,0,,21.6,0,100,2019-11-11T05:51:53+00:00,,,0,0,3.2,0.67,3600.4,2652.6,5013.4,4,government=0;academic=0;nonprofit=0;company=5;unknown=5,0.01,,0.0549,1,7,0.125,0.4643,0.4643,1.33
CodeForAfrica/GenderGap.AFRICA,0.8636,3,3,2,16,code_commits=254;pull_requests=44;issues=0,Unknown=2;Code for Africa=1;World Benchmarking Alliance=2;CodeForAfrica=2;nativecoders-se=1;fourbic=2;TeneryResearch=2;OpenFn=1;Financial Times=1,help wanted,9,,4,1.26,,,3.2,False,2,2,0,0,0,7300.3,6.0,18,44,2022-01-16T07:49:13+00:00,,,0,0,3.0,0.34,2092.0,2051.6,2636.8,2,government=0;academic=0;nonprofit=0;company=13;unknown=3,,,0.0263,4,5,0.4444,0.2222,0.2222,1.27
CodeForAfrica/openAFRICA,0.8824,2,2,0,0,code_commits=154;pull_requests=17;issues=0,Unknown=5;Code for Africa=2;TeneryResearch=1,good first issue;help wanted,9,,11,0.72,,,71.8,False,2,2,0,0,0,146.6,12.7,40,17,2024-04-05T08:22:09+00:00,2018-04-05T13:00:19+00:00,0.8,12,15,16.2,0.87,3623.6,3663.1,5001.5,5,government=0;academic=0;nonprofit=0;company=4;unknown=6,0.01,,0.0667,5,5,0.5,0.2,0.2,0.72
CodeForAfrica/outbreak.AFRICA,0.9207,2,2,2,26,code_commits=500;pull_requests=164;issues=0,CodeForAfrica=2;Code for Africa=2;Unknown=3;nativecoders-se=1,good first issue;help wanted,13,,3,1.89,,,,False,1,1,0,0,0,,12.8,0,100,2022-02-08T05:24:46+00:00,,,0,0,2.9,0.41,4381.6,4091.5,7555.7,3,government=0;academic=0;nonprofit=0;company=7;unknown=2,,,0.2914,3,3,0.5,0.4,0.4,1.64
