var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
num_developers,stars,0.7473,0.0,38,True,True
num_developers,forks,0.7462,0.0,38,True,True
num_developers,total_commits,0.8003,0.0,38,True,True
total_commits,forks,0.7307,0.0,38,True,True
stars,forks,0.94,0.0,38,True,True
forks,burstiness_cv,-1.0,0.0,5,True,True
bus_factor,hhi_no_bots,-0.8686,0.0,38,True,True
bus_factor,bus_factor_no_bots,0.9641,0.0,38,True,True
bus_factor_no_bots,hhi_no_bots,-0.9136,0.0,38,True,True
total_commits,stars,0.6997,1e-06,38,True,True
num_developers,hhi_no_bots,-0.6375,1.7e-05,38,True,True
num_developers,core_contributor_count,0.634,1.9e-05,38,True,True
herfindahl_hirschman_index,hhi_no_bots,0.6321,2.1e-05,38,True,True
hhi_no_bots,core_contributor_count,-0.6239,2.8e-05,38,True,True
core_contributor_count,network_density,-0.6808,3.5e-05,30,True,True
bus_factor_no_bots,core_contributor_count,0.5743,0.000163,38,True,True
num_developers,health_percentage,0.572,0.000176,38,True,True
age_years,total_commits,0.5695,0.00019,38,True,True
bus_factor,core_contributor_count,0.5636,0.000229,38,True,True
age_years,forks,0.5601,0.000255,38,True,True
stars,health_percentage,0.5521,0.000327,38,True,True
herfindahl_hirschman_index,core_contributor_count,-0.5355,0.000531,38,True,True
age_years,stars,0.5269,0.000677,38,True,True
bus_factor,herfindahl_hirschman_index,-0.5263,0.000689,38,True,True
forks,health_percentage,0.5249,0.000717,38,True,True
num_developers,bus_factor_no_bots,0.5244,0.000726,38,True,True
health_percentage,core_contributor_count,0.5204,0.00081,38,True,True
bus_factor_no_bots,herfindahl_hirschman_index,-0.5133,0.000982,38,True,True
age_years,num_developers,0.487,0.001931,38,True,True
num_developers,bus_factor,0.471,0.002841,38,True,True
total_commits,health_percentage,0.4273,0.007462,38,True,True
total_commits,median_time_to_first_response_issues_hours,-0.5108,0.009079,25,True,True
num_developers,herfindahl_hirschman_index,-0.4011,0.01257,38,True,False
total_commits,hhi_no_bots,-0.3947,0.014201,38,True,False
median_pr_review_turnaround_hours,network_density,0.4331,0.016831,30,True,False
stale_issue_ratio,median_pr_review_turnaround_hours,0.515,0.016899,21,True,False
change_request_acceptance_ratio,median_pr_review_turnaround_hours,-0.425,0.019232,30,True,False
forks,stale_issue_ratio,-0.4131,0.032204,27,True,False
num_developers,stale_issue_ratio,-0.4128,0.032379,27,True,False
stale_issue_ratio,health_percentage,-0.4029,0.037195,27,True,False
num_developers,burstiness_cv,-0.9,0.037386,5,True,False
stars,burstiness_cv,-0.9,0.037386,5,True,False
burstiness_cv,network_density,0.9,0.037386,5,True,False
stars,core_contributor_count,0.3379,0.037992,38,True,False
stale_issue_ratio,median_time_to_first_response_issues_hours,0.4225,0.039722,24,True,False
age_years,bus_factor_no_bots,0.3344,0.040195,38,True,False
age_years,herfindahl_hirschman_index,-0.3312,0.042239,38,True,False
forks,core_contributor_count,0.3284,0.044143,38,True,False
herfindahl_hirschman_index,health_percentage,-0.3283,0.044198,38,True,False
age_years,hhi_no_bots,-0.3237,0.047428,38,True,False
stars,hhi_no_bots,-0.3215,0.049048,38,True,False
forks,hhi_no_bots,-0.3131,0.055623,38,False,False
total_commits,bus_factor_no_bots,0.3131,0.055639,38,False,False
health_percentage,network_density,-0.3514,0.056856,30,False,False
forks,median_time_to_first_response_issues_hours,-0.3803,0.060768,25,False,False
median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,0.412,0.06351,21,False,False
stars,median_time_to_first_response_issues_hours,-0.3739,0.065575,25,False,False
stars,stale_issue_ratio,-0.3582,0.066572,27,False,False
age_years,bus_factor,0.2971,0.070051,38,False,False
hhi_no_bots,stale_issue_ratio,0.3504,0.073158,27,False,False
stale_issue_ratio,core_contributor_count,-0.3499,0.073627,27,False,False
bus_factor,network_density,-0.3253,0.079371,30,False,False
bus_factor_no_bots,network_density,-0.3246,0.080083,30,False,False
total_commits,core_contributor_count,0.2846,0.083284,38,False,False
age_years,stale_issue_ratio,0.3344,0.088245,27,False,False
median_pr_review_turnaround_hours,core_contributor_count,-0.3136,0.091522,30,False,False
hhi_no_bots,health_percentage,-0.2767,0.092626,38,False,False
total_commits,bus_factor,0.2551,0.122169,38,False,False
age_years,median_pr_review_turnaround_hours,0.2829,0.129799,30,False,False
total_commits,herfindahl_hirschman_index,-0.2429,0.141645,38,False,False
num_developers,median_time_to_first_response_issues_hours,-0.3,0.145086,25,False,False
age_years,health_percentage,0.2381,0.150025,38,False,False
change_request_acceptance_ratio,core_contributor_count,0.2352,0.16121,37,False,False
burstiness_cv,health_percentage,-0.7182,0.171795,5,False,False
bus_factor,burstiness_cv,-0.7182,0.171795,5,False,False
total_commits,stale_issue_ratio,-0.2617,0.187324,27,False,False
hhi_no_bots,network_density,0.2471,0.187974,30,False,False
