,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,38.0,4907.631578947368,9303.36529469543,9.0,255.0,1302.0,7634.0,52222.0,7379.0
num_developers,38.0,57.55263157894737,116.24059331158011,1.0,4.25,11.0,32.25,430.0,28.0
stars,38.0,6513.763157894737,30665.069175480177,0.0,2.25,10.0,137.5,183985.0,135.25
forks,38.0,1514.2631578947369,7555.529851326221,0.0,0.0,5.5,77.75,46243.0,77.75
health_percentage,38.0,51.26315789473684,23.6548197597506,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,38.0,1.8421052631578947,1.078695803861704,1.0,1.0,1.5,2.0,5.0,1.0
bus_factor_no_bots,38.0,1.8421052631578947,0.9733285267845754,1.0,1.0,2.0,2.0,4.0,1.0
burstiness_cv,5.0,0.68,0.36448593937215185,0.32,0.45,0.52,0.91,1.2,0.46
elephant_factor,38.0,1.1578947368421053,0.36953702147663203,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,38.0,1.1578947368421053,0.36953702147663203,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,38.0,6954.415789473685,2526.0414666222932,2092.0,5063.675,6340.35,9374.9,10000.0,4311.224999999999
hhi_no_bots,38.0,5057.792105263158,3001.584803686175,1058.6,2722.5,4402.6,6981.5,10000.0,4259.0
hhi_known_orgs_only,35.0,7547.959999999999,2385.497178811504,2636.8,5455.9,8024.7,10000.0,10000.0,4544.1
stale_issue_ratio,27.0,0.8211259259259259,0.26188648831799777,0.0,0.7164999999999999,0.9692,1.0,1.0,0.2835000000000001
change_request_acceptance_ratio,37.0,0.7750621621621622,0.1777681485520948,0.2222,0.75,0.8186,0.8824,1.0,0.13239999999999996
median_time_to_first_response_issues_hours,25.0,413.0319999999999,1457.5424146830171,0.0,9.9,24.8,59.2,7300.3,49.300000000000004
median_time_to_first_response_prs_hours,30.0,25.673333333333336,70.86296116002927,0.0,0.475,3.3,18.725,384.6,18.25
median_pr_review_turnaround_hours,30.0,44.836666666666666,164.45552481956378,0.0,0.625,3.1,20.474999999999998,902.0,19.849999999999998
avg_review_comments_per_pr,37.0,0.3456756756756757,0.5881824194572279,0.0,0.02,0.21,0.46,3.48,0.44
core_contributor_count,38.0,2.6315789473684212,3.044010979768341,0.0,0.25,1.0,4.0,13.0,3.75
periphery_contributor_count,38.0,4.868421052631579,4.021368952279262,0.0,2.25,4.0,7.0,16.0,4.75
network_density,30.0,0.3952133333333334,0.2017349075384333,0.1263,0.22915,0.3758,0.491075,1.0,0.26192499999999996
bot_contributor_count,38.0,1.3421052631578947,1.2363047772024958,0.0,0.0,1.0,2.0,4.0,2.0
bot_commit_count,38.0,230.52631578947367,944.9384003044028,0.0,0.0,17.0,91.0,5826.0,91.0
unknown_org_contributor_count,38.0,11.526315789473685,18.31811515458129,0.0,2.0,4.5,10.5,76.0,8.5
