comparison,metric,group_a_n,group_b_n,group_a_median,group_b_median,U_statistic,p_value,cliffs_delta,effect_magnitude
CI/CD vs No CI/CD,bus_factor,32,6,2.0,1.0,123.0,0.2498,0.2812,small
CI/CD vs No CI/CD,bus_factor_no_bots,32,6,2.0,1.0,127.0,0.1894,0.3229,small
CI/CD vs No CI/CD,stale_issue_ratio,24,3,0.9644,1.0,24.0,0.3583,-0.3333,medium
CI/CD vs No CI/CD,health_percentage,32,6,50.0,37.0,137.5,0.0939,0.4323,medium
CI/CD vs No CI/CD,num_developers,32,6,14.5,4.5,146.0,0.0472,0.5208,large
CI/CD vs No CI/CD,total_commits,32,6,1342.0,117.5,146.0,0.0455,0.5208,large
Cloud vs No Cloud,total_commits,28,10,1433.5,334.5,179.0,0.2019,0.2786,small
Cloud vs No Cloud,num_developers,28,10,11.0,14.5,156.5,0.5954,0.1179,negligible
Cloud vs No Cloud,bus_factor_no_bots,28,10,2.0,1.0,175.0,0.219,0.25,small
Cloud vs No Cloud,health_percentage,28,10,50.0,46.0,161.0,0.488,0.15,small
Cloud vs No Cloud,hhi_no_bots,28,10,4035.45,5374.4,106.0,0.2663,-0.2429,small
AI/ML vs No AI/ML,num_developers,4,34,134.0,11.0,78.0,0.651,0.1471,small
AI/ML vs No AI/ML,bus_factor_no_bots,4,34,1.0,2.0,55.5,0.5396,-0.1838,small
AI/ML vs No AI/ML,health_percentage,4,34,39.5,50.0,63.5,0.846,-0.0662,negligible
OSI License vs No License,health_percentage,12,26,50.0,50.0,190.0,0.283,0.2179,small
OSI License vs No License,num_developers,12,26,10.0,13.5,140.0,0.626,-0.1026,negligible
OSI License vs No License,bus_factor_no_bots,12,26,2.0,1.5,167.5,0.7104,0.0737,negligible
OSI License vs No License,stars,12,26,22.5,9.0,154.5,0.9749,-0.0096,negligible
OSI License vs No License,forks,12,26,5.5,5.5,141.5,0.6561,-0.0929,negligible
