,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.487,0.5695,0.5269,0.5601,0.2971,0.3344,0.3152,-0.3312,-0.3237,0.3344,0.2381,-0.0542,0.0962,0.2829,0.068,0.0558
num_developers,0.487,1.0,0.8003,0.7473,0.7462,0.471,0.5244,-0.2376,-0.4011,-0.6375,-0.4128,0.572,0.0922,-0.3,-0.2141,0.634,-0.2402
total_commits,0.5695,0.8003,1.0,0.6997,0.7307,0.2551,0.3131,-0.1289,-0.2429,-0.3947,-0.2617,0.4273,-0.0804,-0.5108,-0.071,0.2846,0.1171
stars,0.5269,0.7473,0.6997,1.0,0.94,0.1485,0.1773,-0.169,-0.1204,-0.3215,-0.3582,0.5521,-0.1342,-0.3739,-0.0221,0.3379,-0.1287
forks,0.5601,0.7462,0.7307,0.94,1.0,0.1552,0.1884,-0.1064,-0.1441,-0.3131,-0.4131,0.5249,-0.0801,-0.3803,-0.0695,0.3284,-0.1322
bus_factor,0.2971,0.471,0.2551,0.1485,0.1552,1.0,0.9641,-0.0505,-0.5263,-0.8686,-0.1314,0.1343,0.1734,0.0193,-0.1141,0.5636,-0.3253
bus_factor_no_bots,0.3344,0.5244,0.3131,0.1773,0.1884,0.9641,1.0,-0.0551,-0.5133,-0.9136,-0.1421,0.2021,0.1763,0.0024,-0.0313,0.5743,-0.3246
burstiness_cv,0.3152,-0.2376,-0.1289,-0.169,-0.1064,-0.0505,-0.0551,1.0,-0.0532,0.1091,0.4325,-0.383,-0.1497,0.4025,0.2477,-0.3344,0.2067
herfindahl_hirschman_index,-0.3312,-0.4011,-0.2429,-0.1204,-0.1441,-0.5263,-0.5133,-0.0532,1.0,0.6321,0.163,-0.3283,-0.1132,-0.1338,-0.0902,-0.5355,0.1385
hhi_no_bots,-0.3237,-0.6375,-0.3947,-0.3215,-0.3131,-0.8686,-0.9136,0.1091,0.6321,1.0,0.3504,-0.2767,-0.169,0.1269,0.0456,-0.6239,0.2471
stale_issue_ratio,0.3344,-0.4128,-0.2617,-0.3582,-0.4131,-0.1314,-0.1421,0.4325,0.163,0.3504,1.0,-0.4029,-0.1669,0.4225,0.515,-0.3499,0.2246
health_percentage,0.2381,0.572,0.4273,0.5521,0.5249,0.1343,0.2021,-0.383,-0.3283,-0.2767,-0.4029,1.0,0.0974,-0.2182,0.0245,0.5204,-0.3514
change_request_acceptance_ratio,-0.0542,0.0922,-0.0804,-0.1342,-0.0801,0.1734,0.1763,-0.1497,-0.1132,-0.169,-0.1669,0.0974,1.0,-0.2115,-0.425,0.2352,-0.1328
median_time_to_first_response_issues_hours,0.0962,-0.3,-0.5108,-0.3739,-0.3803,0.0193,0.0024,0.4025,-0.1338,0.1269,0.4225,-0.2182,-0.2115,1.0,0.412,0.1432,-0.0156
median_pr_review_turnaround_hours,0.2829,-0.2141,-0.071,-0.0221,-0.0695,-0.1141,-0.0313,0.2477,-0.0902,0.0456,0.515,0.0245,-0.425,0.412,1.0,-0.3136,0.4331
core_contributor_count,0.068,0.634,0.2846,0.3379,0.3284,0.5636,0.5743,-0.3344,-0.5355,-0.6239,-0.3499,0.5204,0.2352,0.1432,-0.3136,1.0,-0.6808
network_density,0.0558,-0.2402,0.1171,-0.1287,-0.1322,-0.3253,-0.3246,0.2067,0.1385,0.2471,0.2246,-0.3514,-0.1328,-0.0156,0.4331,-0.6808,1.0
