,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,0.001931,0.00019,0.000677,0.000255,0.070051,0.040195,0.053907,0.042239,0.047428,0.088245,0.150025,0.75012,0.647515,0.129799,0.685158,0.769781
num_developers,0.001931,0.0,0.0,0.0,0.0,0.002841,0.000726,0.150834,0.01257,1.7e-05,0.032379,0.000176,0.587205,0.145086,0.255863,1.9e-05,0.200996
total_commits,0.00019,0.0,0.0,1e-06,0.0,0.122169,0.055639,0.44045,0.141645,0.014201,0.187324,0.007462,0.636275,0.009079,0.709247,0.083284,0.537738
stars,0.000677,0.0,1e-06,0.0,0.0,0.373514,0.286943,0.310318,0.471623,0.049048,0.066572,0.000327,0.428335,0.065575,0.90791,0.037992,0.497959
forks,0.000255,0.0,0.0,0.0,0.0,0.352102,0.257362,0.525071,0.388159,0.055623,0.032204,0.000717,0.637249,0.060768,0.715331,0.044143,0.486151
bus_factor,0.070051,0.002841,0.122169,0.373514,0.352102,0.0,0.0,0.763244,0.000689,0.0,0.513427,0.421479,0.304847,0.927202,0.548153,0.000229,0.079371
bus_factor_no_bots,0.040195,0.000726,0.055639,0.286943,0.257362,0.0,0.0,0.742436,0.000982,0.0,0.479471,0.223748,0.296624,0.990773,0.869554,0.000163,0.080083
burstiness_cv,0.053907,0.150834,0.44045,0.310318,0.525071,0.763244,0.742436,0.0,0.751157,0.514283,0.024256,0.017639,0.376514,0.046092,0.18689,0.040198,0.273073
herfindahl_hirschman_index,0.042239,0.01257,0.141645,0.471623,0.388159,0.000689,0.000982,0.751157,0.0,2.1e-05,0.416553,0.044198,0.504587,0.523572,0.635672,0.000531,0.46543
hhi_no_bots,0.047428,1.7e-05,0.014201,0.049048,0.055623,0.0,0.0,0.514283,2.1e-05,0.0,0.073158,0.092626,0.317236,0.545459,0.810765,2.8e-05,0.187974
stale_issue_ratio,0.088245,0.032379,0.187324,0.066572,0.032204,0.513427,0.479471,0.024256,0.416553,0.073158,0.0,0.037195,0.405453,0.039722,0.016899,0.073627,0.327662
health_percentage,0.150025,0.000176,0.007462,0.000327,0.000717,0.421479,0.223748,0.017639,0.044198,0.092626,0.037195,0.0,0.566117,0.294779,0.897748,0.00081,0.056856
change_request_acceptance_ratio,0.75012,0.587205,0.636275,0.428335,0.637249,0.304847,0.296624,0.376514,0.504587,0.317236,0.405453,0.566117,0.0,0.310063,0.019232,0.16121,0.484074
median_time_to_first_response_issues_hours,0.647515,0.145086,0.009079,0.065575,0.060768,0.927202,0.990773,0.046092,0.523572,0.545459,0.039722,0.294779,0.310063,0.0,0.06351,0.494643,0.946335
median_pr_review_turnaround_hours,0.129799,0.255863,0.709247,0.90791,0.715331,0.548153,0.869554,0.18689,0.635672,0.810765,0.016899,0.897748,0.019232,0.06351,0.0,0.091522,0.016831
core_contributor_count,0.685158,1.9e-05,0.083284,0.037992,0.044143,0.000229,0.000163,0.040198,0.000531,2.8e-05,0.073627,0.00081,0.16121,0.494643,0.091522,0.0,3.5e-05
network_density,0.769781,0.200996,0.537738,0.497959,0.486151,0.079371,0.080083,0.273073,0.46543,0.187974,0.327662,0.056856,0.484074,0.946335,0.016831,3.5e-05,0.0
