repo_full_name,pr_count_total,pr_count_merged,pr_count_open,pr_count_closed_unmerged,tag_count,release_count
DemocracyClub/UK-Polling-Stations,5536,4178,21,1337,0,0
DemocracyClub/WhoCanIVoteFor,1961,973,17,971,0,0
fvialibre/edia,4,3,1,0,0,0
luftdata/luftdata.se,14,14,0,0,0,0
CodeForAfrica/PromiseTracker,497,386,4,107,2,1
CodeForAfrica/academy.AFRICA,9,2,6,1,0,0
CodeForAfrica/Dominion.AFRICA,109,91,4,14,10,1
CodeForAfrica/GenderGap.AFRICA,44,38,2,4,0,0
CodeForAfrica/openAFRICA,17,15,0,2,3,1
CodeForAfrica/outbreak.AFRICA,164,151,3,10,0,0
CodeForAfrica/ui,992,823,9,160,0,0
CodeForAfrica/sensors.AFRICA,300,229,11,60,6,1
codeforamerica/form-flow,1182,978,7,197,105,105
codeforamerica/vita-min,6294,5314,10,970,976,930
codeforamerica/tofu-modules-aws-serverless-database,37,36,0,1,11,11
codeforamerica/tax-benefits-backend,200,186,0,14,0,0
codeforamerica/pya,324,234,11,79,36,36
codeforamerica/honeycrisp-gem,236,190,11,35,48,0
codeforamerica/asap_pdf,416,297,11,108,0,0
codeforamerica/cmr-maryland-eligibility-determination,19,19,0,0,0,0
codeforamerica/document-transfer-service,16,12,1,3,0,0
markov-root/atlas,3,1,2,0,0,0
fvialibre/heseia-sentence-bias-dataset,0,0,0,0,0,0
codeforjapan/BirdXplorer,130,126,1,3,0,0
meshtastic/Meshtastic-Android,3788,3503,18,267,354,263
meshtastic/web,612,501,7,104,13,12
meshtastic/firmware,6294,5177,188,929,323,258
civiform/civiform,8744,7795,57,892,157,157
iiab/iiab,2784,2414,20,350,96,94
ForumMagnum/ForumMagnum,10806,10006,195,605,52,4
Significant-Gravitas/AutoGPT,7910,4344,146,3420,104,102
mastodon/mastodon,23587,19725,188,3674,343,333
okfde/froide,826,584,18,224,4,0
openplans/shareabouts,121,93,3,25,114,89
codeforamerica/recordtrac,49,29,0,20,0,0
CodeForAfrica/actNOW,1158,907,6,245,0,0
CitizensFoundation/your-priorities-app,299,125,46,128,29,29
mysociety/ceuk-marking,121,98,1,22,0,0
