repo_full_name,active_weeks,total_added,total_removed,net_loc_delta,overall_churn_ratio,mean_weekly_churn,median_weekly_churn,deletion_heavy_weeks_pct
DemocracyClub/UK-Polling-Stations,414,6297037,9733304,-3436267,0.607,0.437,0.428,29.5
codeforamerica/recordtrac,89,333219,366883,-33664,0.524,0.42,0.418,20.2
CodeForAfrica/sensors.AFRICA,118,388122,403490,-15368,0.51,0.403,0.441,22.9
CitizensFoundation/your-priorities-app,61,1799276,1692923,106353,0.485,0.401,0.467,11.5
CodeForAfrica/GenderGap.AFRICA,53,88041,80564,7477,0.478,0.384,0.44,15.1
codeforamerica/asap_pdf,39,164890,149035,15855,0.475,0.355,0.353,15.4
CodeForAfrica/Dominion.AFRICA,52,107875,89352,18523,0.453,0.454,0.5,19.2
fvialibre/heseia-sentence-bias-dataset,3,80245,65781,14464,0.45,0.453,0.5,33.3
fvialibre/edia,18,27091,20626,6465,0.432,0.251,0.225,5.6
Significant-Gravitas/AutoGPT,159,6097799,4620368,1477431,0.431,0.316,0.282,11.9
DemocracyClub/WhoCanIVoteFor,351,243578,176326,67252,0.42,0.354,0.339,14.8
openplans/shareabouts,210,315302,225223,90079,0.417,0.352,0.333,13.8
meshtastic/Meshtastic-Android,4,50262,35763,14499,0.416,0.424,0.437,25.0
okfde/froide,591,1175594,817680,357914,0.41,0.359,0.375,11.5
CodeForAfrica/ui,197,5377142,3666593,1710549,0.405,0.376,0.385,17.8
ForumMagnum/ForumMagnum,692,20425184,13415413,7009771,0.396,0.366,0.344,14.3
meshtastic/web,177,656033,428841,227192,0.395,0.395,0.418,16.4
CodeForAfrica/outbreak.AFRICA,60,176999,115284,61715,0.394,0.44,0.5,26.7
codeforamerica/honeycrisp-gem,96,53097,33807,19290,0.389,0.332,0.338,13.5
CodeForAfrica/openAFRICA,50,5839,3725,2114,0.389,0.328,0.333,8.0
meshtastic/firmware,19,316495,192675,123820,0.378,0.2,0.181,0.0
iiab/iiab,387,339972,200139,139833,0.371,0.378,0.406,7.2
codeforamerica/form-flow,165,69728,34302,35426,0.33,0.367,0.419,5.5
mastodon/mastodon,511,1893129,917197,975932,0.326,0.34,0.337,8.2
civiform/civiform,20,69865,29564,40301,0.297,0.322,0.295,10.0
CodeForAfrica/academy.AFRICA,63,102260,40970,61290,0.286,0.302,0.272,9.5
codeforamerica/vita-min,326,1486650,553139,933511,0.271,0.31,0.27,11.3
CodeForAfrica/PromiseTracker,29,159584,59035,100549,0.27,0.293,0.314,6.9
codeforamerica/pya,41,19207,7056,12151,0.269,0.371,0.442,9.8
CodeForAfrica/actNOW,207,15591,5284,10307,0.253,0.475,0.5,1.0
codeforamerica/cmr-maryland-eligibility-determination,8,3621,1156,2465,0.242,0.294,0.348,0.0
codeforamerica/tax-benefits-backend,60,10895,3176,7719,0.226,0.227,0.213,1.7
markov-root/atlas,8,24925,6643,18282,0.21,0.309,0.337,12.5
mysociety/ceuk-marking,109,62746,14454,48292,0.187,0.204,0.136,6.4
codeforjapan/BirdXplorer,85,87107,19743,67364,0.185,0.194,0.149,4.7
codeforamerica/tofu-modules-aws-serverless-database,15,2849,440,2409,0.134,0.2,0.239,6.7
codeforamerica/document-transfer-service,9,7810,838,6972,0.097,0.146,0.103,0.0
luftdata/luftdata.se,42,14648,1058,13590,0.067,0.357,0.377,14.3
