repo_full_name,contributors,total_commits,effort_gini_lines,effort_gini_commits,top1_lines_share,top1_contributor
Significant-Gravitas/AutoGPT,799,8476,0.99,0.878,0.229,waynehamadi
mastodon/mastodon,1049,21215,0.98,0.919,0.438,Gargron
ForumMagnum/ForumMagnum,325,52222,0.97,0.952,0.241,jimrandomh
meshtastic/firmware,84,800,0.955,0.761,0.641,Jorropo
meshtastic/web,74,1515,0.948,0.875,0.433,danditomaso
okfde/froide,43,7888,0.945,0.949,0.797,stefanw
DemocracyClub/UK-Polling-Stations,35,8767,0.92,0.823,0.515,symroe
iiab/iiab,41,12100,0.899,0.915,0.7,holta
DemocracyClub/WhoCanIVoteFor,33,3521,0.889,0.822,0.557,symroe
meshtastic/Meshtastic-Android,9,200,0.883,0.756,0.987,jamesarich
openplans/shareabouts,22,1956,0.857,0.815,0.398,mjumbewu
codeforamerica/recordtrac,26,2570,0.845,0.867,0.345,criscristina
codeforamerica/honeycrisp-gem,38,415,0.83,0.641,0.463,hartsick
codeforamerica/vita-min,66,7232,0.824,0.71,0.285,bytheway875
CodeForAfrica/sensors.AFRICA,24,1272,0.811,0.782,0.387,kilemensi
CodeForAfrica/ui,25,10966,0.799,0.768,0.256,kilemensi
CodeForAfrica/outbreak.AFRICA,12,1352,0.774,0.731,0.565,kilemensi
codeforjapan/BirdXplorer,9,711,0.738,0.588,0.584,yu23ki14
mysociety/ceuk-marking,5,674,0.703,0.732,0.841,struan
CodeForAfrica/PromiseTracker,5,430,0.702,0.739,0.838,kelvinkipruto
codeforamerica/pya,9,258,0.698,0.562,0.473,DrewProebstel
codeforamerica/form-flow,19,1332,0.693,0.687,0.261,cram-cfa
CodeForAfrica/GenderGap.AFRICA,13,254,0.687,0.532,0.507,DavidLemayian
luftdata/luftdata.se,4,206,0.676,0.529,0.876,ebner
markov-root/atlas,3,48,0.666,0.625,1.0,git@xfe.li
fvialibre/edia,4,81,0.643,0.571,0.789,LMartinezEXEX
civiform/civiform,17,600,0.635,0.673,0.355,gwendolyngoetz
codeforamerica/tax-benefits-backend,11,189,0.632,0.451,0.546,jamesiarmes
CodeForAfrica/openAFRICA,8,154,0.628,0.58,0.46,thepsalmist
CodeForAfrica/academy.AFRICA,5,702,0.61,0.585,0.534,kelvinkipruto
codeforamerica/asap_pdf,5,603,0.604,0.496,0.53,lkacenja
CodeForAfrica/Dominion.AFRICA,8,574,0.569,0.478,0.352,kilemensi
codeforamerica/tofu-modules-aws-serverless-database,3,40,0.547,0.45,0.852,jamesiarmes
CodeForAfrica/actNOW,5,2111,0.414,0.498,0.463,kilemensi
CitizensFoundation/your-priorities-app,1,800,0.0,0.0,1.0,rbjarnason
codeforamerica/document-transfer-service,1,13,0.0,0.0,1.0,jamesiarmes
codeforamerica/cmr-maryland-eligibility-determination,1,49,0.0,0.0,1.0,victorSauceda
fvialibre/heseia-sentence-bias-dataset,1,9,0.0,0.0,1.0,guidoivetta
