repo_full_name,weeks_with_activity,mean_top_share,median_top_share,elephant_weeks_pct,single_contributor_weeks_pct,solo_weeks_pct
CitizensFoundation/your-priorities-app,61,1.0,1.0,100.0,100.0,100.0
codeforamerica/cmr-maryland-eligibility-determination,8,1.0,1.0,100.0,100.0,100.0
codeforamerica/document-transfer-service,9,1.0,1.0,100.0,100.0,100.0
fvialibre/heseia-sentence-bias-dataset,3,1.0,1.0,100.0,100.0,100.0
markov-root/atlas,8,0.998,1.0,100.0,87.5,75.0
CodeForAfrica/openAFRICA,50,0.974,1.0,100.0,88.0,88.0
mysociety/ceuk-marking,109,0.958,1.0,99.1,79.8,79.8
CodeForAfrica/PromiseTracker,29,0.95,1.0,100.0,65.5,65.5
okfde/froide,591,0.949,1.0,98.5,73.1,72.4
fvialibre/edia,18,0.929,1.0,100.0,72.2,61.1
luftdata/luftdata.se,42,0.922,1.0,97.6,81.0,81.0
meshtastic/Meshtastic-Android,4,0.921,0.97,100.0,0.0,0.0
codeforamerica/asap_pdf,39,0.919,0.981,94.9,35.9,33.3
openplans/shareabouts,210,0.917,1.0,97.6,68.1,66.7
codeforjapan/BirdXplorer,85,0.914,1.0,96.5,65.9,65.9
CodeForAfrica/GenderGap.AFRICA,53,0.914,1.0,98.1,67.9,67.9
meshtastic/web,177,0.909,1.0,96.6,52.5,48.6
codeforamerica/tax-benefits-backend,60,0.904,1.0,95.0,65.0,65.0
codeforamerica/tofu-modules-aws-serverless-database,15,0.895,0.98,100.0,40.0,40.0
codeforamerica/pya,41,0.894,1.0,95.1,53.7,51.2
CodeForAfrica/Dominion.AFRICA,52,0.889,1.0,98.1,51.9,51.9
DemocracyClub/WhoCanIVoteFor,351,0.882,0.994,95.7,47.3,45.9
codeforamerica/honeycrisp-gem,96,0.873,0.986,99.0,46.9,45.8
iiab/iiab,387,0.869,0.964,97.4,39.0,39.0
CodeForAfrica/academy.AFRICA,63,0.867,0.984,100.0,46.0,44.4
DemocracyClub/UK-Polling-Stations,414,0.826,0.894,94.4,28.5,26.6
codeforamerica/form-flow,165,0.807,0.857,90.9,24.2,24.2
CodeForAfrica/sensors.AFRICA,118,0.804,0.895,96.6,34.7,32.2
codeforamerica/recordtrac,89,0.799,0.912,88.8,36.0,36.0
CodeForAfrica/outbreak.AFRICA,60,0.773,0.837,95.0,35.0,35.0
CodeForAfrica/ui,197,0.717,0.711,81.7,15.7,15.7
ForumMagnum/ForumMagnum,692,0.668,0.649,70.5,9.7,9.2
mastodon/mastodon,511,0.621,0.609,63.4,4.5,4.3
CodeForAfrica/actNOW,207,0.614,0.529,95.2,10.1,10.1
Significant-Gravitas/AutoGPT,159,0.601,0.527,57.2,3.1,3.1
meshtastic/firmware,19,0.581,0.536,63.2,0.0,0.0
codeforamerica/vita-min,326,0.554,0.506,50.6,3.1,3.1
civiform/civiform,20,0.535,0.516,55.0,5.0,5.0
