repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
DemocracyClub/UK-Polling-Stations,mvl22,Martin,1,6,1,6.0,1.0,False
DemocracyClub/UK-Polling-Stations,malcolmmoyes,,1,125,13,125.0,13.0,False
DemocracyClub/UK-Polling-Stations,greenkeeper[bot],,1,1,1,1.0,1.0,True
DemocracyClub/UK-Polling-Stations,EdwardBetts,Edward Betts,1,8,8,8.0,8.0,False
DemocracyClub/UK-Polling-Stations,maxbachmann,Max Bachmann,1,6,5,6.0,5.0,False
DemocracyClub/UK-Polling-Stations,BobHarper1,Bob Harper,1,29,5,29.0,5.0,False
DemocracyClub/UK-Polling-Stations,KateSeary,,1,16,0,16.0,0.0,False
DemocracyClub/UK-Polling-Stations,zuzak,Douglas Gardner,1,1,1,1.0,1.0,False
DemocracyClub/UK-Polling-Stations,michaeljcollinsuk,Michael Collins,1,123,59,123.0,59.0,False
DemocracyClub/UK-Polling-Stations,waffle-iron,Making GitHub Delicious.,1,1,0,1.0,0.0,False
DemocracyClub/UK-Polling-Stations,dracos,M Somerville,1,1,1,1.0,1.0,False
DemocracyClub/UK-Polling-Stations,transifex-integration[bot],,3,204,343,68.0,114.33,True
DemocracyClub/UK-Polling-Stations,hishivshah,Hishiv Shah,4,235,0,58.75,0.0,False
DemocracyClub/UK-Polling-Stations,dependabot-preview[bot],,5,264,176,52.8,35.2,True
DemocracyClub/UK-Polling-Stations,ashb,Ash Berlin-Taylor,6,47,23021,7.83,3836.83,False
DemocracyClub/UK-Polling-Stations,dependabot-support,,6,361,24,60.17,4.0,True
DemocracyClub/UK-Polling-Stations,mtravis,Matt Travis,7,196,42,28.0,6.0,False
DemocracyClub/UK-Polling-Stations,andylolz,Andy Lulham,7,59,69,8.43,9.86,False
DemocracyClub/UK-Polling-Stations,tfgg,Tim Green,7,201,49,28.71,7.0,False
DemocracyClub/UK-Polling-Stations,pmk01,Peter Keeling,10,69,54,6.9,5.4,False
DemocracyClub/UK-Polling-Stations,Bekabyx,Rebeka Lewis Smith,20,1881,1559,94.05,77.95,False
DemocracyClub/UK-Polling-Stations,blacktyger,`blacktyger,47,1394,452,29.66,9.62,False
DemocracyClub/UK-Polling-Stations,JoeMitchell,Joe Mitchell,86,3011665,14,35019.36,0.16,False
DemocracyClub/UK-Polling-Stations,VirginiaDooley,Virginia Dooley,132,7075,4895,53.6,37.08,False
DemocracyClub/UK-Polling-Stations,alexdutton,Alex Dutton,137,7014,4143,51.2,30.24,False
DemocracyClub/UK-Polling-Stations,pyup-bot,pyup.io bot,142,144,142,1.01,1.0,True
DemocracyClub/UK-Polling-Stations,davidmiller,David Miller,175,208252,92320,1190.01,527.54,False
DemocracyClub/UK-Polling-Stations,smsmith97,,219,7025,6376,32.08,29.11,False
DemocracyClub/UK-Polling-Stations,awdem,Will de Montmollin,221,3503,847,15.85,3.83,False
DemocracyClub/UK-Polling-Stations,dependabot[bot],,312,1289,2550,4.13,8.17,True
DemocracyClub/UK-Polling-Stations,symroe,Sym Roe,468,627199,1092770,1340.17,2334.98,False
DemocracyClub/UK-Polling-Stations,GeoWill,Will Roper,1284,171959,66033,133.92,51.43,False
DemocracyClub/UK-Polling-Stations,polling-bot-4000,,1485,24460,29133,16.47,19.62,True
DemocracyClub/UK-Polling-Stations,chris48s,,2042,57943,73280,28.38,35.89,False
DemocracyClub/WhoCanIVoteFor,waffle-iron,Making GitHub Delicious.,1,1,0,1.0,0.0,False
DemocracyClub/WhoCanIVoteFor,edjw,Ed Johnson-Williams,1,4,0,4.0,0.0,False
DemocracyClub/WhoCanIVoteFor,issyl0,Issy Long,1,1,1,1.0,1.0,False
DemocracyClub/WhoCanIVoteFor,KateSeary,,1,9,9,9.0,9.0,False
DemocracyClub/WhoCanIVoteFor,h2g2bob,h2g2bob,1,1,1,1.0,1.0,False
DemocracyClub/WhoCanIVoteFor,danjordan,Dan Jordan,1,1,1,1.0,1.0,False
DemocracyClub/WhoCanIVoteFor,transifex-integration[bot],,1,517,371,517.0,371.0,True
DemocracyClub/WhoCanIVoteFor,jussiheinonen,Jussi Heinonen,1,1,1,1.0,1.0,False
DemocracyClub/WhoCanIVoteFor,malcomio,Malcolm Young,1,2,2,2.0,2.0,False
DemocracyClub/WhoCanIVoteFor,davidwyld,David Wyld (né Wilby),1,5,5,5.0,5.0,False
DemocracyClub/WhoCanIVoteFor,hugovk,Hugo van Kemenade,2,1,8,0.5,4.0,False
DemocracyClub/WhoCanIVoteFor,JoeMitchell,Joe Mitchell,7,9,11,1.29,1.57,False
DemocracyClub/WhoCanIVoteFor,BobHarper1,Bob Harper,9,49,30,5.44,3.33,False
DemocracyClub/WhoCanIVoteFor,andylolz,Andy Lulham,13,48,22,3.69,1.69,False
DemocracyClub/WhoCanIVoteFor,pmk01,Peter Keeling,15,50,27,3.33,1.8,False
DemocracyClub/WhoCanIVoteFor,davidmiller,David Miller,20,744,86,37.2,4.3,False
DemocracyClub/WhoCanIVoteFor,tfgg,Tim Green,22,837,8216,38.05,373.45,False
DemocracyClub/WhoCanIVoteFor,dependabot-preview[bot],,24,34,34,1.42,1.42,True
DemocracyClub/WhoCanIVoteFor,GeoWill,Will Roper,26,1088,484,41.85,18.62,False
DemocracyClub/WhoCanIVoteFor,dependabot-support,,32,32,32,1.0,1.0,True
DemocracyClub/WhoCanIVoteFor,mrwilson,Alex Wilson,39,443,162,11.36,4.15,False
DemocracyClub/WhoCanIVoteFor,Bekabyx,Rebeka Lewis Smith,66,2967,1439,44.95,21.8,False
DemocracyClub/WhoCanIVoteFor,annapowellsmith,Anna Powell-Smith,70,2366,386,33.8,5.51,False
DemocracyClub/WhoCanIVoteFor,awdem,Will de Montmollin,90,1487,611,16.52,6.79,False
DemocracyClub/WhoCanIVoteFor,dependabot[bot],,93,93,93,1.0,1.0,True
DemocracyClub/WhoCanIVoteFor,chris48s,,224,17034,11559,76.04,51.6,False
DemocracyClub/WhoCanIVoteFor,michaeljcollinsuk,Michael Collins,348,12524,2844,35.99,8.17,False
DemocracyClub/WhoCanIVoteFor,VirginiaDooley,Virginia Dooley,530,26067,23909,49.18,45.11,False
DemocracyClub/WhoCanIVoteFor,symroe,Sym Roe,910,95094,63222,104.5,69.47,False
fvialibre/edia,fvialibre,Fundación Vía Libre,1,2,2,2.0,2.0,False
fvialibre/edia,nanom,Hernán J. Maina,22,1197,1128,54.41,51.27,False
fvialibre/edia,LMartinezEXEX,Lautaro Martinez,55,29999,16759,545.44,304.71,False
luftdata/luftdata.se,christopherkullenberg,Christopher Kullenberg,7,168,90,24.0,12.86,False
