repo_full_name,total_contributors,bot_contributors,human_contributors,bot_commit_pct,bus_factor,bus_factor_no_bots,hhi,hhi_no_bots,hhi_known_orgs_only
DemocracyClub/UK-Polling-Stations,34,7,27,28.6,2,2,4632.0,2606.1,8169.7
DemocracyClub/WhoCanIVoteFor,29,4,25,5.9,2,2,7514.8,2259.1,5055.2
fvialibre/edia,3,0,3,0.0,1,1,5950.0,5769.2,10000.0
luftdata/luftdata.se,4,0,4,0.0,1,1,5491.4,5491.4,6038.2
CodeForAfrica/PromiseTracker,5,2,3,2.3,1,1,9423.7,9423.7,8024.7
CodeForAfrica/academy.AFRICA,4,0,4,0.0,1,1,5010.2,5010.2,9862.8
CodeForAfrica/Dominion.AFRICA,7,1,6,6.1,2,2,4161.1,2400.9,4560.1
CodeForAfrica/GenderGap.AFRICA,11,1,10,8.4,2,2,2617.9,2555.8,3536.0
CodeForAfrica/openAFRICA,7,0,7,0.0,2,2,3316.0,3033.1,4632.8
CodeForAfrica/outbreak.AFRICA,11,2,9,2.3,2,2,3443.2,3279.4,5247.3
CodeForAfrica/ui,18,4,14,1.9,2,2,2987.1,2114.9,3864.0
CodeForAfrica/sensors.AFRICA,19,3,16,4.1,2,2,3566.3,3450.7,4402.0
codeforamerica/form-flow,21,3,18,36.9,3,3,2950.4,1614.7,3248.9
codeforamerica/vita-min,51,3,48,5.2,5,5,5081.1,822.3,2435.5
codeforamerica/tofu-modules-aws-serverless-database,3,1,2,27.5,1,1,9334.1,9334.1,10000.0
codeforamerica/tax-benefits-backend,9,0,9,0.0,3,3,6222.7,1478.7,10000.0
codeforamerica/pya,9,1,8,24.6,2,2,9684.3,2464.2,10000.0
codeforamerica/honeycrisp-gem,34,1,33,6.6,4,3,4570.7,1139.9,4858.7
codeforamerica/asap_pdf,4,1,3,18.1,1,1,5423.4,5044.4,10000.0
codeforamerica/cmr-maryland-eligibility-determination,1,0,1,0.0,1,1,10000.0,10000.0,
codeforamerica/document-transfer-service,1,0,1,0.0,1,1,10000.0,10000.0,10000.0
markov-root/atlas,2,0,2,0.0,1,1,8347.1,8347.1,10000.0
fvialibre/heseia-sentence-bias-dataset,1,0,1,0.0,1,1,10000.0,10000.0,
codeforjapan/BirdXplorer,10,2,8,2.5,2,2,6768.0,2095.9,4734.2
meshtastic/Meshtastic-Android,100,5,95,17.3,2,2,2891.4,2370.6,3611.1
meshtastic/web,72,3,69,4.5,2,2,9351.1,2115.7,2162.5
meshtastic/firmware,100,3,97,5.9,3,3,5684.5,1324.5,5102.5
civiform/civiform,97,5,92,37.5,5,11,6899.9,454.5,2360.2
iiab/iiab,27,0,27,0.0,1,1,5908.6,5543.9,9002.3
