var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
num_developers,total_commits,0.8485,0.0,29,True,True
bus_factor_no_bots,hhi_no_bots,-0.9348,0.0,29,True,True
num_developers,hhi_no_bots,-0.7978,0.0,29,True,True
bus_factor,hhi_no_bots,-0.9354,0.0,29,True,True
bus_factor,bus_factor_no_bots,0.999,0.0,29,True,True
stars,forks,0.9001,0.0,29,True,True
num_developers,bus_factor_no_bots,0.7731,1e-06,29,True,True
num_developers,bus_factor,0.774,1e-06,29,True,True
core_contributor_count,network_density,-0.792,4e-06,24,True,True
num_developers,forks,0.7151,1.3e-05,29,True,True
num_developers,stars,0.7053,1.9e-05,29,True,True
total_commits,forks,0.6563,0.000111,29,True,True
bus_factor,core_contributor_count,0.6558,0.000112,29,True,True
bus_factor_no_bots,core_contributor_count,0.6533,0.000122,29,True,True
total_commits,burstiness_cv,-0.6476,0.000195,28,True,True
num_developers,burstiness_cv,-0.6371,0.000266,28,True,True
total_commits,hhi_no_bots,-0.6018,0.000554,29,True,True
forks,health_percentage,0.5984,0.000606,29,True,True
total_commits,stars,0.5951,0.000661,29,True,True
num_developers,health_percentage,0.5926,0.000706,29,True,True
stars,health_percentage,0.5827,0.00091,29,True,True
age_years,num_developers,0.5677,0.001317,29,True,True
stars,burstiness_cv,-0.5721,0.001467,28,True,True
hhi_no_bots,core_contributor_count,-0.5598,0.001589,29,True,True
burstiness_cv,stale_issue_ratio,0.6853,0.002395,17,True,True
num_developers,core_contributor_count,0.5375,0.00264,29,True,True
burstiness_cv,hhi_no_bots,0.5448,0.002723,28,True,True
age_years,herfindahl_hirschman_index,-0.5288,0.003184,29,True,True
change_request_acceptance_ratio,median_pr_review_turnaround_hours,-0.5614,0.004311,24,True,True
total_commits,bus_factor_no_bots,0.5099,0.004723,29,True,True
age_years,forks,0.5047,0.005241,29,True,True
total_commits,bus_factor,0.5042,0.005286,29,True,True
age_years,total_commits,0.4985,0.005914,29,True,True
total_commits,health_percentage,0.4954,0.006286,29,True,True
age_years,health_percentage,0.468,0.010457,29,True,True
stars,hhi_no_bots,-0.4623,0.011576,29,True,True
forks,burstiness_cv,-0.457,0.014504,28,True,False
bus_factor_no_bots,burstiness_cv,-0.4539,0.015271,28,True,False
age_years,stars,0.4369,0.017806,29,True,False
total_commits,herfindahl_hirschman_index,-0.4337,0.018747,29,True,False
num_developers,herfindahl_hirschman_index,-0.4331,0.018931,29,True,False
bus_factor,burstiness_cv,-0.4365,0.020221,28,True,False
bus_factor,herfindahl_hirschman_index,-0.4178,0.024134,29,True,False
herfindahl_hirschman_index,hhi_no_bots,0.4162,0.024733,29,True,False
bus_factor_no_bots,health_percentage,0.4145,0.025365,29,True,False
bus_factor_no_bots,herfindahl_hirschman_index,-0.4136,0.025741,29,True,False
total_commits,stale_issue_ratio,-0.536,0.026561,17,True,False
bus_factor,health_percentage,0.4032,0.030085,29,True,False
stars,bus_factor_no_bots,0.3985,0.032251,29,True,False
stars,bus_factor,0.3949,0.033981,29,True,False
total_commits,median_time_to_first_response_issues_hours,-0.5206,0.038691,16,True,False
forks,hhi_no_bots,-0.3784,0.042946,29,True,False
burstiness_cv,health_percentage,-0.3841,0.043602,28,True,False
num_developers,stale_issue_ratio,-0.4941,0.043799,17,True,False
burstiness_cv,median_time_to_first_response_issues_hours,0.5063,0.045397,16,True,False
bus_factor,network_density,-0.3988,0.053588,24,False,False
bus_factor_no_bots,network_density,-0.3955,0.055757,24,False,False
stale_issue_ratio,median_time_to_first_response_issues_hours,0.4829,0.068251,15,False,False
stale_issue_ratio,health_percentage,-0.4463,0.072548,17,False,False
age_years,core_contributor_count,0.3375,0.073384,29,False,False
total_commits,core_contributor_count,0.3362,0.074523,29,False,False
