,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,29.0,2727.0344827586205,4099.835750044129,9.0,164.0,599.0,3353.0,14236.0,3189.0
num_developers,29.0,33.3448275862069,74.3362418157566,1.0,4.0,9.0,29.0,395.0,25.0
stars,29.0,393.3103448275862,1351.0332052451106,0.0,2.0,7.0,36.0,7054.0,34.0
forks,29.0,108.27586206896552,397.9027067505433,0.0,0.0,4.0,14.0,2123.0,14.0
health_percentage,29.0,50.0,22.74705632446914,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,29.0,2.0,1.1338934190276817,1.0,1.0,2.0,2.0,5.0,1.0
bus_factor_no_bots,29.0,2.1724137931034484,1.9285258159174583,1.0,1.0,2.0,2.0,11.0,1.0
burstiness_cv,28.0,3.052142857142857,2.541901238199845,0.43,1.0675000000000001,1.565,5.12,7.14,4.0525
elephant_factor,29.0,1.2413793103448276,0.43549417035569266,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,29.0,1.2413793103448276,0.43549417035569266,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,29.0,6111.413793103448,2489.260737465778,2617.9,4161.1,5684.5,8347.1,10000.0,4186.0
hhi_no_bots,29.0,4191.206896551724,3109.4595401924107,454.5,2114.9,2606.1,5543.9,10000.0,3428.9999999999995
hhi_known_orgs_only,27.0,6329.951851851852,2896.0127045474583,2162.5,4133.0,5102.5,9931.4,10000.0,5798.4
stale_issue_ratio,17.0,0.7369176470588236,0.26929590656769675,0.1803,0.5556,0.75,1.0,1.0,0.4444
change_request_acceptance_ratio,28.0,0.8219892857142856,0.16001104207102737,0.2222,0.7611749999999999,0.8359,0.921575,1.0,0.1604000000000001
median_time_to_first_response_issues_hours,16.0,522.2125000000001,1811.2907964119584,0.0,2.25,35.5,86.0,7300.3,83.75
median_time_to_first_response_prs_hours,24.0,17.94166666666667,34.10704270849117,0.0,0.575,3.2,13.9,141.9,13.325000000000001
median_pr_review_turnaround_hours,24.0,13.295833333333333,26.635028899791973,0.0,1.4500000000000002,3.1500000000000004,12.225,122.5,10.774999999999999
avg_review_comments_per_pr,28.0,0.3164285714285714,0.2819930953411906,0.0,0.057499999999999996,0.31,0.5025,0.88,0.44499999999999995
core_contributor_count,29.0,2.586206896551724,2.427774427320368,0.0,1.0,2.0,4.0,9.0,3.0
periphery_contributor_count,29.0,5.310344827586207,4.736661333801796,0.0,2.0,5.0,7.0,23.0,5.0
network_density,24.0,0.39884583333333334,0.2360638693588383,0.1169,0.253325,0.34719999999999995,0.473225,1.0,0.21989999999999998
bot_contributor_count,29.0,1.793103448275862,1.8969771130637516,0.0,0.0,1.0,3.0,7.0,3.0
bot_commit_count,29.0,289.3448275862069,650.4944424854324,0.0,0.0,26.0,150.0,2865.0,150.0
unknown_org_contributor_count,29.0,15.758620689655173,23.055298697469883,0.0,1.0,5.0,18.0,77.0,17.0
