comparison,metric,group_a_n,group_b_n,group_a_median,group_b_median,U_statistic,p_value,cliffs_delta,effect_magnitude
CI/CD vs No CI/CD,bus_factor,25,4,2.0,1.0,74.5,0.1045,0.49,large
CI/CD vs No CI/CD,bus_factor_no_bots,25,4,2.0,1.0,74.5,0.1042,0.49,large
CI/CD vs No CI/CD,health_percentage,25,4,50.0,33.5,67.0,0.2874,0.34,medium
CI/CD vs No CI/CD,num_developers,25,4,11.0,2.0,88.0,0.0174,0.76,large
CI/CD vs No CI/CD,total_commits,25,4,700.0,65.0,91.0,0.006,0.82,large
Cloud vs No Cloud,total_commits,20,9,691.0,254.0,110.0,0.358,0.2222,small
Cloud vs No Cloud,num_developers,20,9,9.0,11.0,98.5,0.7054,0.0944,negligible
Cloud vs No Cloud,bus_factor_no_bots,20,9,2.0,1.0,109.0,0.3506,0.2111,small
Cloud vs No Cloud,health_percentage,20,9,50.0,42.0,113.5,0.269,0.2611,small
Cloud vs No Cloud,hhi_no_bots,20,9,2535.15,5491.4,69.0,0.3336,-0.2333,small
AI/ML vs No AI/ML,num_developers,2,27,3.5,11.0,12.0,0.2109,-0.5556,large
AI/ML vs No AI/ML,bus_factor_no_bots,2,27,1.0,2.0,9.0,0.1069,-0.6667,large
AI/ML vs No AI/ML,health_percentage,2,27,39.5,50.0,17.0,0.4046,-0.3704,medium
OSI License vs No License,health_percentage,10,19,50.0,50.0,113.0,0.4131,0.1895,small
OSI License vs No License,num_developers,10,19,9.0,11.0,93.0,0.945,-0.0211,negligible
OSI License vs No License,bus_factor_no_bots,10,19,2.0,2.0,104.0,0.6764,0.0947,negligible
OSI License vs No License,stars,10,19,8.5,7.0,100.5,0.8182,0.0579,negligible
OSI License vs No License,forks,10,19,3.0,4.0,91.5,0.8881,-0.0368,negligible
