comparison,metric,mature_n,young_n,mature_median,young_median,U_statistic,p_value,cliffs_delta,effect_magnitude
Mature (≥5.2y) vs Young (<5.2y),num_developers,15,14,27.0,3.5,172.5,0.0034,0.6429,large
Mature (≥5.2y) vs Young (<5.2y),total_commits,15,14,1352.0,198.5,161.0,0.0154,0.5333,large
Mature (≥5.2y) vs Young (<5.2y),bus_factor,15,14,2.0,1.0,147.0,0.0527,0.4,medium
Mature (≥5.2y) vs Young (<5.2y),bus_factor_no_bots,15,14,2.0,1.0,146.0,0.0585,0.3905,medium
Mature (≥5.2y) vs Young (<5.2y),burstiness_cv,15,13,1.59,1.54,100.0,0.9264,0.0256,negligible
Mature (≥5.2y) vs Young (<5.2y),hhi_no_bots,15,14,2555.8,5027.3,72.0,0.1559,-0.3143,small
Mature (≥5.2y) vs Young (<5.2y),stale_issue_ratio,11,6,0.9167,0.745,28.0,0.647,-0.1515,small
Mature (≥5.2y) vs Young (<5.2y),health_percentage,15,14,50.0,37.0,162.0,0.0119,0.5429,large
Mature (≥5.2y) vs Young (<5.2y),core_contributor_count,15,14,3.0,1.0,151.0,0.044,0.4381,medium
Mature (≥5.2y) vs Young (<5.2y),network_density,14,10,0.3318,0.3472,56.5,0.4456,-0.1929,small
Mature (≥5.2y) vs Young (<5.2y),change_request_acceptance_ratio,15,13,0.8441,0.8236,99.0,0.9632,0.0154,negligible
Mature (≥5.2y) vs Young (<5.2y),median_pr_review_turnaround_hours,14,10,3.15,2.4,80.0,0.5775,0.1429,negligible
