,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.5677,0.4985,0.4369,0.5047,0.3235,0.315,0.0115,-0.5288,-0.2844,-0.0099,0.468,-0.1594,0.3412,0.1789,0.3375,-0.0976
num_developers,0.5677,1.0,0.8485,0.7053,0.7151,0.774,0.7731,-0.6371,-0.4331,-0.7978,-0.4941,0.5926,-0.0939,-0.1786,-0.0832,0.5375,-0.1317
total_commits,0.4985,0.8485,1.0,0.5951,0.6563,0.5042,0.5099,-0.6476,-0.4337,-0.6018,-0.536,0.4954,-0.2284,-0.5206,0.0605,0.3362,0.1019
stars,0.4369,0.7053,0.5951,1.0,0.9001,0.3949,0.3985,-0.5721,-0.2279,-0.4623,-0.2458,0.5827,-0.0694,-0.3176,0.1855,0.2675,0.0903
forks,0.5047,0.7151,0.6563,0.9001,1.0,0.3259,0.3284,-0.457,-0.2348,-0.3784,-0.3568,0.5984,0.0275,-0.3705,0.0963,0.2387,0.0457
bus_factor,0.3235,0.774,0.5042,0.3949,0.3259,1.0,0.999,-0.4365,-0.4178,-0.9354,-0.2551,0.4032,0.0294,0.2141,0.0049,0.6558,-0.3988
bus_factor_no_bots,0.315,0.7731,0.5099,0.3985,0.3284,0.999,1.0,-0.4539,-0.4136,-0.9348,-0.2727,0.4145,0.0369,0.1919,0.0075,0.6533,-0.3955
burstiness_cv,0.0115,-0.6371,-0.6476,-0.5721,-0.457,-0.4365,-0.4539,1.0,-0.0329,0.5448,0.6853,-0.3841,0.0585,0.5063,0.0771,-0.1998,-0.0928
herfindahl_hirschman_index,-0.5288,-0.4331,-0.4337,-0.2279,-0.2348,-0.4178,-0.4136,-0.0329,1.0,0.4162,0.0794,-0.3004,0.03,-0.1353,-0.1445,-0.1887,0.02
hhi_no_bots,-0.2844,-0.7978,-0.6018,-0.4623,-0.3784,-0.9354,-0.9348,0.5448,0.4162,1.0,0.2879,-0.3278,0.0056,-0.1088,0.0823,-0.5598,0.2714
stale_issue_ratio,-0.0099,-0.4941,-0.536,-0.2458,-0.3568,-0.2551,-0.2727,0.6853,0.0794,0.2879,1.0,-0.4463,-0.1042,0.4829,0.3237,-0.0918,-0.0325
health_percentage,0.468,0.5926,0.4954,0.5827,0.5984,0.4032,0.4145,-0.3841,-0.3004,-0.3278,-0.4463,1.0,-0.053,-0.1506,0.1946,0.3346,-0.0547
change_request_acceptance_ratio,-0.1594,-0.0939,-0.2284,-0.0694,0.0275,0.0294,0.0369,0.0585,0.03,0.0056,-0.1042,-0.053,1.0,-0.3206,-0.5614,-0.0895,-0.1689
median_time_to_first_response_issues_hours,0.3412,-0.1786,-0.5206,-0.3176,-0.3705,0.2141,0.1919,0.5063,-0.1353,-0.1088,0.4829,-0.1506,-0.3206,1.0,0.1672,0.3008,-0.2552
median_pr_review_turnaround_hours,0.1789,-0.0832,0.0605,0.1855,0.0963,0.0049,0.0075,0.0771,-0.1445,0.0823,0.3237,0.1946,-0.5614,0.1672,1.0,-0.2092,0.2495
core_contributor_count,0.3375,0.5375,0.3362,0.2675,0.2387,0.6558,0.6533,-0.1998,-0.1887,-0.5598,-0.0918,0.3346,-0.0895,0.3008,-0.2092,1.0,-0.792
network_density,-0.0976,-0.1317,0.1019,0.0903,0.0457,-0.3988,-0.3955,-0.0928,0.02,0.2714,-0.0325,-0.0547,-0.1689,-0.2552,0.2495,-0.792,1.0
