,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,0.001317,0.005914,0.017806,0.005241,0.086919,0.095996,0.953581,0.003184,0.134884,0.969839,0.010457,0.417795,0.195933,0.402841,0.073384,0.650103
num_developers,0.001317,0.0,0.0,1.9e-05,1.3e-05,1e-06,1e-06,0.000266,0.018931,0.0,0.043799,0.000706,0.634717,0.5081,0.698974,0.00264,0.539573
total_commits,0.005914,0.0,0.0,0.000661,0.000111,0.005286,0.004723,0.000195,0.018747,0.000554,0.026561,0.006286,0.242335,0.038691,0.778797,0.074523,0.635518
stars,0.017806,1.9e-05,0.000661,0.0,0.0,0.033981,0.032251,0.001467,0.234369,0.011576,0.341567,0.00091,0.725544,0.230573,0.385432,0.160686,0.674714
forks,0.005241,1.3e-05,0.000111,0.0,0.0,0.084469,0.081954,0.014504,0.220149,0.042946,0.159815,0.000606,0.889619,0.157779,0.654263,0.212441,0.832191
bus_factor,0.086919,1e-06,0.005286,0.033981,0.084469,0.0,0.0,0.020221,0.024134,0.0,0.323106,0.030085,0.881846,0.425874,0.981744,0.000112,0.053588
bus_factor_no_bots,0.095996,1e-06,0.004723,0.032251,0.081954,0.0,0.0,0.015271,0.025741,0.0,0.289558,0.025365,0.852044,0.47645,0.972149,0.000122,0.055757
burstiness_cv,0.953581,0.000266,0.000195,0.001467,0.014504,0.020221,0.015271,0.0,0.867806,0.002723,0.002395,0.043602,0.771839,0.045397,0.726482,0.307923,0.673636
herfindahl_hirschman_index,0.003184,0.018931,0.018747,0.234369,0.220149,0.024134,0.025741,0.867806,0.0,0.024733,0.761922,0.113285,0.879565,0.617367,0.500417,0.326934,0.925951
hhi_no_bots,0.134884,0.0,0.000554,0.011576,0.042946,0.0,0.0,0.002723,0.024733,0.0,0.262539,0.082551,0.977374,0.688288,0.702295,0.001589,0.199545
stale_issue_ratio,0.969839,0.043799,0.026561,0.341567,0.159815,0.323106,0.289558,0.002395,0.761922,0.262539,0.0,0.072548,0.690563,0.068251,0.239177,0.725961,0.908483
health_percentage,0.010457,0.000706,0.006286,0.00091,0.000606,0.030085,0.025365,0.043602,0.113285,0.082551,0.072548,0.0,0.788714,0.577597,0.362278,0.076027,0.799501
change_request_acceptance_ratio,0.417795,0.634717,0.242335,0.725544,0.889619,0.881846,0.852044,0.771839,0.879565,0.977374,0.690563,0.788714,0.0,0.226045,0.004311,0.650741,0.430185
median_time_to_first_response_issues_hours,0.195933,0.5081,0.038691,0.230573,0.157779,0.425874,0.47645,0.045397,0.617367,0.688288,0.068251,0.577597,0.226045,0.0,0.56774,0.257535,0.378508
median_pr_review_turnaround_hours,0.402841,0.698974,0.778797,0.385432,0.654263,0.981744,0.972149,0.726482,0.500417,0.702295,0.239177,0.362278,0.004311,0.56774,0.0,0.326491,0.239675
core_contributor_count,0.073384,0.00264,0.074523,0.160686,0.212441,0.000112,0.000122,0.307923,0.326934,0.001589,0.725961,0.076027,0.650741,0.257535,0.326491,0.0,4e-06
network_density,0.650103,0.539573,0.635518,0.674714,0.832191,0.053588,0.055757,0.673636,0.925951,0.199545,0.908483,0.799501,0.430185,0.378508,0.239675,4e-06,0.0
