repo_full_name,pr_count_total,pr_count_merged,pr_count_open,pr_count_closed_unmerged,tag_count,release_count
DemocracyClub/UK-Polling-Stations,5367,3955,77,1335,0,0
DemocracyClub/WhoCanIVoteFor,1913,928,16,969,0,0
fvialibre/edia,4,3,1,0,0,0
luftdata/luftdata.se,14,14,0,0,0,0
CodeForAfrica/PromiseTracker,491,384,0,107,2,1
CodeForAfrica/academy.AFRICA,9,2,6,1,0,0
CodeForAfrica/Dominion.AFRICA,109,91,4,14,10,1
CodeForAfrica/GenderGap.AFRICA,44,38,2,4,0,0
CodeForAfrica/openAFRICA,17,15,0,2,3,1
CodeForAfrica/outbreak.AFRICA,164,151,3,10,0,0
CodeForAfrica/ui,944,776,13,155,0,0
CodeForAfrica/sensors.AFRICA,299,228,11,60,6,1
codeforamerica/form-flow,1134,949,6,179,105,105
codeforamerica/vita-min,6228,5257,10,961,962,916
codeforamerica/tofu-modules-aws-serverless-database,36,35,0,1,11,11
codeforamerica/tax-benefits-backend,173,161,0,12,0,0
codeforamerica/pya,276,209,1,66,36,36
codeforamerica/honeycrisp-gem,233,190,9,34,48,0
codeforamerica/asap_pdf,398,294,12,92,0,0
codeforamerica/cmr-maryland-eligibility-determination,19,19,0,0,0,0
codeforamerica/document-transfer-service,16,12,1,3,0,0
markov-root/atlas,1,1,0,0,0,0
fvialibre/heseia-sentence-bias-dataset,0,0,0,0,0,0
codeforjapan/BirdXplorer,125,121,1,3,0,0
meshtastic/Meshtastic-Android,3286,3037,9,240,256,239
meshtastic/web,601,495,10,96,13,12
meshtastic/firmware,5930,4951,152,827,321,256
civiform/civiform,8565,7639,61,865,154,154
iiab/iiab,2721,2355,19,347,85,84
